id,split,MSA,EGY
83,corpus-6-train,"عفوا , أنا سأعتني بالكلب .",أسف، انا حأخد بالي من الكلب.
84,corpus-6-train,أريد تذكرتين للقطط ليوم الخميس .,انا عايز تذكرتين علشان حفلى ال كاتس، الخميس ده.
86,corpus-6-test-corpus-26-train,أين المقهى ؟,فين القهوة؟
87,corpus-6-test-corpus-26-train,أريد جاكيت للأطفال .,عايز بلوفر اطفال.
89,corpus-6-dev,اسمك مرة ثانية ؟,اسمك تاني لو سمحت؟
90,corpus-6-train,هل مستر برون هناك ؟,استاذ براون موجود؟
91,corpus-6-test-corpus-26-train,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.
92,corpus-6-train,هل يمكن أن أؤجر قارب ليوم ؟,ممكن أأجر مركب ليوم؟
93,corpus-6-train,عند أي نافذة يمكن أن أقوم بعمل الحجز ؟,ممكن أحجز في أى شباك؟
94,corpus-6-train,ما هذا ؟,أيه ده؟
96,corpus-6-train,هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟,ممكن تقوللي ازاي أروح الاوبرا؟
97,corpus-6-train,ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟,انت ماكنتش سكران شويه الليله اللي فاتت، حبيبي؟
98,corpus-6-train,من فضلك اتبع التعليمات الصادرة من موظفينا .,لو سمحت خليك ورا تعليمات الموظفين بتوعنا .
100,corpus-6-dev,هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .,فيه هايبر ماركت قريب من هنا؟
102,corpus-6-train,املأ خزان الوقود من فضلك .,فول، لو سمحت.
103,corpus-6-train,هل يوجد غرفة بسعر أرخص ؟,فيه اى اوضه ارخص؟
104,corpus-6-train,أفضل سيارة بها نظام إلي لنقل الحركة .,انا بأفضل العربيات الاوتوماتيك .
105,corpus-6-train,سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .,انا حأفضل في سكن جامعه هارفارد.
106,corpus-6-train,ما هو سعر الصرف اليوم ؟,كام السعر النهاردة؟
108,corpus-6-train,أعاني بشكل مزمن من الربو .,انا تعبان علطول من التنفس .
109,corpus-6-train,معي حوالي ثلاثة آلاف دولاراً .,عندي حوالي تلات تلاف دولار.
111,corpus-6-train,حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟,حاضر يا أستاذ . ده بييجي أما مع بطاطس محمرة أو رز بيلاف . حضرتك تحب ايه؟
112,corpus-6-train,كيف أصل إلى ذلك المكان ؟,ازاى أوصل للمكان ده؟
113,corpus-6-train,أي نوع من القصص هي ؟,ايه نوع القصه ديه؟
115,corpus-6-train,ثلاث مرات .,تلات مرات .
116,corpus-6-train,أي نافذة تبيع الطوابع ؟,أى شباك بيبيع الطوابع؟
117,corpus-6-train,بعد أن هاجمني ، هرب في شاحنة بيضاء .,بعد ما هاجمني، هرب في عربية صندوق بيضا.
119,corpus-6-train,حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .,أوكي . من فضلك خلي معاك البطاقة ديه و قدمها لما تيجي تستلمه .
120,corpus-6-test-corpus-26-test,كنت سأشتري هذا إن كنت في مكانك ؟,لو كنت مكانك كنت صدقت.
122,corpus-6-train,مائتي دولار . فوري أم عبر البطاقات الائتمانية .,ميتين دولار . كاش ولا كريديت كارد؟
125,corpus-6-train,كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟,ياخد وقت اد ايه علشان نعدي البركة؟
128,corpus-6-train,هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟,مفروض اننا أبطل اكل معين و انا بأخد الدوا ده؟
129,corpus-6-test-corpus-26-train,هل لديك أحذية حريمي عند أصابع القدم ؟,حالاقي مشاكل مع الجمارك؟
130,corpus-6-test-corpus-26-train,هل ستواجهني أية صعوبات في الجمارك ؟,عندك جزم رسمي واسعه من قدام؟
131,corpus-6-train,هل لي ببعض النبيذ الأحمر ؟,ممكن شويه نبيت أحمر؟
133,corpus-6-train,أخبرني عندما نصل إلى المتحف .,قول لي لما نوصل المتحف .
134,corpus-6-dev,هل يذهب هذا الأتوبيس إلى فندق الشيراتون .,الاتوبيس ده بيروح فندق شيراتون؟
135,corpus-6-dev,إلى أي شيء وصل ذلك الأمر ؟,معناه ايه؟
136,corpus-6-dev,إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟,الدنيا حر شويه. ممكن افتح الشباك؟
138,corpus-6-train,فقط دش يكفي .,كفاياني اخد دش .
139,corpus-6-dev,عيني محمرة قليلا .,عينيا حمرا بلون الدم .
140,corpus-6-test-corpus-26-train,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لأ . ممكن انصح اوضة بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .
142,corpus-6-dev,لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .,ما اقدرش اضمن ده، بس حنحاول اد ما نقدر .
143,corpus-6-test-corpus-26-train,أريد تمويج متقارب لشعري ، من فضلك .,عاوز كيرلي جامد، لو سمحت.
144,corpus-6-train,كان البحر إلى الأسفل من بعيد .,البحر متشاف صغير بعيد.
145,corpus-6-test-corpus-26-train,هي تريد بيرة .,نفسها في بيرة.
146,corpus-6-train,أنت بحاجة إلى إجراء عملية .,محتاج عملية .
147,corpus-6-train,المزيد من البيض من فضلك .,ممكن بيض كمان، من فضلك.
148,corpus-6-train,أين محطة الأتوبيس المتجه إلى سنترال بارك ؟,فين محطة الاوتوبيس اللي رايح سنترال بارك؟
149,corpus-6-train,سيارة أجرة ؟,تاكسيات؟
151,corpus-6-train,ها هو مفتاحك ، يا سيدي . غرفة ستة وخمسون إثنى عشر .,اتفضل مفتاحك يا استاذ، أوضه سته و خمسين دور اتناشر.
153,corpus-6-train,أحب الجاكت الخاص بك .,عاجبني البلوفر بتاعك.
154,corpus-6-train,استمر .,اتفضل.
155,corpus-6-train,ها نحن قد وصلنا هذا هو فندقك .,ادينا وصلنا . ده فندقك .
156,corpus-6-dev,متى بدأت مباراة كرة السلة ؟,امتى يبتدي ماتش السله؟
157,corpus-6-test-corpus-26-train,صباح الخير . كيف حالك .,صباح الخير . عامل ايه؟
158,corpus-6-test-corpus-26-train,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,متأسف بس محتاج أشوف أى مستند اثبات شخصية .
159,corpus-6-train,ماذا كان انطباعك ؟,ايه كان انطباعك؟
160,corpus-6-train,بالتأكيد . هل ترغب في تناول القهوة مع العشاء أم بعد ذلك ؟,أكيد . تحب قهوتك مع العشا او بعدين؟
161,corpus-6-train,إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .,طيارتي الساعه اتناشر لطوكيو.
162,corpus-6-train,أود إجراء مكالمة دولية ، من فضلك ؟,من فضلك عايز اعمل مكالمة خارجية.
163,corpus-6-train,خمسة أشهر .,خمس تشهر.
168,corpus-6-train,في أي أيام الأسبوع تتم ؟,بيحصل في أيام إيه في الأسبوع؟
169,corpus-6-test-corpus-26-train,أي نوع من الملابس ؟,أى نوع صوص؟
170,corpus-6-test-corpus-26-train,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,ده ساقع شوية . ممكن تدفيه؟
172,corpus-6-train,أريد بعض الجل المصفف للشعر .,عايز جل شعر موضه.
173,corpus-6-test-corpus-26-test,أسف ، هذا المكان محجوز بالفعل .,اسف، المكان ده متاخد.
174,corpus-6-train,هل لنا أن نطلع على القائمة ؟,ممكن نشوف المينيو؟
175,corpus-6-train,مقاسي ستة .,مقاسي سته .
176,corpus-6-test-corpus-26-train,أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟,انا كويس جدا. .بس ممكن من غير مؤاخذه تكلم صاحبي؟
177,corpus-6-test-corpus-26-test,شكراً ، هذا يكفي .,شكرا ليك، ده كفاية .
178,corpus-6-train,لن يقف أية سيارة أجرة ما لم تنتظر في موقف السيارات ؟,مافيش تاكسي حيقفلك الا لو استنيتهم في موقف التاكسيات .
179,corpus-6-train,ميزانيتي لا تتجاوز الخمسون دولاراً في الليلة .,ميزانيتي اقل من خمسين دولار لليله.
180,corpus-6-train,هل سنأخذ صورة معا ؟,ممكن من فضلك ناخد صورة سوا؟
181,corpus-6-train,كم تبلغ رسوم هذه الخدمة ؟,كم تمن الخدمة؟
182,corpus-6-train,هل ارتفع إجمالي المبيعات في أمريكا الشمالية بما يزيد عن خمسة بالمائة ؟,هي المبيعات في امريكا الشمالية بتزيد بأكتر من خمسه في الميه؟
184,corpus-6-test-corpus-26-train,من هو أفضل صديق لك ؟,مين أقرب صديق ليك؟
186,corpus-6-train,هل تعلم أن أحد أكبر بطولات السومو ، نوع من المصارعة اليابانية التقليدية ، بطولة أمريكية ؟,انت عارف ان واحد من اكبر الابطال في السومو، اللي هى نوع من المصارعة على الطريقة اليابانيه، اميركي؟
187,corpus-6-test-corpus-26-train,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,يوم الصحة والرياضة في عشرة اكتوبر معمول علشان يحسن صحة الناس .
188,corpus-6-train,هل هذا خاص بوول ستريت ؟,ده رايح وول ستيريت؟
189,corpus-6-train,أرغب في تأجير هذه من الخامس حتى العاشر من ديسمبر .,عايز ااجره من يوم خمسة ديسيمبر لحد يوم عشرة ديسمبر .
191,corpus-6-train,بحالة جيدة ، وكيف حالك أنت ، يا سيدتي ؟,تمام . وانتي اخبارك ايه، يا مدام؟
192,corpus-6-test-corpus-26-train,هل تريد أن افحص موتور السيارة ؟,عايزني ابص تحت الكبوت؟
195,corpus-6-train,سكر ؟,سكر؟
196,corpus-6-train,هل يمكنني أن ادفع عن طريق الماستر كارد ؟,ممكن أدفع بالماستر كارد؟
198,corpus-6-train,هل هذا هو المكان المخصص لجمع الحقائب الخاصة برحلة ان دبليو رقم تسعة صفر سبعة ؟,ده مكان اخد الشنط تبع رحلة ان دبليو تسعميه و سبعه ؟
199,corpus-6-train,سآخذ هذا النوع .,حيبقى عندي اعلامة التجارية ديه.
204,corpus-6-train,إنني سعيد جداً لأنني تمكنت من المجيء إلى هذا البلد .,انا مبسوط قوي اني قدرت اجي البلد ديه.
205,corpus-6-train,اسمي وعنواني موجودين عليها .,اسمي و عنواني فيها.
206,corpus-6-test-corpus-26-train,هل لك أن تساعدني في الوصول إلى حقيبتي ؟,ممكن تساعدني الاقي شنطتي؟
207,corpus-6-dev,أي نوع من الأحجار هذه ؟,نوع الحجر ده ايه؟
208,corpus-6-train,أود أن أشير إلى أن حكومتنا تتعامل بشدة مع من يطلق عليهم أناس المراكب . لقد أدركت أن اليابان بالفعل به زيادة سكانية بالدرجة التي لا تسمح باستضافة هؤلاء الضيوف غير المدعوين . لكن ومن ناحية أخرى ، فإن العديد من القطاعات الصناعية لدينا بحاجة إلى يد عاملة .,أحب أقول ان حكومتنا مش بتتعامل كويس مع لاجئي القوارب . انا باخد بالي ان اليابان مليانه عالاخر بالناس لدرجة ما ينفعش معاها تسيب الناس دول . لكن، من الناحيه التانيه، فيه قطاعات كتيرة في الصناعه محتاجة ايد عاملة .
209,corpus-6-train,من هذا الجبل ، تستطيع رؤية المدينة بأكملها . خلال هذا الموسم العديد من أنواع الزهور تزدهرـ إنها تبدو جميلة جداً .,من الجبل ده . .تقدر تشوف المدينة كلها . .و خلال الفصل ده . .انواع كتيرة من الزهر بتتفتح. . منظرهم في منتهى الجمال.
213,corpus-6-train,اتبعني .,امشي ورايا.
217,corpus-6-train,من فضلك أخبريه أنت يامادا قد اتصل .,من فضلك قوله ان يامادا اتصل.
221,corpus-6-test-corpus-26-train,هل ستقوم بعمل الترتيبات مقدماً ؟,ممكن مقدما نجهز الترتيبات؟
224,corpus-6-train,حسنا ، من فضلك ضع هذه البيانات هنا . هل كانت حقيبة واحدة ؟,تمام، من فضلك اكتب البيانات هنا . شنطه واحد بس؟
225,corpus-6-train,هل ترغب في تناول لحم بقري ، دجاج ، أم أسماك ؟,بتحب ايه، اللحمة، الفراخ، ولا السمك؟
227,corpus-6-train,هل من الممكن أن تأخذ طرق مختلفة للذهاب والعودة .,ممكن تاخد طريق تاني و انت رايح و راجع ؟
228,corpus-6-train,هل يوجد مطعم للوجبات الخفيفة هنا ؟,فيه سناك بار هنا؟
229,corpus-6-dev,عذراً يا سيدي . أود استطلاع بعض الأماكن السياحية الموجودة في بوسطن .,اسمح لي، حضرتك . عايز اشوف بعض الاماكن السياحيه في بوسطن .
232,corpus-6-train,هل لديك قائمة باللغة اليابانية .,عندك قايمة طعام باليلباني؟
235,corpus-6-train,إنها الواحدة وخمس دقائق .,الساعة واحده و خمسة .
238,corpus-6-test-corpus-26-train,تقدم إلىّ المساعدة ، شكراً لك .,فيه حد بيساعدني. شكرا .
239,corpus-6-train,أريد مسكن للألم .,محتاج مسكن للوجع.
240,corpus-6-train,من هي الممثلة المفضلة لديك .,مين ممثلتك المفضلة؟
241,corpus-6-train,أريد واحدة بيضاوية الشكل ؟,بأحب البيضاوي .
242,corpus-6-train,ما نوع الموسيقى التي يعزفونها هناك ؟,اى نوع من المزيكا هم بيعزفوه هناك؟
243,corpus-6-train,لا أحب هذا اللون ، من فضلك أرني لوناً آخر .,مش عاجبني اللون . ممكن توريني لون تاني.
246,corpus-6-train,من فضلك خذني إلى السوق الصباحية .,من فضلك خدني لسوق الخضار و الاكل اللي بيكون فاتح الصبح .
248,corpus-6-train,الإطار الخاص بنظارتي قد كسر .,شنبر نضارتي مكسور .
250,corpus-6-train,من الساعة الثالثة .,من الساعة تلاته.
252,corpus-6-train,"عظيم . لدي مقعد بجوار النافذة . آه ، إذا كنت ترغبين في تبادل المقاعد بعد ذلك , يا آنسة .",جميل . انا الكرسي بتاعي جنب الشباك. اوه، لو عايزه تبدلي الكراسي بعدين، يا انسة.
255,corpus-6-train,لقد استمتعت بجولة الاستطلاع للأماكن السياحية في نيويورك بالأمس .,امبارح انا اتمتعت بالاماكن الساحية في نيويوك.
256,corpus-6-dev,أنا معجب بالحقيبة الزرقاء الموجودة في شباك العرض .,انا مهتم بالشنطة الزرقا اللي عالشباك.
258,corpus-6-train,اتصل بصاحب المبنى إذا واجهتك أية مشكلة .,كلم المالك لو عندك مشاكل .
259,corpus-6-train,"اغسله بالشامبو وقم بتصفيفه كم هو الآن , من فضلك .",من فضلك اعمللي شعري بالشامبو و ظببط شكلي زى دلوقتي.
261,corpus-6-test-corpus-26-train,عندما تصل هناك أسأل شخص آخر ، من فضلك .,لما توصل هناك، اسأل واحد تاني، من فضلك .
263,corpus-6-train,من فضلك أخبرني بأسرع طريقة للوصول إلى سان فرنسيسكو .,لو سمحت قوللي اسرع طريقة اروح بيها سان فرانسيسكو .
267,corpus-6-train,هل أستطيع الحصول على مفتاح الحجرة رقم اثنان خمس عشرة ؟,ممكن مفتاح الاوضه ميتين و خمستاشر؟
268,corpus-6-train,معذرة ، هل يمكنك أن تلتقط صوراً لي ؟,لو مؤاخذه . ممكن تصورني؟
269,corpus-6-train,فقط أكتب رقم غرفة ووقع هنا .,بس اكتب رقم اوضتك و أمضي هنا.
271,corpus-6-train,اللون مقبول ، لكن المقاس غير صحيح . هل من الممكن أن تقوم بتغيرها في خلال ساعة ؟,اللون تمام . بس المشكلة في المقاس . نقدر نغير ده في ساعة؟
272,corpus-6-train,سنكون في انتظارك في ذلك اليوم .,كنا مستنينك اليوم ده.
274,corpus-6-train,لدينا ما يكفينا للاستمرار لمدة يومين .,عندنا اللي يكفينا كذا يوم.
275,corpus-6-train,لا أستطيع أن أفهم ذلك .,مش فاهم ده.
277,corpus-6-train,كيف أستطيع أن أرجع مرة أخرى إلى وجهتي والمكان المقصود ؟,ازاي ارجع لطريقي؟
278,corpus-6-train,هل هذا معفى من الضرائب ؟,ده معفى من الضايب؟
279,corpus-6-train,حسناً . إن عليهم أن يقوموا بلعب أدوار إضافية حتى يتم إنهاء حالة التعادل .,كويس . .لازم يلعبو جولات تانيه لحد ما حد يفوز.
280,corpus-6-test-corpus-26-train,أريد الامتداد أربع وعشرون ، من فضلك .,من فضلك عايز امد حجزي للغرفة، اربعه و عشرين ساعه كمان.
281,corpus-6-train,هل يمكنك أن تتهجها ؟,ممكن تنطقها؟
285,corpus-6-test-corpus-26-train,تفضل هذان دولاران . احتفظ بالباقي .,ادي دولارين. خللي الباقي عشانك.
286,corpus-6-train,متى الغداء ؟,امتى العشا؟
287,corpus-6-train,أسف هذا كثير بالنسبة لي ؟,متأسف ده كتير عليا.
288,corpus-6-train,من أين أبدأ كي أصل إلى ميدان ينيون ؟,فين أنزل علشان أروح يونيون سكوير؟
290,corpus-6-train,يمكن أن تستفسر من مكتب التأجير الموجود هناك .,ممكن تسأل المسئولين عن الايجار الواقفين هناك.
293,corpus-6-train,هيه ، جاين . هل يمكنكما أخذ كل الأشياء إلى عمال النظافة ؟,جين، أزيك . ممكن تاخدي دول للتنضيف؟
296,corpus-6-train,أنا في إجازة .,انا في أجازة.
298,corpus-6-train,لا . أنا أخطط لزيارة باريس في طريق عودتي إلى وطني .,لأ . انا باخطط لزيارة باريس و انا راجع بلدي.
299,corpus-6-dev,هل ستأخذها معك أم سيكون علينا أن نرسلها ؟,تحب تاخده معاك و لا احنا نبعتهولك؟
301,corpus-6-train,حدث مؤخراً انتشار في خبراء الطعام ، أليس كذلك ؟,لوقت قريب كان هناك مطاعم اكلات احنبية، ما بقتش موجوده؟
302,corpus-6-train,قد حدثت منذ حوالي ست ساعات من الآن .,وصلنا لحد ست ساعات دلوقتي.
303,corpus-6-train,رحلة الخطوط الجوية دلتا رقم واحد واحد اثنان . تم تأخير موعد الركوب .,رحلة الخطوط الجويه دلتا واحد واحد اتنين . تأخير في الصعود.
304,corpus-6-train,هل يمكنك أن تعطني اثنين لليلة ؟,ممكن أحجز أوضه بسريرين لليله ديه؟
305,corpus-6-train,هل يمكن أن تكتب لي بلاغ عن سرقة شركة التأمين الخاصة بي ، من فضلك ؟,ممكن تكتبلي تقرير عن السرقة علشان أقدمه لشركة التأمين، من فضلك ؟
306,corpus-6-train,بما أنني غير ماهر باستخدام الكاميرا . فأنا أعتقد أن كاميرا سهلة الاستعمال ربما تكون الأفضل لي .,علشان انا ضعيف في التصوير، متهيألي ان الكاميرات اللي بعدسات اوتوماتيك احسن لي.
307,corpus-6-train,هل هذا هو الرصيف الصحيح لنيويورك .,هي ديه محطة القطر اللي رايح نيويورك؟
308,corpus-6-train,استمتع بإجازتك .,اتممنى لك اجازة سعيده.
312,corpus-6-train,من فضلك أعطني بعض الشاش .,من فضلك اديني شويه شاش.
313,corpus-6-train,أريد بطاطس مشوية وعليها قشدة حامضة الطعم ، من فضلك .,عايز بطاطس مطبوخه مع عليها قشده حامضة، من فضلك .
314,corpus-6-train,نعم ، كل عشر دقائق .,أيوه، كل عشر دقايق .
315,corpus-6-test-corpus-26-train,واحد هامبرجر وواحد شيز برجر ، من فضلك .,ممكن واحد هامبرجر وواحد شيز برجر.
319,corpus-6-test-corpus-26-train,كم تتقاضى لتطبيع صور الفيلم ؟,بتاخد كام في العملية؟
320,corpus-6-test-corpus-26-train,كلا منا يريد أن يحاسب على وجبته .,نحب ندفع تمن اكلنا .
322,corpus-6-train,سأدفع الفاتورة صباح غد .,انا ماشي بكره الصبح.
323,corpus-6-train,إني ذاهب إلى هناك ، أيضا . ما رأيك أن نأخذ سيارة أجرة معاً ؟,انا كمان رايح هناك، ايه رأيك ناخد التاكسي سوا؟
324,corpus-6-train,تفضل كرسي وخذ راحتك . هل أتي لك بشيء لتشربه ؟ قهوة ، شاي أم صودا ؟,أتفضل اقعد و اعتبر نفسك في بيتك . تحب اجيبلك حاجه تشربها؟ شاى او حاجه ساقعه؟
325,corpus-6-train,أنه شيء رائع منك أن تقول ذلك .,جميل منك انك تقول كده .
326,corpus-6-test-corpus-26-train,المكان كان على كرسي في البهو .,المكان كان على كرسي في الطرقة.
327,corpus-6-train,لحم بقري مشوي ، من فضلك .,ممكن من فضلك لحمة مشويه.
329,corpus-6-dev,ستكون المائدة جاهزة ؟,امتى حتفضى ترابيزة؟
331,corpus-6-train,هل لازال متاح لي أن أغير طلبي ؟ أفضل سمك موسى بدلا من محار الصخر .,ينفع لسه أغير طلبي؟ انا عايز الدوفر سول بدل المحار الصخري .
333,corpus-6-test-corpus-26-test,من فضلك غير هذه الينات إلى جنيهات .,من فضلك غيرلي الين اللي معايا بجنيهات.
336,corpus-6-train,يالها من عملية لاستئصال الزائدة الدودية ؟,ايه هى عمليه شيل الزايدة؟
338,corpus-6-train,هل سوف تعطيني الفواتير بالتفاصيل عن العلاج الطبي ؟,ممكن تديني ايصالات بتفاصيل العلاج؟
346,corpus-6-test-corpus-26-train,أريد قاموس جيب ، من فضلك .,عايز قاموس جيب صغير، ،لو سمحت .
349,corpus-6-train,حسناً ، أنا لا أعلم .,اوكي، انا مش عارف .
350,corpus-6-train,مبروك ، علمت أنه قد تم ترقيتك إلى نائب رئيس .,الف مبروك، انا فهمت انك أترقيت لمنصب نائب رئيس .
351,corpus-6-train,مساء بعد غد .,بلليل بعد بكره .
352,corpus-6-train,أنا أعيش في جنوب اليابان .,انا عايش في جنوب اليابان.
353,corpus-6-train,تذكرة ذهاب وعودة إلى شيكاغو ، من فضلك .,من فضلك تذكرة رايح جاي لشيكاجو.
355,corpus-6-train,هل تحب أن تتناول مع البيض لحم خنزير مملح أو لحم من فخذ الخنزير ؟,تحب تاخد مع البيض لحم خنزير مملح او لحم من فخذ الخنزير؟
358,corpus-6-train,للدراسة .,للمذاكرة.
359,corpus-6-train,من فضلك ، أسرع .,من فضلك بسرعة.
360,corpus-6-test-corpus-26-train,"لشخصين عند الساعة السابعة , الاسم وتاناب .",لشخصين الساعة سبعة . الاسم واتانابي.
364,corpus-6-train,التكييف لا يعمل .,التكييف مش شغال.
365,corpus-6-train,أنها هكذا كل يوم اثنين .,كل يوم اتنين بيبقى كده.
366,corpus-6-train,"من فضلك اذهب على قاعة المغادرة الدولية , أتمنى لك رحلة سعيدة .",من فضلكم روحوا لصاله مغادرة المطار . تمنياتنا برحله سعيده.
367,corpus-6-train,هل لديك أية رحلات إلى باريس عبر قطار يوروستار ؟,فيه اى رحلات لباريس على خطوط يوروستار؟
368,corpus-6-test-corpus-26-train,ساعتي . كانت ساعة سيكو رقمية .,ساعتي كانت سايكو رقميه.
369,corpus-6-train,لقد أحضرت الشهادة الطبية لطبيبي من اليابان .,انا اتخرجت كطبيب من اليابان.
370,corpus-6-test-corpus-26-train,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .,يسعدنا نقدم ليكم المشروب اللي تختاروة، بعد الاكل . حتلاقو لسته كاملة بأنواع المشروبات اللي بنقدمها في رحلتنا موجوده في دليل المعلومات في مجلتنا.
