id,split,MSA,MSA Translation
177,corpus-6-test-corpus-26-test,شكراً ، هذا يكفي .,شكراً ، هذا يكفي.
184,corpus-6-test-corpus-26-train,من هو أفضل صديق لك ؟,من هو أفضل صديق لك ؟
187,corpus-6-test-corpus-26-train,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قوم
192,corpus-6-test-corpus-26-train,هل تريد أن افحص موتور السيارة ؟,هل تريد أن افحص موتور السيارة ؟
206,corpus-6-test-corpus-26-train,هل لك أن تساعدني في الوصول إلى حقيبتي ؟,هل لك أن تساعدني في الوصول إلى حقيبتي ؟
221,corpus-6-test-corpus-26-train,هل ستقوم بعمل الترتيبات مقدماً ؟,هل ستقوم بعمل الترتيبات مقدماً ؟
238,corpus-6-test-corpus-26-train,تقدم إلىّ المساعدة ، شكراً لك .,تقدم إلىّ المساعدة ، شكراً لك.
261,corpus-6-test-corpus-26-train,عندما تصل هناك أسأل شخص آخر ، من فضلك .,عندما تصل هناك أسأل شخص آخر ، من فضلك.
280,corpus-6-test-corpus-26-train,أريد الامتداد أربع وعشرون ، من فضلك .,أريد الامتداد أربع وعشرون ، من فضلك.
285,corpus-6-test-corpus-26-train,تفضل هذان دولاران . احتفظ بالباقي .,تفضل هذان دولاران. احتفظ بالباقي.
315,corpus-6-test-corpus-26-train,واحد هامبرجر وواحد شيز برجر ، من فضلك .,واحد هامبرجر وواحد شيز برجر ، من فضلك.
319,corpus-6-test-corpus-26-train,كم تتقاضى لتطبيع صور الفيلم ؟,كم تتقاضى لتطبيع صور الفيلم ؟
320,corpus-6-test-corpus-26-train,كلا منا يريد أن يحاسب على وجبته .,كلا منا يريد أن يحاسب على وجبته.
326,corpus-6-test-corpus-26-train,المكان كان على كرسي في البهو .,المكان كان على كرسي في البهو.
333,corpus-6-test-corpus-26-test,من فضلك غير هذه الينات إلى جنيهات .,من فضلك غير هذه الينات إلى جنيهات.
346,corpus-6-test-corpus-26-train,أريد قاموس جيب ، من فضلك .,أريد قاموس جيب ، من فضلك.
360,corpus-6-test-corpus-26-train,"لشخصين عند الساعة السابعة , الاسم وتاناب .","لشخصين عند الساعة السابعة, الاسم وتاناب."
368,corpus-6-test-corpus-26-train,ساعتي . كانت ساعة سيكو رقمية .,ساعتي. كانت ساعة سيكو رقمية.
370,corpus-6-test-corpus-26-train,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً
373,corpus-6-test-corpus-26-test,هل تعيش بالقرب من هنا ؟,هل تعيش بالقرب من هنا ؟
375,corpus-6-test-corpus-26-train,أين محل الهدايا ؟,أين محل الهدايا ؟
386,corpus-6-test-corpus-26-test,أنا على الطريق الرئيسي بجانب خليج موروا .,أنا على الطريق الرئيسي بجانب خليج موروا.
391,corpus-6-test-corpus-26-train,أريد منبه ، من فضلك .,أريد منبه ، من فضلك.
398,corpus-6-test-corpus-26-dev,بالمناسبة ، اسمي هيروش إيجيما .,بالمناسبة ، اسمي هيروش إيجيما.
401,corpus-6-test-corpus-26-dev,"هذا القطار يتوقف في لاك فورست , أليس كذلك ؟","هذا القطار يتوقف في لاك فورست, أليس كذلك ؟"
408,corpus-6-test-corpus-26-train,معظم اليابانيين يأكلون الأخطبوط والحبار .,معظم اليابانيين يأكلون الأخطبوط والحبار.
416,corpus-6-test-corpus-26-train,"هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟",هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا
419,corpus-6-test-corpus-26-train,لقد ذهبت إلى نيويورك .,لقد ذهبت إلى نيويورك.
423,corpus-6-test-corpus-26-train,ما هو رقم الرحلة الجوية ؟,ما هو رقم الرحلة الجوية ؟
442,corpus-6-test-corpus-26-test,واحد لنيويورك ، من فضلك .,واحد لنيويورك ، من فضلك.
446,corpus-6-test-corpus-26-train,لعدة أيام قليلة .,لعدة أيام قليلة.
447,corpus-6-test-corpus-26-train,الثاني من على اليسار .,الثاني من على اليسار.
471,corpus-6-test-corpus-26-dev,"هذا الكارت , حسناً ؟","هذا الكارت, حسناً ؟"
488,corpus-6-test-corpus-26-train,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟
493,corpus-6-test-corpus-26-train,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟
503,corpus-6-test-corpus-26-train,أنه ذو مذاق غريب .,أنه ذو مذاق غريب.
512,corpus-6-test-corpus-26-train,"نعم . انتظر , سوف احضر لك واحدة .","نعم. انتظر, سوف احضر لك واحدة."
516,corpus-6-test-corpus-26-train,"نصف زجاجة , من فضلك .","نصف زجاجة, من فضلك."
540,corpus-6-test-corpus-26-train,ليس تماماً . فقط شيء ما غير غالي الثمن .,ليس تماماً. فقط شيء ما غير غالي الثمن
548,corpus-6-test-corpus-26-train,هل تبحث عن شيء ما ؟,هل تبحث عن شيء ما ؟
551,corpus-6-test-corpus-26-train,أربع ليالي .,أربع ليالي.
553,corpus-6-test-corpus-26-train,أريد بعض الجوارب الرجالي .,أريد بعض الجوارب الرجالي.
565,corpus-6-test-corpus-26-train,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟
571,corpus-6-test-corpus-26-train,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت
599,corpus-6-test-corpus-26-train,أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .,أنا غير متأكد إذا كنت قد حزمت ملابس كافية
612,corpus-6-test-corpus-26-train,حسناً ، أود أن أجرب النبيذ الأبيض .,حسناً ، أود أن أجرب النبيذ الأبيض.
631,corpus-6-test-corpus-26-train,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقه
632,corpus-6-test-corpus-26-train,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف.
641,corpus-6-test-corpus-26-test,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد الاتصال به ؟,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد ال
643,corpus-6-test-corpus-26-train,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية
650,corpus-6-test-corpus-26-train,أرغب في غرفة بحمام .,أرغب في غرفة بحمام.
652,corpus-6-test-corpus-26-dev,لم يخرج من الماكينة شيء .,لم يخرج من الماكينة شيء.
667,corpus-6-test-corpus-26-test,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان
673,corpus-6-test-corpus-26-train,شخص ما فتح الطرد الخاص بي .,شخص ما فتح الطرد الخاص بي.
679,corpus-6-test-corpus-26-test,"آوه , الأمر بسيط ، هل أنت هنا ، على أية حال .","آوه, الأمر بسيط ، هل أنت هنا ، على أ"
680,corpus-6-test-corpus-26-train,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان
681,corpus-6-test-corpus-26-train,أرغب في شراء شامبو .,أرغب في شراء شامبو.
683,corpus-6-test-corpus-26-train,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العام
688,corpus-6-test-corpus-26-train,ـ أين أقرب محل جزارة ؟,ـ أين أقرب محل جزارة ؟
703,corpus-6-test-corpus-26-train,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس
708,corpus-6-test-corpus-26-train,ما اسم هذه الوردة ؟,ما اسم هذه الوردة ؟
719,corpus-6-test-corpus-26-train,الخامس عشر من سبتمبر يوم احترام المسنين .,الخامس عشر من سبتمبر يوم احترام المسنين.
723,corpus-6-test-corpus-26-train,ليس هناك صابون في حجرتي .,ليس هناك صابون في حجرتي.
741,corpus-6-test-corpus-26-dev,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي ؟,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي 
742,corpus-6-test-corpus-26-train,هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟,هل يمكنك أن تغير الصياغة طبقاً لما قلته للت
761,corpus-6-test-corpus-26-test,كم ستستغرق لكي تطلب ؟,كم ستستغرق لكي تطلب ؟
773,corpus-6-test-corpus-26-train,"لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .","لا أستطيع أن أفعل ذلك, لكني سوف أضعها"
777,corpus-6-test-corpus-26-train,كم تستغرق حتى تصبح متاحة .,كم تستغرق حتى تصبح متاحة.
786,corpus-6-test-corpus-26-train,أين الاستعلامات الرياضية ؟,أين الاستعلامات الرياضية ؟
787,corpus-6-test-corpus-26-train,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تج
793,corpus-6-test-corpus-26-test,أين ستنتهي الجولة ، ومتى ؟,أين ستنتهي الجولة ، ومتى ؟
848,corpus-6-test-corpus-26-train,من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟,من أي مكان يمكنني أن أغير القطار الذي يوصلني إل
855,corpus-6-test-corpus-26-train,أود أن أضع ذلك في صندوق ودائع آمن .,أود أن أضع ذلك في صندوق ودائع آمن.
859,corpus-6-test-corpus-26-train,أين يمكنني تغير نقودي ؟,أين يمكنني تغير نقودي ؟
897,corpus-6-test-corpus-26-train,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافل
902,corpus-6-test-corpus-26-train,أتساءل عن هذه الرسوم الزائدة على فاتورتي .,أتساءل عن هذه الرسوم الزائدة على فاتورتي.
917,corpus-6-test-corpus-26-train,أنا سوف أدفع خمسون دولاراً .,أنا سوف أدفع خمسون دولاراً.
941,corpus-6-test-corpus-26-train,الآن أعرف . ماذا كان الخطأ . ؟,الآن أعرف. ماذا كان الخطأ. ؟
957,corpus-6-test-corpus-26-dev,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة في تمام الساعة السادسة والثلث هذا المساء . ولكني آسفة لأني سأصل متأخرة نصف ساعة .,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة
1003,corpus-6-test-corpus-26-train,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟
1007,corpus-6-test-corpus-26-train,فقط سياحة .,فقط سياحة.
1010,corpus-6-test-corpus-26-train,"هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟","هذا جيد, من فضلك وقع عليهم. كيف "
1023,corpus-6-test-corpus-26-test,هل لا زال لديكم مقاعد لعرض الليلة ؟,هل لا زال لديكم مقاعد لعرض الليلة ؟
1036,corpus-6-test-corpus-26-train,أود الحصول على واحدة كبيرة .,أود الحصول على واحدة كبيرة.
1037,corpus-6-test-corpus-26-dev,لقد نمت و لم أتيقظ حين رن منبه السادسة و النصف .,لقد نمت و لم أتيقظ حين رن منبه السادسة و
1038,corpus-6-test-corpus-26-train,أنا مصور حر .,أنا مصور حر.
1047,corpus-6-test-corpus-26-train,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقش
1056,corpus-6-test-corpus-26-dev,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام .,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام.
1062,corpus-6-test-corpus-26-train,سوف أحضر لك العرض الأسبوع القادم .,سوف أحضر لك العرض الأسبوع القادم.
1074,corpus-6-test-corpus-26-train,شكراُ لك . كم تكلفة هذا القفاز ؟,شكراُ لك. كم تكلفة هذا القفاز ؟
1098,corpus-6-test-corpus-26-train,علىّ أن أذهب ، سأتصل بك لاحقاً .,علىّ أن أذهب ، سأتصل بك لاحقاً.
1100,corpus-6-test-corpus-26-train,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال
1122,corpus-6-test-corpus-26-train,أين نشأت سمكات الفراش هذه ؟,أين نشأت سمكات الفراش هذه ؟
1124,corpus-6-test-corpus-26-train,هل لك أن تغيرهم إلى دولارات من فضلك ؟,هل لك أن تغيرهم إلى دولارات من فضلك ؟
1139,corpus-6-test-corpus-26-train,نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .,نحن محظوظون جداً. لديهم واحدة مقاس أربع
1146,corpus-6-test-corpus-26-train,هل هناك سيارة ليموزين ؟,هل هناك سيارة ليموزين ؟
1163,corpus-6-test-corpus-26-dev,هل لى أن أتلقى اتصالاً يوقظنى فى الخامسة و النصف من صباح الغد ؟,هل لى أن أتلقى اتصالاً يوقظني فى الخامس
1165,corpus-6-test-corpus-26-train,أُفضلُ حجرة هادئة .,أُفضلُ حجرة هادئة.
1167,corpus-6-test-corpus-26-train,أريد مزيلا لطلاء الأظافر .,أريد مزيلا لطلاء الأظافر.
1183,corpus-6-test-corpus-26-train,أريد بطارية .,أريد بطارية.
1193,corpus-6-test-corpus-26-test,هل هناك فرقة موسيقية أم دي جي ؟,هل هناك فرقة موسيقية أم دي جي ؟
1194,corpus-6-test-corpus-26-train,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟
1199,corpus-6-test-corpus-26-dev,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر .,أود حجز غرفة لأربع ليالي ابتداء من الثانى و
1212,corpus-6-test-corpus-26-train,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟
1213,corpus-6-test-corpus-26-train,أريد كعكة محلاة من فضلك .,أريد كعكة محلاة من فضلك.
1218,corpus-6-test-corpus-26-train,أريد تأجير سلاح آلى لمدة يومين .,أريد تأجير سلاح آلى لمدة يومين.
1224,corpus-6-test-corpus-26-train,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسي
1234,corpus-6-test-corpus-26-train,كم سأدفع للوصول إلى المطار ؟,كم سأدفع للوصول إلى المطار ؟
1235,corpus-6-test-corpus-26-train,هذا جيد . متى هو ؟,هذا جيد. متى هو ؟
1276,corpus-6-test-corpus-26-train,كم عمر ابنتك ؟,كم عمر ابنتك ؟
1312,corpus-6-test-corpus-26-train,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظ
1321,corpus-6-test-corpus-26-train,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة
1329,corpus-6-test-corpus-26-train,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيع
1361,corpus-6-test-corpus-26-dev,هل يتوقف القطار في برايتون ؟,هل يتوقف القطار في برايتون ؟
1369,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تا
1375,corpus-6-test-corpus-26-train,تذكرتين درجة ثانية من فضلك .,تذكرتين درجة ثانية من فضلك.
1384,corpus-6-test-corpus-26-train,أود أن أرسل فاكس .,أود أن أرسل فاكس.
1394,corpus-6-test-corpus-26-train,أريد مكواة سفر .,أريد مكواة سفر.
1396,corpus-6-test-corpus-26-train,أيمكنني أن أقدم لك أي شيء ؟,أيمكنني أن أقدم لك أي شيء ؟
1404,corpus-6-test-corpus-26-train,أخشى أن أسأل ، لكن ماذا تعني ؟,أخشى أن أسأل ، لكن ماذا تعني ؟
1418,corpus-6-test-corpus-26-train,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب
1433,corpus-6-test-corpus-26-test,نعم ، لكن ليس قويا جدا .,نعم ، لكن ليس قويا جدا.
1434,corpus-6-test-corpus-26-train,أنا شديد الحساسية للقطط .,أنا شديد الحساسية للقطط.
1436,corpus-6-test-corpus-26-train,"نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .","نعم, لا بد أن يكون عندك رخصة قيادة ، ولا بد"
1462,corpus-6-test-corpus-26-train,استمر يا سيدي .,استمر يا سيدي.
1465,corpus-6-test-corpus-26-test,يبدوا أنني غير قادر على الحصول على الماء الساخن .,يبدوا أنني غير قادر على الحصول على الماء الساخن.
1474,corpus-6-test-corpus-26-train,أود أن أحجز غرفة لهذه الليلة .,أود أن أحجز غرفة لهذه الليلة.
1492,corpus-6-test-corpus-26-train,لا ، إنها لا تشمل الضريبة ومصاريف الخدمة .,لا ، إنها لا تشمل الضريبة ومصاريف الخدمة.
1506,corpus-6-test-corpus-26-train,هل تريد أن تذهب للتسوق معي بعد الظهر ؟,هل تريد أن تذهب للتسوق معي بعد الظهر ؟
1508,corpus-6-test-corpus-26-test,هيه ، هذا فستان جميل حقا .,هيه ، هذا فستان جميل حقا.
1519,corpus-6-test-corpus-26-train,الآن ، مكالمتك ردت . تفضل من فضلك .,الآن ، مكالمتك ردت. تفضل من فضلك.
1525,corpus-6-test-corpus-26-train,ما رقم البوابة ؟,ما رقم البوابة ؟
1539,corpus-6-test-corpus-26-train,ما التذكار الخاص بهاواي ؟,ما التذكار الخاص بهاواي ؟
1556,corpus-6-test-corpus-26-train,أيمكنني أن أذهب هناك بمترو الأنفاق ؟,أيمكنني أن أذهب هناك بمترو الأنفاق ؟
1560,corpus-6-test-corpus-26-train,أريد مجفف .,أريد مجفف.
1562,corpus-6-test-corpus-26-train,هل نذهب إلى أي مكان متحدثين مثل ذلك ؟,هل نذهب إلى أي مكان متحدثين مثل ذلك ؟
1585,corpus-6-test-corpus-26-train,أنا من النرويج .,أنا من النرويج.
1603,corpus-6-test-corpus-26-dev,من ثمانية إلى اثنى عشر من فضلك .,من ثمانية إلى اثنى عشر من فضلك.
1619,corpus-6-test-corpus-26-train,بالتأكيد . دعني أراها . أظن أن المرجان جرحك .,بالتأكيد. دعني أراها. أظن أن المرجان جرحك
1620,corpus-6-test-corpus-26-train,لقط للتأكيد ، إعطني رقم المسئول .,لقط للتأكيد ، إعطني رقم المسئول.
1622,corpus-6-test-corpus-26-train,هل هناك طريق حر ؟,هل هناك طريق حر ؟
1630,corpus-6-test-corpus-26-train,لماذا لم يأت إلى الحفلة أمس ؟,لماذا لم يأت إلى الحفلة أمس ؟
1637,corpus-6-test-corpus-26-train,لقد كان هناك حادث مرور .,لقد كان هناك حادث مرور.
1650,corpus-6-test-corpus-26-train,"آسف , لقد اتصلت بالرقم الخطأ .","آسف, لقد اتصلت بالرقم الخطأ."
1653,corpus-6-test-corpus-26-test,من فضلك ادخل رقم هويتك الشخصية .,من فضلك ادخل رقم هويتك الشخصية.
1663,corpus-6-test-corpus-26-dev,لا أستطيع ضبط اللوحة .,لا أستطيع ضبط اللوحة.
1668,corpus-6-test-corpus-26-train,"واحد هامبورجر بالجبن و عصير برتقال , من فضلك .","واحد هامبورجر بالجبن و عصير برتقال, من فضلك "
1670,corpus-6-test-corpus-26-test,هاك جواز سفري .,هاك جواز سفري.
1682,corpus-6-test-corpus-26-test,"لماذا , شكرا جزيلا . هل أستطيع الارتقاء للقمة ؟","لماذا, شكرا جزيلا. هل أستطيع الارتقاء للقمة"
1702,corpus-6-test-corpus-26-train,هل أستطيع أن الحصول علي تذكرتان للمسرحية الغنائية الجمعة القادمة .,هل أستطيع أن الحصول علي تذكرتان للمسرحية الغنائية الجمعة
1718,corpus-6-test-corpus-26-train,راكب آخر هناك قال انهم يستطيعون أن يبدلوا مقاعدهم معك .,راكب آخر هناك قال انهم يستطيعون أن يبدلوا مقاعد
1754,corpus-6-test-corpus-26-train,هل أستطيع تمديد إقامتي ؟,هل أستطيع تمديد إقامتي ؟
1766,corpus-6-test-corpus-26-train,"يا صاح , أتعرف أي مكان يستحق الرؤية قريبا من هنا ؟","يا صاح, أتعرف أي مكان يستحق الرؤية قريبا من"
1768,corpus-6-test-corpus-26-dev,"لا , أريد أن استأجر نصف مجموعة من المضارب وزوجا من الأحذية .","لا, أريد أن استأجر نصف مجموعة من المضارب وزوجا"
1782,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني عندما تعقروا علي الحقيبة الضائعة ؟,هل من الممكن أن تخبرني عندما تعقروا علي الحقيبة الضائعة
1788,corpus-6-test-corpus-26-train,ما اسم هذه المحمية ؟,ما اسم هذه المحمية ؟
1791,corpus-6-test-corpus-26-train,أصبت بسحجة .,أصبت بسحجة.
1792,corpus-6-test-corpus-26-dev,أين يوجد مكان جيد به لمشاهدة الأماكن المهمة ؟,أين يوجد مكان جيد به لمشاهدة الأماكن المهمة ؟
1800,corpus-6-test-corpus-26-train,هل من الممكن أن احصل علي بعض الفاكهة ؟,هل من الممكن أن احصل علي بعض الفاكهة ؟
1834,corpus-6-test-corpus-26-train,هل أستطيع تناول غذائي الآن ؟,هل أستطيع تناول غذائي الآن ؟
1837,corpus-6-test-corpus-26-train,أريد أن أستبدل تلك الدولارات .,أريد أن أستبدل تلك الدولارات.
1867,corpus-6-test-corpus-26-train,أحتاج إلى تاكسي . أنا في ساوث ماين ، وليبرتي .,أحتاج إلى تاكسي. أنا في ساوث ماين ، وليب
1876,corpus-6-test-corpus-26-dev,بالتأكيد ، هل تريد تسريحة متموجة دائما ؟,بالتأكيد ، هل تريد تسريحة متموجة دائما ؟
1878,corpus-6-test-corpus-26-train,هذه ليست تفاحة ولكنها خوخة .,هذه ليست تفاحة ولكنها خوخة.
1903,corpus-6-test-corpus-26-train,سوف أعطيك روشتة . خذها إلى الصيدلية .,سوف أعطيك روشتة. خذها إلى الصيدلية.
1927,corpus-6-test-corpus-26-train,نسافر جواً ثلاث مرات في الأسبوع ، أيام الثلاثاء والجمعة والسبت .,نسافر جواً ثلاث مرات في الأسبوع ، أيام الثلاثاء و
1931,corpus-6-test-corpus-26-dev,هذا سعر مرتفع ، أليس كذلك ؟,هذا سعر مرتفع ، أليس كذلك ؟
1948,corpus-6-test-corpus-26-train,نعم لدينا هذا ، سوف نجهزها لك .,نعم لدينا هذا ، سوف نجهزها لك.
1950,corpus-6-test-corpus-26-dev,هل يمكنكم إبقاء أمتعتي لديكم حتى الساعة الثالثة ؟,هل يمكنكم إبقاء أمتعتي لديكم حتى الساعة ال
1951,corpus-6-test-corpus-26-train,"ل , ا أريد فقط الزيارة بدون ميعاد .","ل, ا أريد فقط الزيارة بدون ميعاد."
1954,corpus-6-test-corpus-26-dev,هل يمكن أن أحجز سيارة للإيجار من هنا ؟,هل يمكن أن أحجز سيارة للإيجار من هنا ؟
1968,corpus-6-test-corpus-26-train,هل أنت أمريكي ؟,هل أنت أمريكي ؟
1980,corpus-6-test-corpus-26-test,"إلى هذا المكان , لو سمحت .","إلى هذا المكان, لو سمحت."
1985,corpus-6-test-corpus-26-train,لقد تعطلت سيارتي .,لقد تعطلت سيارتي.
1988,corpus-6-test-corpus-26-train,أين مظلل العيون ؟,أين مظلل العيون ؟
1993,corpus-6-test-corpus-26-train,نريد ركناً هادئاً ، إن أمكن .,نريد ركناً هادئاً ، إن أمكن.
1997,corpus-6-test-corpus-26-train,هل هذه السيارة الأجرة متاحة ؟,هل هذه السيارة الأجرة متاحة ؟
1998,corpus-6-test-corpus-26-train,هل هذه محطة قطار سريع ؟,هل هذه محطة قطار سريع ؟
