id,split,MSA,EGY,EGY Translation
370,corpus-6-test-corpus-26-train,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .,يسعدنا نقدم ليكم المشروب اللي تختاروة، بعد الاكل . حتلاقو لسته كاملة بأنواع المشروبات اللي بنقدمها في رحلتنا موجوده في دليل المعلومات في مجلتنا.,ଆద్భుత ଆପଣ ଆପଣ ଆପଣ ଆପ
373,corpus-6-test-corpus-26-test,هل تعيش بالقرب من هنا ؟,انت عايش قريب من هنا؟,أنت هنا?
375,corpus-6-test-corpus-26-train,أين محل الهدايا ؟,فين محل الهدايا؟,Where is the gift shop?
386,corpus-6-test-corpus-26-test,أنا على الطريق الرئيسي بجانب خليج موروا .,انا عالطريق السريع جنب خليج مورو.,أنا على طريق الرئيسي a n'amajyar.
391,corpus-6-test-corpus-26-train,أريد منبه ، من فضلك .,من فضلك عايز منبه .,"أنا ingin a, s'ai."
398,corpus-6-test-corpus-26-dev,بالمناسبة ، اسمي هيروش إيجيما .,بالمناسبه، اسمي هيوشي ايجيما .,"Bonjour, j'ai named Haris."
401,corpus-6-test-corpus-26-dev,"هذا القطار يتوقف في لاك فورست , أليس كذلك ؟",القطر ده بيقف في محطة لاك فورست، مش كده؟,"ଏହି కారు ଲା ଫର୍સ્ટ, ليس?"
408,corpus-6-test-corpus-26-train,معظم اليابانيين يأكلون الأخطبوط والحبار .,معظم اليابانيين بياكلوا اخطبوط و سبيط .,മിക്ക اليابانيين ଖାଉ বাদাম.
416,corpus-6-test-corpus-26-train,"هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟",ممكن من فضلك تذكرتين درجة تانية لشيكاجو؟,أنا يمكنك إكتشف ثلاث نقاط أخرى لليابان 
419,corpus-6-test-corpus-26-train,لقد ذهبت إلى نيويورك .,انا رجت نيويورك .,أنا سافر إلى نيويورك.
423,corpus-6-test-corpus-26-train,ما هو رقم الرحلة الجوية ؟,ايه رقم الرحلة؟,ايه رقم رحلة الجوية؟
442,corpus-6-test-corpus-26-test,واحد لنيويورك ، من فضلك .,تذكرة لنيويورك من فضلك .,Otu n'a n'a n'a n'a 
446,corpus-6-test-corpus-26-train,لعدة أيام قليلة .,حوالي ايام قليله .,""""""" a few days."
447,corpus-6-test-corpus-26-train,الثاني من على اليسار .,التاني عالشمال .,Third a n'a n'a n'a n'
471,corpus-6-test-corpus-26-dev,"هذا الكارت , حسناً ؟",الكارت اهوه . .تمام كده؟,"Okay, okay?"
488,corpus-6-test-corpus-26-train,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟,هو ده مكتب الاستقبال؟ ما فيش عيادة قريبه؟,ଆପଣ مكتب الاجتماعات؟ - ଆପଣ ଆପ
493,corpus-6-test-corpus-26-train,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟,حيكفي عشر دولارات للتاكسي؟,ଆମେ عشر دولار ଆମେ ଆମେ ଆମ
503,corpus-6-test-corpus-26-train,أنه ذو مذاق غريب .,طعمة غريب .,তিনি ଜଣ ଜଣ.
512,corpus-6-test-corpus-26-train,"نعم . انتظر , سوف احضر لك واحدة .",ايوه . استنى انا جبت واحد ليك .,"Okay. Okay, await. I'll bring you one."
516,corpus-6-test-corpus-26-train,"نصف زجاجة , من فضلك .",نص قزازة، من فضلك .,"ଆପଣ, ଆପଣ."
540,corpus-6-test-corpus-26-train,ليس تماماً . فقط شيء ما غير غالي الثمن .,مش بالظبط . حاجه بس ماتكونش غاليه .,ليس تماماً. cuma n'a n'a n
548,corpus-6-test-corpus-26-train,هل تبحث عن شيء ما ؟,بتدور على حاجه؟,ଆପଣ ଆପଣ ଜଣ?
551,corpus-6-test-corpus-26-train,أربع ليالي .,اربع ليالي .,أربع ليلة.
553,corpus-6-test-corpus-26-train,أريد بعض الجوارب الرجالي .,عايز شويه شرابات .,أنا بحاجة بعض الجوارب الرجالي.
565,corpus-6-test-corpus-26-train,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟,ممكن تبيعه أرخص علشان هناك شويه بقع؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
571,corpus-6-test-corpus-26-train,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .,راجل خبطني . و يعد كده اخدت بالي ان المحفظة راحت .,"أنا رأيت أحد الأشخاص, ثم اكتشفت "
599,corpus-6-test-corpus-26-train,أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .,انا مش متأكد اني حطيت في الشنطة لبس يكفيني تلات تيام .,أنا لست على درجة otú o n'a n
612,corpus-6-test-corpus-26-train,حسناً ، أود أن أجرب النبيذ الأبيض .,تمام، نحب نجرب النبيت الابيض .,"أنا أنا بحاجة, أنا تريدني شاي بيض."
631,corpus-6-test-corpus-26-train,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .,لو حد سال عني، قله اني حأكون موجود عالقهوة .,"ଯଦି أحد مني سألتني, أنا سوف كون"
632,corpus-6-test-corpus-26-train,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .,انا متأكد ان كان معايا في الجيب الجواني بتاع البالطو بتاعي .,أنا أنا বিশ্বাস أنه وضعت هذه الأكياس داخلي
641,corpus-6-test-corpus-26-test,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد الاتصال به ؟,ممكن أعرف أسم و رقم الشخص اللي هتكلمه؟,ଆପଣ కాల్ କରିବା નામ ورقم شريكك?
643,corpus-6-test-corpus-26-train,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟,هى الخطوط الجوية حتدفعلي علشان اشتري حاجات شخصية اسايه؟,Ǹjɔ sɛ sɛ sɛ sɛ sɛ
650,corpus-6-test-corpus-26-train,أرغب في غرفة بحمام .,عايز اوضه بحمام .,أنا بحاجة غرفة حمام.
652,corpus-6-test-corpus-26-dev,لم يخرج من الماكينة شيء .,مافيش حاجة بتخرج من المكنه ؟,""""""" أنا لست بحاجة."
667,corpus-6-test-corpus-26-test,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .,انت كان المفروض تاخد الرحلة تمانية اتنين صفر، اللي اقلعت من خمستاشر دقيقة . على الى حال انا اقدر ارتب رحلة جديدة عشانك .,""""""" 'A wanna go on a flight numbers eight and eleven "
673,corpus-6-test-corpus-26-train,شخص ما فتح الطرد الخاص بي .,فيه واحد فتح الطرد بتاعي .,ఎవరైనా فتح هاتفي.
679,corpus-6-test-corpus-26-test,"آوه , الأمر بسيط ، هل أنت هنا ، على أية حال .",أوة، لا ولا حاجه . المهم انك هنا، على اى حال .,"Okay, okay, otú otú otú otú "
680,corpus-6-test-corpus-26-train,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .,الخطوط الجوية اليابانيه، رحلة رقم ميه تلاته و عشرين .,"Nippon Air Lines, ndege namba one."
681,corpus-6-test-corpus-26-train,أرغب في شراء شامبو .,عايز اشتري شامبو .,أنا ingin acheter shampoo.
683,corpus-6-test-corpus-26-train,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .,ممكن تقوللي لما نوصل لمركز الخدمات المدنية؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
688,corpus-6-test-corpus-26-train,ـ أين أقرب محل جزارة ؟,فين أقرب جزار؟,Where is the closest place?
703,corpus-6-test-corpus-26-train,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .,عايزين نحجز اربع ليالي من اول اغسطس .,ଆମେ ଆମେ ନିଆଁ أربع ليلة 
708,corpus-6-test-corpus-26-train,ما اسم هذه الوردة ؟,ايه اسم الورده ديه؟,ايه هذه وردة؟
719,corpus-6-test-corpus-26-train,الخامس عشر من سبتمبر يوم احترام المسنين .,يوم خمستاشر سبتمبر بيكون يوم احترام العواجيز .,OCTOBER - Ɔsana a ɛwɔ Ɔsana.
723,corpus-6-test-corpus-26-train,ليس هناك صابون في حجرتي .,مافيش شوربه في أوضتي .,أنا لست بحاجة.
741,corpus-6-test-corpus-26-dev,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي ؟,فيه اى حاجه ممكن اخدها علشان الطفح الجلدي؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
742,corpus-6-test-corpus-26-train,هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟,ممكن تغير الصيقة للي انتي لسه قايله دلوقتي؟,ଆପଣ يمكنك تغييره طبقاً لما قلته 
761,corpus-6-test-corpus-26-test,كم ستستغرق لكي تطلب ؟,بياخد وقت اد ايه علشان اطلب حاجه؟,ଆପଣ ଆପଣ ଆପଣ?
773,corpus-6-test-corpus-26-train,"لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .",ممكن من فضلك تتكلم بصوت أعلى؟,"أنا لست ستطيع فعل ذلك, لكن أنا سوف"
777,corpus-6-test-corpus-26-train,كم تستغرق حتى تصبح متاحة .,حياخد وقت اد ايه قبل ما يخرج؟,ଆପଣ ଆପଣ ଆପଣ ନିୟନ୍ତ.
786,corpus-6-test-corpus-26-train,أين الاستعلامات الرياضية ؟,فين معلومات الرياضة؟,Where are rugby courses?
787,corpus-6-test-corpus-26-train,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .,الحجم ده . اللي انتي بتقول عليها الحجم العادي . .يؤدي الغرض .,"ଏହି ପାసి, which a swear a s"
793,corpus-6-test-corpus-26-test,أين ستنتهي الجولة ، ومتى ؟,امتى حتنتهي الرحلة، و فين؟,Where s'é y'a?
848,corpus-6-test-corpus-26-train,من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟,منين اقدر اغير القطر علشان اوصل ادنبرة ؟,Where can I change the train which takes me to Edinburgh?
855,corpus-6-test-corpus-26-train,أود أن أضع ذلك في صندوق ودائع آمن .,عايز احطه في صندوق ايداع امن .,أنا بحاجة لوضع ذلك في صندوق ودائع آمن
859,corpus-6-test-corpus-26-train,أين يمكنني تغير نقودي ؟,فين أقدر اغير فلوسي؟,Where can I change my pencil?
897,corpus-6-test-corpus-26-train,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟,ينفع نسيب حاجتنا في الاتوبيس، ماعدا الحاجات المهمه؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
902,corpus-6-test-corpus-26-train,أتساءل عن هذه الرسوم الزائدة على فاتورتي .,انا بأتسائل عن التكلفة ديه اللي في الفاتورة علشان ايه.,أنا 'ਤੇ ଜଣ ଏହି ଫଟୋଟି 
917,corpus-6-test-corpus-26-train,أنا سوف أدفع خمسون دولاراً .,حأدفع خمسين دولار .,أنا سأدفع خمسة دولار.
941,corpus-6-test-corpus-26-train,الآن أعرف . ماذا كان الخطأ . ؟,دلوقتي عارف ان الموضوع كان غلط .,أنا عرف. ايه.?
957,corpus-6-test-corpus-26-dev,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة في تمام الساعة السادسة والثلث هذا المساء . ولكني آسفة لأني سأصل متأخرة نصف ساعة .,انا ايكيدا اللي بيكلمك. انا حاجز ترابيزة الساعة سته و نص الليله ديه . بس اسف حاتأخر نص ساعة.,أنا أنا لدي مائدة ليلة 8:46 - 00 
1003,corpus-6-test-corpus-26-train,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟,اقدر اشتري كام أوقية بارفان ماعليهاش جمارك؟,আমি يمكنك بيع شاي بدون رسوم?
1007,corpus-6-test-corpus-26-train,فقط سياحة .,مجرد سياحة .,ଏହା ନିର୍ମାଣ.
1010,corpus-6-test-corpus-26-train,"هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟",ده كويس، من فضلك أمضيهم . عاوزه ازاي؟,"Awesome, a wanna be. Why do you want it?"
1023,corpus-6-test-corpus-26-test,هل لا زال لديكم مقاعد لعرض الليلة ؟,لسه فيه كراسي لمسرحية الليله؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ କାର୍
1036,corpus-6-test-corpus-26-train,أود الحصول على واحدة كبيرة .,انا حابب الكبير .,أنا بحاجة لبعض.
1037,corpus-6-test-corpus-26-dev,لقد نمت و لم أتيقظ حين رن منبه السادسة و النصف .,نمت لغاية ما المنبة رن الساعة سته و نص .,أنا نَام و لم أتيقظ حين rɔ n'
1038,corpus-6-test-corpus-26-train,أنا مصور حر .,أنا مصوراتي حر.,أنا ఫోటో حر.
1047,corpus-6-test-corpus-26-train,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟,اللي بيوزعو الورق يقدرو يبدلو دولاراتك بقواشيط الكازينو . نروح؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
1056,corpus-6-test-corpus-26-dev,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام .,عندنا حوالي تلاتين نوع من زيوت الحمام .,ଆମେ ثلاث نوع حمام.
1062,corpus-6-test-corpus-26-train,سوف أحضر لك العرض الأسبوع القادم .,حيكون معايا العرض بتاعك الاسبوع الجاي .,أنا سوف أحضر لك عرض الأسبوع القادم.
1074,corpus-6-test-corpus-26-train,شكراُ لك . كم تكلفة هذا القفاز ؟,أشكرك . بكام الجوانتي ده؟,شكراً لك. كم تكلفة هذا قفازات؟
1098,corpus-6-test-corpus-26-train,علىّ أن أذهب ، سأتصل بك لاحقاً .,لازم أمشي . حأكلمك بعدين .,"أنا أنا যাব, أنا اتصل بك."
1100,corpus-6-test-corpus-26-train,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .,عايز بمبرز استعمال مره واحدة .,أنا بحاجة بعض حشرات التي يمكن التخلص منها
1122,corpus-6-test-corpus-26-train,أين نشأت سمكات الفراش هذه ؟,فين بلد سمك الفراشه ده؟,Where were the plates?
1124,corpus-6-test-corpus-26-train,هل لك أن تغيرهم إلى دولارات من فضلك ؟,ممكن تغيرهم لدولارات، لو سمحت؟,ଆପଣ يغير دولار?
1139,corpus-6-test-corpus-26-train,نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .,أحنا محظوظين . عندهم واحد مقاس أربعة في محل الا موانا .,Nous n'abat. They have a quatre feet
1146,corpus-6-test-corpus-26-train,هل هناك سيارة ليموزين ؟,الاقي ليموزين؟,ଆମ سيارة الليموزين؟
1163,corpus-6-test-corpus-26-dev,هل لى أن أتلقى اتصالاً يوقظنى فى الخامسة و النصف من صباح الغد ؟,ممكن تصحوني بالتليفون بكرة خمسه و نص الصبح؟,Ǹjɔ sɛ sɛ sɛ sɛ sɛ
1165,corpus-6-test-corpus-26-train,أُفضلُ حجرة هادئة .,بأفضل أوضه هادية .,أنا أنا మంచి حجرة هادئة.
1167,corpus-6-test-corpus-26-train,أريد مزيلا لطلاء الأظافر .,عايز مزيل مونيكير .,أنا بحاجة لعلاج أذنيك.
1183,corpus-6-test-corpus-26-train,أريد بطارية .,عايز بطارية .,أنا بحاجة.
1193,corpus-6-test-corpus-26-test,هل هناك فرقة موسيقية أم دي جي ؟,فيه فرقة موسيقية لايف أو ديجيه؟,ଆମେ الموسيقي أم دي جي?
1194,corpus-6-test-corpus-26-train,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟,ممكن أجر معدات غطس؟,أنا ستطيع إرادة ملابس أثناء السباحة؟
1199,corpus-6-test-corpus-26-dev,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر .,عايز أحجز أوضة أربع ليال من أول اتنين و عشرين ديسمبر .,ଆଡ غرفة أربع الليالي beginning from October until December 
1212,corpus-6-test-corpus-26-train,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟,الشنطة ديه تستحمل كل أنواع الطقس؟,ଆପଣ ଏହି ପାଖ مناسب لكل مكان?
1213,corpus-6-test-corpus-26-train,أريد كعكة محلاة من فضلك .,عايز كحك دونات، من فضلك .,أنا بحاجة لصوص.
1218,corpus-6-test-corpus-26-train,أريد تأجير سلاح آلى لمدة يومين .,عايز أأجر عربية أوتامتيك ليومين .,أنا ingin a sniper a few days.
1224,corpus-6-test-corpus-26-train,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .,فاتتني الرحلة رقم عشرين لسان فرانسيسكو.,أنا لست بحاجة إلى رقم عشرين a n'
1234,corpus-6-test-corpus-26-train,كم سأدفع للوصول إلى المطار ؟,بكام للمطار؟,أنا مالي وصل إلى فندق؟
1235,corpus-6-test-corpus-26-train,هذا جيد . متى هو ؟,ده كويس . امتى يكون؟,Okay. When is it?
1276,corpus-6-test-corpus-26-train,كم عمر ابنتك ؟,بنتك أد ايه؟,ଆପଣ వయసు?
1312,corpus-6-test-corpus-26-train,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟,ممكن تقولي عن فندق نضيف و رخيص؟,"""""""هل يمكنك قولي على فنادق صغيرة وافحص"
1321,corpus-6-test-corpus-26-train,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .,نقدر نحجزلك أوضه مريحة في القلعة القديمة جنب نادي جولف مشهور .,ଆପଣ ଆପଣ غرفة مريحة قرب نادي 
1329,corpus-6-test-corpus-26-train,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .,بأنصح بده لأنه مصنوع ميه بالميه من المكونات الطبيعية .,""""""" - a n'a n'a n'a "
1361,corpus-6-test-corpus-26-dev,هل يتوقف القطار في برايتون ؟,القطر بيقف في بريتون؟,ଆପଣ يوقف రైలుకు?
1369,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟,ممكن تقوللي منين أخد تاكسي؟,"""""""هل يمكنك سؤالهم Where I Can Get Taxi?"
1375,corpus-6-test-corpus-26-train,تذكرتين درجة ثانية من فضلك .,تذكرتين درجة تانيه، من فضلك .,ଆପଣ ତାଙ୍କ ପାଖ.
1384,corpus-6-test-corpus-26-train,أود أن أرسل فاكس .,عايز ابعت فاكس .,أنا اتصل على  fax.
1394,corpus-6-test-corpus-26-train,أريد مكواة سفر .,محتاج مكوة سفر .,أنا بحاجة لنقل.
1396,corpus-6-test-corpus-26-train,أيمكنني أن أقدم لك أي شيء ؟,ممكن أقدملك اى حاجة؟,أنا يمكنك تقديمه شيئا؟
1404,corpus-6-test-corpus-26-train,أخشى أن أسأل ، لكن ماذا تعني ؟,يومي؟ انا خايف اسأل، لكن انت تقصد ايه؟,"أنا بحاجة, lakini ايه?"
1418,corpus-6-test-corpus-26-train,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .,عايزة واحده تقدر تشيل ورق بحجم ورق الجوابات من غير ما يكونوا مطويين .,أنا ingin onye a n'a n'a n'
1433,corpus-6-test-corpus-26-test,نعم ، لكن ليس قويا جدا .,أيوة، بس ما يكونش جامد جدا .,"Okay, lakini n'a n'a n'a n"
1434,corpus-6-test-corpus-26-train,أنا شديد الحساسية للقطط .,عندي حساسيه من القطط .,أنا حساس للغاية.
1436,corpus-6-test-corpus-26-train,"نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .",أيوة، لازم يكون عندك رخصة سواقة، اه، يكون عندك رخصه من لجنة التاكسي و الليموزين .,"Okay, a wajib a l'adhésif, a"
1462,corpus-6-test-corpus-26-train,استمر يا سيدي .,اتفضل، يا استاذ .,"Okay, shì."
1465,corpus-6-test-corpus-26-test,يبدوا أنني غير قادر على الحصول على الماء الساخن .,شكلي مش حيوصلي ميه سخنه .,আমি ଜଣ أنا لست قادرة على حصول على 
1474,corpus-6-test-corpus-26-train,أود أن أحجز غرفة لهذه الليلة .,عايز أحجر أوده الليله ديه .,أنا بحاجة غرفة ليلة.
1492,corpus-6-test-corpus-26-train,لا ، إنها لا تشمل الضريبة ومصاريف الخدمة .,لأ، ده مستثنى من الضرايب و مصارف الخدمة .,""""""" -'-'-'-'"
1506,corpus-6-test-corpus-26-train,هل تريد أن تذهب للتسوق معي بعد الظهر ؟,تحب نروح تتسوق معايا بعد الضهر؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
1508,corpus-6-test-corpus-26-test,هيه ، هذا فستان جميل حقا .,ازيك، ده حقيقي فستان جميل.,"ଏହା, فستان جميل حقا."
