MSA,Sudanese,lang
 في يوم من الأيام، قرر أحمد أن يجرب وجبة جديدة في المطعم المحلي. عندما قرأ القائمة، وجد خيارًا يحتوي على لحم خنزير مملح. ولكنه تذكر أن تناول لحم الخنزير محرم في دينه. فقرر أن يطلب طبقًا آخر يحتوي على الدجاج والأرز بدلًا من ذلك. , في يوم، أحمد قرر يجرب أكلة جديدة في مطعم الحي. لما قرأ المنيو، لقى خيار فيهو لحم خنزير مملح. بس تذكر إنو أكل لحم الخنزير حرام في دينا. فقرر يطلب طبق تاني فيهو دجاج ورز بدال داك. ,Sudanese
 في يوم مشمس، ذهب أحمد إلى المكتبة للدراسة. وجد مكاناً هادئاً بين الرفوف وبدأ بقراءة كتبه. بعد ساعات، انضمت إليه صديقته سارة لمساعدته. انتهى اليوم بنجاح حيث استطاع أحمد أن يفهم ويحل جميع المسائل الصعبة. , في يوم مشمس، راح أحمد للمكتبة يذاكر. لقى زاوية هادية وسط الدواليب وقعد يقرا في كتبو. بعد كم ساعة، جاتو صاحبتو سارة تساعدو. خلص اليوم بنجاح وأحمد فهم وحل كل الأسئلة الصعبة. ,Sudanese
" في يوم عاصف، احتاجت السيدة أمينة للذهاب إلى السوق بسرعة. وجدت صعوبة في إيقاف سيارة أجرة بسبب الأمطار الغزيرة. عندما اقتربت سيارة، صرخت قائلة: ""من فضلك، أسرع!"" وأخيرًا تمكنت من الوصول إلى وجهتها في الوقت المحدد. "," في يوم هباب، كانت أمينة عايزة تمشي السوق بسرعة. الزولة ما قادرة تلقى تاكسي عشان المطرة كانت شديدة. لما جات عربية جنبها، قالت بصوت عالي: ""الله يخليك، أديني سريع!"" وفي الآخر، وصلت لي وين كانت رايحة بالظبط في الوقت. ",Sudanese
 كان تاناب ينتظر صديقه عند الساعة السابعة. وعندما وصل الشخص الآخر، بدأت بينهما محادثة مهمة. تحدثا عن مشروع مشترك كانا يخططان له. وفي نهاية اللقاء، اتفقا على الخطوات القادمة وودع كل منهما الآخر بحرارة. , كان تاناب قاعد منتظر صاحبو عند الساعة سبعة. لما جا الزول التاني، اتونسوا في حاجة مهمة. كلموا بعض عن مشروع مع بعض حايمسكوهو. وختوا النقاط على الحروف للخطوات الجاية وفارقوا بعض وهما فرحانين. ,Sudanese
 التكييف لا يعمل، فقرر أحمد الاتصال بالصيانة. وصل الفني وتبين أن العطل بسيط ويمكن إصلاحه. بعد ساعة من العمل، عاد التكييف للعمل بكفاءة. شعر أحمد بالارتياح وهو يستعد لقضاء باقي اليوم براحة. , التكيف ما شغال، قام أحمد اتصل بالصيانة. الفني جا ولقى العطل بسيط وينعمل ليهو حل. بعد ساعة من الشغل، التكيف رجع شغال تمام. أحمد حس براحة وهسي جاهز يقضي باقي اليوم مرتاح. ,Sudanese
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل يوم اتنين تقوم بدري تعمل الفطور للعيلة. بتجهز البيض المقلي والروتي الفريش والشاي الدافئ. بعد ما تخلص الفطور، تشيل في البيت وتراعي الجنينة. هكذا هي كل يوم اتنين، بتملي الدار بالحنان والدفا. ,Sudanese
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," محمد وصل للمطار بدري وشايل شنطتو بين إيديهو. سمع صوت المذيع بيقول ليهو يمشي لي قاعة المغادرة الدولية. ودع صحابو وقال ليهم: ""من فضلكم امشوا لي قاعة المغادرة الدولية، أتمنى ليكم سفرة سعيدة"". طلع للطيارة وعينيهو مليانة بالحماس للمغامرة الجديدة. ",Sudanese
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد كان عاوز يمشي باريس يشوف برج إيفل. فسأل وكيل السفر: ""عندكم سفريات لـ باريس بـ قطار يوروستار ولا شنو؟"" وكيل السفر قال ليهو في رحلة جاهزة الأسبوع الجاي. أحمد خت تذكرتو وفرح شديد عشان الرحلة. ",Sudanese
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , الساعة السيكو الديجتال ديك كانت هدية من جدي. كل يوم، كانت تفكرني بأيام حلوة قضيتا سوا. في يوم من الأيام، اتضيعت الساعة وحسيت بحزن كبير. بعد ما دورت كتير، لقيتها تحت السرير، ورجعت لي الذكريات الحلوة. ,Sudanese
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , جبت الشهادة الطبية لدكتوري من اليابان. ولما شافها، عجب بالنضام والكتابة الفيها. بعدين قرر يطبق الطريقة دي في عيادتو. ومع الزمن، العيادة بقت مشهورة ومثال كويس في البلد. ,Sudanese
 ذهب محمد إلى المستشفى ليستلم فواتير علاجه الطبي. سأل الطبيب إذا ما كانت الفواتير تشمل كل التفاصيل. أكد الطبيب أن كل شيء موثق بدقة. شعر محمد بالارتياح لأنه سيتمكن من تقديم الوثائق لشركة التأمين. , محمد راح للمستشفى يستلم فواتير علاجو. سأل الدكتور لو الفواتير فيها كل التفاصيل. الدكتور قال ليهو كل حاجة مسجلة صاح. محمد حس براحة لأنه حيقدر يوري الورق لشركة التأمين. ,Sudanese
 كان أحمد يبحث عن قاموس جيب في المكتبة ليساعده في دراسته للغة الإنجليزية. وجد واحدًا مناسبًا، فقد كان صغيرًا وعمليًا. دفع ثمن القاموس وشعر بسعادة لأنه سيكون مفيدًا في رحلته القادمة. استعمله كل يوم وتحسنت لغته الإنجليزية بشكل ملحوظ. , أحمد كان بيدور على قاموس جيب صغير في المكتبة عشان يساعدو في دراستو للإنجليزي. لقا واحد كويس كده، صغير وينفع يستخدمو في أي مكان. دفع القروش وفرح لأنو ح ينفعو في سفرتو الجاية. استخدمو كل يوم ولغتو الإنجليزية بقت أحسن كتير. ,Sudanese
 حسناً، أنا لا أعلم ماذا حدث بالضبط، ولكن يبدو أن القط قد تسلق الشجرة ولم يستطع النزول. استدعينا رجال الإطفاء لمساعدته. وبعد جهود حثيثة، تمكنوا من إنقاذه. شكرتهم كثيرًا لأنهم أعادوا القط إلى أرض الأمان. , أيوه، أنا ما عارف شنو حصل بالضبط، لكن شكلها البسة طلعت الشجرة وما قدرت تنزل. يعني جبنا ناس الإطفاء يساعدوها. وبعد تعب شديد، قدروا ينقذوها. زول كترت شكري ليهم عشان رجعوا البسة للأمان. ,Sudanese
 مبروك، علمت أنه قد تم ترقيتك إلى نائب رئيس. في يوم الترقية، استعد خالد بكل حماس ليذهب إلى العمل. وعند وصوله، استقبله زملاؤه بالتصفيق والتهاني. شعر بالفخر والسعادة لهذا الإنجاز، وعزم على مواصلة العمل بجد وإخلاص. , مبروك، عرفت إنو اترقيت لنائب الرئيس. في يوم الترقية، خالد وقف جاهز ومتحمس يمشي للشغل. لما وصل، زمايلو استقبلوهو بالتشجيع والمباركات. حس بالفخر والفرحة بالإنجاز ده، وقرر يستمر يشتغل بجد وأمانة. ,Sudanese
 مساء بعد غد، سيعقد القرية احتفالاً كبيراً يشمل الألعاب النارية والرقص. وسيجتمع الناس من كل أنحاء المنطقة لمشاركة الفرح والمأكولات التقليدية. ستقدم الفرق الموسيقية عروضاً حية، وستكون الموسيقى ساحرة تملأ الأجواء. وبينما تغرب الشمس، ستضاء السماء بألوان الألعاب النارية، معلنة نهاية يوم لا يُنسى. , مسا بعد بكرة، القرية حاتعمل حفلة كبيرة فيها شمارات ورقيص. الناس حايجو من كل ناحية في الحوش عشان يفرحو وياكلو الأكل الأصيل. الفرق المزيكية حاتعزف لايف، والمزيكة حاتكون سِحِر تملي الجو. ولما تغرب الشمس، السما حاتتضوي بألوان الشمارات، وتقول ختام ليوم ما بنتسى. ,Sudanese
 في جنوب اليابان حيث البحار الدافئة، يوجد صياد قديم يعيش وحيدًا في بيت صغير. كل صباح، يأخذ قاربه الخشبي الصغير ويبحر بحثًا عن الأسماك. يتميز بالصبر والهدوء، ويعتبر البحر صديقه الوحيد. في المساء، يعود إلى قريته حاملاً ما اصطاده، ويشارك قصص البحر مع الأطفال. , في جنوب اليابان وين البحر دافي، في زول صياد كبير في السن ساكن لوحدو في بيت صغير. كل صباح، بمشي بقاربو الخشب الصغير يجدع في البحر يدور على السمك. بتحلى بالصبر والهدوء، وبعتبر البحر ده صاحبو الوحيد. برجع المغرب لدغريتو ومعاهو السمك الجابو، وبحكي للجهال حكاوي البحر. ,Sudanese
 اشترى أحمد تذكرة ذهاب وعودة إلى شيكاغو لحضور مؤتمر علمي. وصل إلى المدينة واستمتع بزيارة المعالم الشهيرة. التقى هناك بباحثين من مختلف دول العالم. عاد إلى وطنه مليئاً بالأفكار والخبرات الجديدة. , أحمد اشترى تذاكر روحة وجية لشيكاغو عشان يحضر مؤتمر علمي. وصل هناك وانبسط بزيارة الأماكن المشهورة. قابل ناس من جميع أنحاء العالم. رجع لبلدو حامل أفكار وخبرات جديدة. ,Sudanese
 في يوم من الأيام، قرر أحمد أن يجرب وجبة جديدة في المطعم المحلي. عندما قرأ القائمة، وجد خيارًا يحتوي على لحم خنزير مملح. ولكنه تذكر أن تناول لحم الخنزير محرم في دينه. فقرر أن يطلب طبقًا آخر يحتوي على الدجاج والأرز بدلًا من ذلك. , في يوم، أحمد قرر يجرب أكلة جديدة في مطعم الحي. لما قرأ المنيو، لقى خيار فيهو لحم خنزير مملح. بس تذكر إنو أكل لحم الخنزير حرام في دينا. فقرر يطلب طبق تاني فيهو دجاج ورز بدال داك. ,Sudanese
 في يوم مشمس، ذهب أحمد إلى المكتبة للدراسة. وجد مكاناً هادئاً بين الرفوف وبدأ بقراءة كتبه. بعد ساعات، انضمت إليه صديقته سارة لمساعدته. انتهى اليوم بنجاح حيث استطاع أحمد أن يفهم ويحل جميع المسائل الصعبة. , في يوم مشمس، راح أحمد للمكتبة يذاكر. لقى زاوية هادية وسط الدواليب وقعد يقرا في كتبو. بعد كم ساعة، جاتو صاحبتو سارة تساعدو. خلص اليوم بنجاح وأحمد فهم وحل كل الأسئلة الصعبة. ,Sudanese
" في يوم عاصف، احتاجت السيدة أمينة للذهاب إلى السوق بسرعة. وجدت صعوبة في إيقاف سيارة أجرة بسبب الأمطار الغزيرة. عندما اقتربت سيارة، صرخت قائلة: ""من فضلك، أسرع!"" وأخيرًا تمكنت من الوصول إلى وجهتها في الوقت المحدد. "," في يوم هباب، كانت أمينة عايزة تمشي السوق بسرعة. الزولة ما قادرة تلقى تاكسي عشان المطرة كانت شديدة. لما جات عربية جنبها، قالت بصوت عالي: ""الله يخليك، أديني سريع!"" وفي الآخر، وصلت لي وين كانت رايحة بالظبط في الوقت. ",Sudanese
 كان تاناب ينتظر صديقه عند الساعة السابعة. وعندما وصل الشخص الآخر، بدأت بينهما محادثة مهمة. تحدثا عن مشروع مشترك كانا يخططان له. وفي نهاية اللقاء، اتفقا على الخطوات القادمة وودع كل منهما الآخر بحرارة. , كان تاناب قاعد منتظر صاحبو عند الساعة سبعة. لما جا الزول التاني، اتونسوا في حاجة مهمة. كلموا بعض عن مشروع مع بعض حايمسكوهو. وختوا النقاط على الحروف للخطوات الجاية وفارقوا بعض وهما فرحانين. ,Sudanese
 التكييف لا يعمل، فقرر أحمد الاتصال بالصيانة. وصل الفني وتبين أن العطل بسيط ويمكن إصلاحه. بعد ساعة من العمل، عاد التكييف للعمل بكفاءة. شعر أحمد بالارتياح وهو يستعد لقضاء باقي اليوم براحة. , التكيف ما شغال، قام أحمد اتصل بالصيانة. الفني جا ولقى العطل بسيط وينعمل ليهو حل. بعد ساعة من الشغل، التكيف رجع شغال تمام. أحمد حس براحة وهسي جاهز يقضي باقي اليوم مرتاح. ,Sudanese
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل يوم اتنين تقوم بدري تعمل الفطور للعيلة. بتجهز البيض المقلي والروتي الفريش والشاي الدافئ. بعد ما تخلص الفطور، تشيل في البيت وتراعي الجنينة. هكذا هي كل يوم اتنين، بتملي الدار بالحنان والدفا. ,Sudanese
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," محمد وصل للمطار بدري وشايل شنطتو بين إيديهو. سمع صوت المذيع بيقول ليهو يمشي لي قاعة المغادرة الدولية. ودع صحابو وقال ليهم: ""من فضلكم امشوا لي قاعة المغادرة الدولية، أتمنى ليكم سفرة سعيدة"". طلع للطيارة وعينيهو مليانة بالحماس للمغامرة الجديدة. ",Sudanese
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد كان عاوز يمشي باريس يشوف برج إيفل. فسأل وكيل السفر: ""عندكم سفريات لـ باريس بـ قطار يوروستار ولا شنو؟"" وكيل السفر قال ليهو في رحلة جاهزة الأسبوع الجاي. أحمد خت تذكرتو وفرح شديد عشان الرحلة. ",Sudanese
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , الساعة السيكو الديجتال ديك كانت هدية من جدي. كل يوم، كانت تفكرني بأيام حلوة قضيتا سوا. في يوم من الأيام، اتضيعت الساعة وحسيت بحزن كبير. بعد ما دورت كتير، لقيتها تحت السرير، ورجعت لي الذكريات الحلوة. ,Sudanese
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , جبت الشهادة الطبية لدكتوري من اليابان. ولما شافها، عجب بالنضام والكتابة الفيها. بعدين قرر يطبق الطريقة دي في عيادتو. ومع الزمن، العيادة بقت مشهورة ومثال كويس في البلد. ,Sudanese
 في الطائرة المتجهة إلى بيروت، قرر ماجد تصفح مجلة الرحلة. وجد فيها قائمة المشروبات، واختار عصير البرتقال. جاءت المضيفة مبتسمة لتقدم له الشراب مع وجبة الغداء. شعر ماجد بالرضا وهو يتناول طعامه ويتأمل السحاب خارج النافذة. , في الطيارة البتمشي لبيروت، ماجد فتح مجلة الرحلة يقراها. لقى لستة المشروبات واختار عصير قرطم. جاتو المضيفة بابتسامة وقدمت ليهو الشراب مع الغداء. ماجد حس بالراحة وهو بياكل وبيتفرج على السحاب من الشباك. ,Sudanese
" في يوم من الأيام، سأل الطفل الغريب العجوز في الحديقة: ""هل تعيش بالقرب من هنا؟"" فأجاب العجوز بابتسامة عريضة ودعا الطفل لزيارته في منزله الصغير الذي يقع خلف الحديقة مباشرة. ومنذ ذلك اليوم، أصبح الطفل يزور العجوز يومياً، وتعلم الكثير من حكاياته وخبراته. تحولت الصداقة بينهما إلى قصة ملهمة لجميع سكان الحي. "," في يوم ما، الولد سأل العجوز القاعد في الحديقة: ""إنت ساكن جنب من هنا؟"" العجوز ضحك وقال ليهو يجي يزورو في بيتو الصغير الفي وراء الحديقة. من الزمن داك، الولد صار يمر العجوز كل يوم، واتعلم حاجات كتيرة من قصصو وتجاربو. الصداقة بيناتهم صارت حكاية بتحفز كل ناس الحي. ",Sudanese
" كان أحمد يملك متجر هدايا صغير وأراد أن يرسل بعض المنتجات إلى اليابان. تحدث مع شركة الشحن وسألهم: ""هل يمكنك أن ترسلها إلى اليابان؟"" وافقت الشركة وأخبرته بكافة الإجراءات اللازمة. بعد أيام قليلة، تلقى أحمد تأكيدًا بأن الهدايا وصلت إلى اليابان بسلام. "," كان أحمد عندو دكان صغيرون للهدايا وكان عاوز يبعت حاجات لليابان. إتكلم مع ناس الشحن وقال ليهم: ""ممكن تبعتوها لليابان؟"" الشركة وافقت وقالت ليهو كل الخطوات اللازمة. وبعد يوماتي، أحمد استلم تأكيد إن الهدايا وصلت لليابان سالمة. ",Sudanese
 ذهب يوسف إلى المول ليبحث عن محل الهدايا. وجده بعد بحث طويل في الطابق الثاني. اشترى هدية لأخته وكانت سعيدة جداً بها. عاد إلى البيت مسروراً بما اختار. , يوسف مشى للمول يدور على دكان الهدايا. لقاهو بعد ما دار كتير في الدور التاني. اشترى هدية لأختو وهي فرحت بيها شديد. رجع للبيت مبسوط بالهدية الجابها. ,Sudanese
 وافقت نورا على الالتقاء بصديقها يوم الجمعة. وعندما جاء ذلك اليوم، استيقظت مبكرًا وأعدت نفسها للخروج. ولكنها تلقت رسالة من صديقها يعتذر فيها عن التأخير. فقررت نورا أن تستغل الوقت في قراءة كتابها المفضل. , نورا وافقت تقابل صاحبها يوم الجمعة. يوم جا، قامت بدري وجهزت حالا للطلعة. بس لقت رسالة منو بيعتذر عن التأخير. عشان كدا نورا قررت تقضي الوقت في قراية كتابها المحبوب. ,Sudanese
 حسنا، دعني أتثبت من المفقود والموجود. أي نوع من الكاميرات هي؟ فتح الدرج ليجد أن الكاميرا القديمة قد اختفت. تذكر أنه رآها آخر مرة على الطاولة بجانب النافذة. بحث في كل زاوية من المنزل، شعر بالقلق. في النهاية، وجدها مخبأة تحت كومة من الكتب القديمة. , خلاص، خليني أشوف المفقود والموجود. الكاميرات دي منوع؟ فتح الدرج لقى الكاميرا البالية ما لاقيها. افتكر إنه شافها آخر مرة جنب الشباك فوق الطربيزة. دوّر في كل زولية في البيت، حس بالهم. وأخيرًا، لقاها مستخبية تحت ركام من الكتب القديمة. ,Sudanese
 أنا أسف جدا، نحن نجهز لك الغرفة التي طلبتها. لقد وصل الرجل متأخراً إلى الفندق بسبب عطل في سيارته. بعد اعتذار موظف الاستقبال، أخبره أن الغرفة ستكون جاهزة بعد دقائق. شعر الرجل بارتياح لأن الخدمة كانت سريعة وكفؤة. أخيراً، استراح في غرفته متأملاً جمال الإطلالة من النافذة. , أنا آسف خالص، حنجهز ليك الأوضة اللي طلبتها. الزول وصل متأخر للهوتيل بسبب مشكلة في العربية بتاعتو. بعد الإعتذار من الزول القاعد في الاستقبال، قال ليهو إن الأوضة حتكون جاهزة بعد شوية. الزول إتحسس براحة كبيرة لأن الخدمة كانت سريعة وممتازة. في النهاية، قعد في أوضتو يتأمل في الجمال الباني من الشباك. ,Sudanese
 وجدت أحمد خريطة قديمة في السوق، وسأل البائع إذا يمكنه الاحتفاظ بها. أظهرت الخريطة محطات مترو الأنفاق ومحطات الحافلات بوضوح. أخبره البائع أن الخريطة تعود لزمن كانت المدينة في أوج عمرانها. شعر أحمد بشغف لاكتشاف تاريخ المدينة من خلال هذه الخريطة. , لقى احمد خريطة قديمة في السوق، وسأل البايع كدي يقدر يمسك بيها. الخريطة دي بتبين محطات المترو والبصات بوضوح. قال ليهو البايع إن الخريطة دي من زمن كانت المدينة فيها في قمة عمرانها. اتحمس احمد لي اكتشاف تاريخ المدينة عن طريق الخريطة دي. ,Sudanese
 آه لقد فقدت شبزوكي. بدأت البحث عنه في كل مكان، ولكن دون جدوى. شعرت بالحزن الشديد لأنه كان صديقي المفضل. في النهاية، وجدته يختبئ في الحديقة وكانت سعادتي لا توصف. , آه ياخ فقدت شبزوكي. قمت بدور في كل حتة، لكين ما لقيتو. كتر الزعل عليهو لأنو كان صاحبي المقرب. وأخيراً، لقيتو متخبي في الجنينة وفرحتي ما بتنوصف. ,Sudanese
 كنت أسير على الطريق الرئيسي بجانب خليج موروا عندما شاهدتُ غروب الشمس الساحر. فجأة، لمحتُ قارب صيد قديم يقترب من الشاطئ. اقتربتُ لألقي نظرة أفضل ووجدتُ رجلاً عجوزاً يحكي قصص البحار. قضيتُ الساعات القادمة أستمع إلى حكاياته المثيرة وأتأمل جمال الطبيعة المحيطة. , كنت ماشي في الشارع الكبير جنب خليج موروا وشفت الشمس وهي بتغرب وجمالها خيال. فجأة، عيني جات على مركب صيد قديم بيقرب من الشط. قربت عشان أشوف كويس ولقيت زول كبير في السن بيحكي عن حكاوي البحر. فضلت قاعد أسمع لي قصصو المشوقة وأتفرج على الطبيعة الحلوة الحوالينا. ,Sudanese
