MSA,Moroccan,lang
" في يوم مشمس، قرر أحمد وعائلته الذهاب في رحلة إلى البحر. قبل الرحلة بأسبوع، قال أحمد ""أريد حجز غرفتين مزدوجتين"". وجد فندقًا جميلًا يطل على الشاطئ وقام بالحجز. استمتعت العائلة بوقتها، وكانت الإجازة ناجحة. "," فنهار مشرق بالشمس، أحمد وعائلتو قررو يمشيو لرحلة على البحر. قبل الرحلة بسيمانة، قال أحمد ""بغيت نحجز جوج ديال الغرف مزدوجين"". لقا فندق زوين كايطل على البحر ودار الحجز. العائلة استمتعو بزاف، وكانت العطلة موفقة. ",Moroccan
 كانت هناك شجرة عملاقة أمام منزل أحمد، وكان يحب الجلوس تحت ظلها كل يوم. لا أريد إزالتها، فهي تحميني من حر الصيف وتمنحني الهواء النقي. جاءت البلدية لإزالة الشجرة بحجة توسعة الطريق، لكن أحمد تصدى لهم بكل قوة. وفي النهاية، نجح في إقناعهم بتغيير مسار الطريق والحفاظ على الشجرة. , كانت كاينة شجرة كبيرة قدام دار أحمد، وكان كيحب يجلس تحت ظلها كل نهار. ما بغيتش نحيدها، هادي كتحميني من حر الصيف وكتعطيني الهوا النقي. الجماعة جاو باش يحيدو الشجرة بحجة توسيع الطريق، لكن أحمد وقف في وجههم بالزربة. وفي الأخير، قدر يقنعهم يبدلو الطريق ويخليو الشجرة. ,Moroccan
" في أحد الأيام، سأل رجل عجوز عن محطة الحافلة. ""هل هذه الحافلة تتوقف في شارع أستونر؟""، سأل السائق. أومأ السائق برأسه مؤكدًا، ودعا الرجل للصعود. شكر الرجل السائق وجلس ينتظر، متأملاً المناظر الجميلة من النافذة. "," واحد النهار، شي راجل كبير في السن سول على بلاصة ديال الطوبيس. ""واش هاد الطوبيس كيوقف فزنقة أستونر؟""، سول الشيفور. الشيفور إيوافق براسو وقال ليه تفضل طلع. الراجل شكر الشيفور وبقى جالس كيتسنى وكيتأمل المناظر الزوينة من النافذة. ",Moroccan
 من فضلك افتح فمك على مداه. قال الطبيب ذلك بينما كان يحضر أدواته للفحص. شعر الطفل بالقلق ولكنه أطاع الأمر. بعد الفحص، ابتسم الطبيب مطمئنًا الطفل بأن كل شيء على ما يرام. , عافاك حل فمك على وسعو. الطبيب قال هاد الكلام وهو كيوجد آلاتو باش يفحص. الولد حس بشوية ديال الخلعة ولكن باغي يطيع. مورا المعاينة، الطبيب تبسم وعطاه الخبار ليكلخا بلي كولشي مزيان. ,Moroccan
 كان هناك رجل جائع يسأل عن سعر وجبة الإفطار. فأخبره النادل أن الإفطار يكلف عشرة دنانير. شعر الرجل بالسعادة لأن السعر كان في متناوله. وبعد الإفطار، شكر الرجل النادل وانصرف وهو يشعر بالرضا. , كان شي واحد جيعان كيسول على ثمن الفطور. السرباي قال ليه الفطور بعشرة دراهم. الرجل فرح حيت الثمن كان مناسب ليه. ومورا ما فطر، شكر الرجل السرباي ومشا وهو مرتاح. ,Moroccan
" كان هناك شاب يعمل في مكتب الاستعلامات. جاءت سيدة تبدو محتارة فسألها: ""كيف أستطيع مساعدتك؟"" فأجابت السيدة بأنها تبحث عن مكتب الضرائب. ابتسم الشاب وأرشدها إلى المكان المطلوب بكل أدب واحترام. "," كان هناك شاب خدام فمكتب الاستعلامات. جات واحد السيدة محيرة وسولها: ""كيفاش نقدر نعاونك؟"" جاوباتو السيدة بأنها كتقلب على مكتب الضرائب. الشاب ضحك ودلها على البلاصة لي بغات بكل أدب واحترام. ",Moroccan
 دعنا نأخذ قطعة لنأكلها. ذهب محمد وعلي إلى الحديقة واختارا أجمل تفاحة. قسماها بينهما واستمتعا بطعمها اللذيذ. جلسا تحت الشجرة يتحدثان عن أحلامهم. وتمنيا لو أن كل يوم يمكن أن يكون بهذه البساطة والسعادة. , خلينا ناخذو قطعة باش ناكلوها. محمد وعلي مشاو للجردة واختارو أحسن تفاحة. قسموها بيناتهم وتمتعو بطعمها الزوين. جلسو تحت الشجرة كيهدرو على لأحلام ديالهم. وتمناو لو كل نهار يقدر يكون بالساهلة والفرحة. ,Moroccan
 في يوم مشمس، قرر خالد الخروج للتنزه في المدينة. اتجه يسارًا عند الناصية الثالثة حيث وجد متجرًا قديمًا لبيع الكتب. دخل المتجر وقضى ساعات يتصفح الكتب النادرة. وفي النهاية، اشترى كتابًا قديمًا يحكي عن تاريخ المدينة. , فنهار مشرق، خالد قرر يخرج يتمشى فالمدينة. مشى ليسار فالزنقة التالتة ولقى دكان كتب قديم. دخل للدكان وبقى سوايع كيتفرج فالكتب القديمة. وفالأخير، شرا كتاب قديم كيحكي على تاريخ المدينة. ,Moroccan
" لم يكن لدى أحمد غير قميص واحد للحفل، فسأل والدته: ""هل لك أن تقوم بتنظيف هذه الملابس؟"" وافقت والدته بحنان وأخذت الملابس لتنظفها. بعد ساعات، عادت الملابس ناصعة كأنها جديدة. شعر أحمد بالامتنان ووعد بأن يعتني بملابسه أكثر في المستقبل. "," أحمد ما عندوش إلا قميج واحد باش يمشي للحفلة، سول مو: ""واش ممكن تصاوبي ليا هاد الحوايج؟"" أمه وافقات بالحنان وأخدت الحوايج باش تنقيهم. من بعد شي ساعات، جاو الحوايج لامعين بحال إلى جداد. أحمد حس بالشكر وعاهد راسو يعتني بحوايجو أكثر من دابا. ",Moroccan
 في يوم مشمس، قرر أحمد أن يبحث عن صديق قديم. وجد في دفتره العنوان ورقم الهاتف الذي كان يبحث عنه. لم يتردد في الاتصال وسأل إن كان بإمكانه زيارته، فأعطيك رقم تليفونه وعنوانه. وعندما التقيا، أمضيا وقتًا ممتعًا يستعيدان ذكريات الماضي. , فشي نهار مشرق، أحمد قرر يقلب على صاحبو القديم. لقا فدفتر تاعو العنوان والرقم ديال التيليفون اللي كان كيقلب عليه. ما ترددش وعيط ليه وسولو إلى يمكن يمشي يزورو، وعطاه رقم تيليفونو وعنوانو. وملي تلاقاو، دازو وقت زوين كيفكرو في الذكريات ديال العشرة. ,Moroccan
 لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماً. وعند وصولي إلى الفندق، استقبلني الموظفون بحفاوة بالغة. أخذت مفتاح غرفتي وصعدت إلى الطابق الخامس حيث الإطلالة الساحرة على البحر. قضيت وقتاً ممتعاً في الفندق حيث الخدمات المتميزة والجو الودي. , دفعت قيمة الأكل والفندق مُسبقاً. ملي وصلت للفندق، العمال استقبلوني بكل حفاوة. شديت المفتاح ديال البيت ديالي وطلعت للطابق الخامس فين النظرة زوينة على البحر. دوزت وقت زوين فالفندق بخدماتو الممتازة والجو العائلي. ,Moroccan
 في يوم مشمس، قرر محمد أن يبحث عن مطعم للمشويات يحظى بشعبية كبيرة. وبينما هو يتجول في الشوارع، التقى صديقه أحمد الذي أوصى بمطعم ممتاز. أخرج محمد هاتفه وبدأ يبحث عن المطعم على الخريطة. وجد المطعم بسهولة وتمتع بوجبة لذيذة لم ينساها أبدًا. , فنهار مشرق، محمد قرر يقلب على شي مطعم ديال الشوا معروف وكيعجب الناس بزاف. وهو كيتمشى فالزنقات، تلاقى مع صاحبو أحمد اللي عطاه اسم ديال واحد المطعم زوين. خرج محمد تيليفونو وبدا يقلب على المطعم فالخريطة. لقاه بلا مشكل وتهنى بواحد الوجبة بنينة ما غينساهاش. ,Moroccan
 كان أحمد قد اشترى مزهرية جميلة ليزين بها منزله. لكن بينما كان يحاول ترتيبها على الرف، اختل توازنه وتسبب في سقوطها. أنت تقوم بكسرها، فأنت الذي اشتريتها، قالت زوجته وهي تنظر إلى القطع المتناثرة. شعر أحمد بالحزن لفقدان الجمال الذي كانت تضفيه المزهرية على المكان. , أحمد شرا مزهرية زوينة باش يزين بيها الدار. وهو كيحاول يحطها فوق الطاولة، تزلق وطاحت. أنت لي كسرتيها، أنت لي شريتيها، قالتلو مرتو وهي كتشوف الشتات. أحمد حس بالأسى على زينة اللي خسرها بسبب سقوط المزهرية. ,Moroccan
 سوف أخبرها بأن تتصل بك بمجرد أن تصل. وبالفعل، بعد وصولها مباشرة، رنّ هاتفك. كان صوتها مليئًا بالحماس عندما أخبرتك عن الأخبار السارة. اتفقتما على الاحتفال بالمناسبة السعيدة مساءً. , غادي نقول ليها تصوني ليك مورا ما توصل. وتاكد، كيف وصلات، تيليفونك بدا يصوني. سمعتي صوتها مفرح وكتعلمك بالخبار الزوينة. وعقدتو النية تحتفلو بالمناسبة هاد العشية. ,Moroccan
 جاد حب دائمًا أن يضع قشدة وسكر في قهوته. ذات صباح، وجد أن القشدة قد نفدت. ذهب إلى السوق ليشتري بعضها، وفي طريقه التقى بأصدقاء قدامى. تحدثوا وضحكوا، ونسي جاد شراء القشدة تمامًا. , جاد كيعجبو ديما يزيد الكريمة والسكر فقهوتو. واحد الصباح، لقا بلي الكريمة سالات. مشا للسوق باش يشري شي وحدة، وفي الطريق تلاقى مع صحابو القدام. دردشو وتمسخرو، وجاد نسا يشري الكريمة مرة أخرى. ,Moroccan
 ذهبت فاطمة للعب الكرة مع أصدقائها. لقد أصيبت إصابة بالغة أثناء اللعب. نقلها الجميع على الفور إلى المستشفى. بعد العلاج، تمكنت من الشفاء بسرعة. , فاطمة كانت كتلعب البال مع صحاباتها. تصابت بجرح خطير وهي كتلعب. جميع نقلوها للسبيطار دغيا. من بعد ما تعالجات، برات بزاف بالزربة. ,Moroccan
 كان هناك رجل يدعى أحمد كان يبحث عن قداحة لإشعال شمعة في ليلة مظلمة. وجد أحمد قداحة مرمية على الأرض بجانب متجر صغير. بعد أن أشعل الشمعة، أدرك أحمد أن الضوء يجلب الأمل في أحلك الأوقات. ومنذ تلك اللحظة، أصبح يحتفظ دائماً بقداحة في جيبه ليكون مستعدًا لأي ظرف. , كان كاين واحد سميتو أحمد كان كيقلب على بريقة باش يشعل شمعة في ليلة ظلمة. لقى أحمد البريقة مرمية حدا حانوت صغير. بعد ما شعل الشمعة، عرف أحمد بلّي الضوء كيجيب الأمل في أصعب الأوقات. ومن ديك الساعة، ولّى ديما كايشد بريقة فجيبو باش يكون واجد لأي حالة. ,Moroccan
 في يوم من الأيام، سأل رجل أعمال عن تجهيزات المؤتمرات في فندق معين. فأجابه الموظف بكل فخر أن الفندق مزود بأحدث التقنيات. قرر الرجل إقامة مؤتمره الدولي هناك. وفي النهاية، كان المؤتمر نجاحاً باهراً وأثنى الجميع على التنظيم والتجهيزات. , واحد النهار، شي واحد رجل أعمال سول على التجهيزات ديال المؤتمرات فواحد الفندق. الخدام جاوبو بالفخر بللي الفندق مجهز بآخر التكنولوجيا. هاد السيد قرر يدير مؤتمره الدولي تماك. وفالأخير، المؤتمر داز بنجاح كبير والكل عجبهم التنظيم والتجهيزات. ,Moroccan
" في أحد الأيام، سأل خالد صديقه عمر: ""هل من المناسب أن نتناول وجبة خفيفة؟"" فأجابه عمر بابتسامة: ""بالطبع، خصوصاً إذا كانت صحية."" ثم ذهبا معاً إلى المقهى المجاور وطلبا سلطة فواكه وعصير طازج. وبينما هما يتناولان وجبتهما، تبادلا الأحاديث والضحكات، فقد كان يوماً ممتعاً. "," شي نهار، خالد سول صاحبو عمر: ""واش مزيان نديرو كازكروط دابا؟"" عمر تبسم وقال ليه: ""أكيد، خاصة إلى كان شي حاجة صحية."" من بعد مشاو لقهوة لي حداهم وطلبو سلاطة ديال الفواكه وعصير طري. وهوما كياكلو، دارو شي حديث خفيف وضحكو، داك النهار داز زوين. ",Moroccan
" في طريقه إلى المطار، شعر أحمد بالتوتر. عندما وصل، اتصل بصديقه قائلاً: ""أنا أتصل من المطار. سأصل هناك في حوالي الساعة الرابعة."" وجد صديقه في انتظاره بابتسامة دافئة. معاً، توجها نحو المغامرة الجديدة. "," أحمد كان مشدود وهو ماشي للمطار. وصل وعيط لصاحبو: ""أنا كنتصل من المطار. غادي نوصل تماك حداك الساعة الربعة."" لقا صاحبو كايتسناه بابتسامة حنينة. مشاو مع بعضياتهم للمغامرة الجاية. ",Moroccan
 كان أحمد يسافر من نيويورك إلى لوس أنجلوس، وكان عليه أن يغير رحلته في شيكاغو. عندما وصل إلى مطار شيكاغو، وجد صديقا قديما بالصدفة. قضيا معاً بعض الوقت في تبادل الأخبار والذكريات. وبعد ساعات قليلة، استقل أحمد الطائرة مجدداً متجهاً إلى وجهته النهائية. , كان أحمد كيسافر من نيويورك للوس أنجلوس، وخاصو يبدل الرحلة ديالو فشيكاغو. ملي وصل لمطار شيكاغو، لقى صاحبو القديم بالزهر. دوزو مع بعضياتهم شوية ديال الوقت كيتسولفو وكيدكرو اللحظات الزوينة. وبعد شي ساعات قليلة، ركب أحمد الطيارة عاود تاني باش يكمل سفرتو للوجهة ديالو الأخيرة. ,Moroccan
 كان أحمد يريد إرسال خطاب مهم إلى صديقه في فرنسا. سأل الموظف في البريد عن تكلفة الإرسال المسجل. أخبره الموظف أن التكلفة ستكون عشرين ديناراً. دفع أحمد المبلغ وأرسل الخطاب، متمنياً أن يصل بسلام. , أحمد بغا يبعث برقية مهمة لصاحبو في فرنسا. سول العامل في البريد على ثمن الإرسال المضمون. قال ليه العامل غادي تكلفك عشرين درهم. خلص أحمد الفلوس وبعث البرقية، كيتمنى توصل بالسلامة. ,Moroccan
 ذهب محمد إلى البنك ليصرف الشيك ذو المائتي دولار. واجه بعض التأخير بسبب الزحام الشديد. عندما جاء دوره، اكتشف أنه نسي بطاقته الشخصية في المنزل. اضطر للعودة دون أن يتمكن من صرف الشيك. , محمد مشى للبنك باش يصرف الشيك ديالو اللي فيه 200 دولار. لقى تزحام كبير خلاه يتعطل. ملي جا دورو، تفاجأ بلي نسى الكارط ديالو فالدار. خاصو يرجع خاوي اليدين بلا ما يصرف الشيك. ,Moroccan
 كان أحمد يقود السيارة في بلد أجنبي لأول مرة، ووجد صعوبة في التأقلم مع القيادة على الجانب الأيمن. شعر بالتوتر كلما اقتربت منه سيارة، خاصة عند المنعطفات. تدريجيًا، بدأ يعتاد على الأمر وأصبح أكثر ثقة. في النهاية، استمتع بتجربة القيادة الجديدة وتعلم الكثير منها. , أحمد كان كيسوق الطوموبيل ديالو ف بلاد برانية للمرة الأولى، ولقا صعوبة كبيرة باش يتعود يسوق على الجنب الليمن. كان كيحس بالقلق كل مرة تقرب ليه طوموبيل، بزاف على الدوران. ولكن، شوية بشوية بدا يتعود وولا عندو ثقة فراسو. ف الأخير، بدا كيستمتع بالتجربة ديال السواقة الجديدة وتعلم بزاف د الحوايج. ,Moroccan
 كان الممثل رائعا بالفعل. لقد حظي بتصفيق حار من الجمهور بعد انتهاء العرض. وفي الكواليس، انهالت عليه التهاني من زملائه. شعر بالفخر لأنه أتقن دوره بكل احترافية. , كان الممثل زوين بزاف. الجمهور ديالنا صفق ليه بزاف بعد ما سالا العرض. وفي الكواليس، جاوه زملاء ديالو يباركو ليه. حس بالفخر حيث دار رولو بمهنية. ,Moroccan
" كان يحيى دائماً يحلم بمغامرات خارقة ويتخيل نفسه بطلاً في عوالم موازية. في يوم من الأيام، سألته أمه بحنان: ""أين الجانب غير الخيالي في شخصيتك؟"". فكر يحيى طويلاً وقرر أن يجرب أنشطة جديدة وواقعية. بدأ بالتطوع في مأوى للحيوانات، وهناك اكتشف شغفه برعاية الآخرين. "," كان يحيى ديما كيحلم بمغامرات خيالية وكيتصور راسو بطل في عوالم أخرى. واحد النهار، مها سولتو بمحبة: ""فين هو الجانب الواقعي في شخصيتك؟"". يحيى تفكر بزاف وقرر يجرب أنشطة جديدة وحقيقية. بدا يتطوع في مأوى للحيوانات، وتما كتشف شغفه بالعناية بالآخرين. ",Moroccan
 إذا حدث ذلك، من فضلك أتصل بي. في اليوم التالي، حدث ما كان متوقعًا ورن هاتفي. كان صوتها متوترًا على الخط الآخر. أخبرتني بأن الوقت قد حان لنتحرك ونتخذ القرارات الصعبة. بعد الاتصال، جمعت أغراضي وتوجهت نحو المجهول. , إلى وقع هادشي، عافاك إتصل بيا. نهار لي بعدو، اللي كنت كانتسنا وقع وتيليفوني صونا. صوتها كان متوتر فالخط لاخر. قالت ليا وقتاش لازم نتحرك وندير القرارات الصعبة. من بعد المكالمة، جمعت حوايجي ومشيت نواجه المجهول. ,Moroccan
" في يوم حار جداً، سأل راكب الحافلة السائق: ""هل يمكن أن تغير مقعدي من فضلك؟"" السائق، بلطف شديد، وافق وأوقف الحافلة ليساعده. وجد الراكب مقعداً بجانب النافذة وشعر بنسيم بارد. شكر الراكب السائق واستمتع برحلته الباقية بسلام وهدوء. "," فنهار شد الحر، واحد الراكب سول الشيفور ديال الكار: ""الله يخليك، ممكن تبدل ليا بلاصتي؟"" الشيفور، بكل احترام، وافق ووقف الكار باش يعاونو. الراكب لقا بلاصة حدا النافذة وحس بنسمة هوا باردة. شكر الراكب الشيفور وتمتع بالرحلة ديالو الباقية بالسكينة والراحة. ",Moroccan
" في يوم من الأيام، سأل تاجر شاب العجوز عن جودة السلعة قائلاً ""هل هناك ضمانًا؟"" فابتسم العجوز وأجابه بأن كل شيء في هذه الحياة مؤقت والضمان الوحيد هو التغيير. ولكنه أضاف أنه يثق في جودة بضاعته ويعد بإصلاح أي عيب قد يظهر. راق للشاب الفكرة وقرر أن يثق بكلمات العجوز ويشتري السلعة، فتعلم أن الثقة قد تكون أهم من أي ضمان مكتوب. "," فواحد النهار، شي تاجر صغير سول الشيخ على جودة السلعة و قال ليه ""واش كاين ضمان؟"" الشيخ ضحك و قال ليه كلشي فهاد الدنيا زائل و الضمان الوحيد هو التبدل. ولكن، زاد و قال ليه بلي هو متأكد من جودة البضاعة ديالو و غادي يصلح أي عيب يبان. الشاب اعجباتو الفكرة و قرر يثق فكلام الشيخ و يشري السلعة، و تعلم بلي الثقة كتكون أهم من أي ضمان مكتوب. ",Moroccan
 في يومٍ مشمسٍ، قرر محمد أن يعتني بالكلب الضائع الذي وجده في الحديقة. بدأ بإطعامه وتقديم الماء له بكل حنان. كل يوم، كان يأخذ الكلب في نزهةٍ طويلة ويلعب معه. شيئًا فشيئًا، نشأت بينهما صداقة قوية لا تُنسى. , فنهار شمشي، محمد قرر يعتاني بالكلب لي لقى ضايع فالحديقة. بدا كيطعمو ويسقيه بكل حنان. كل نهار، كان ياخد الكلب فجولة طويلة ويلعب معاه. شوية بشوية، تولدات بيناتهم صداقة قوية مايمكنش تنسى. ,Moroccan
 أريد تذكرتين للقطار ليوم الخميس. فتحت ليلى حقيبتها لتتأكد من وجود المحفظة بها قبل الذهاب لشراء التذاكر. وجدت بين أغراضها صورة قديمة لها وهي طفلة تلعب على الشاطئ. تبسمت للذكريات الجميلة ثم واصلت طريقها إلى المحطة. , بغيت جوج ديال التذاكر للقطار لنهار الخميس. ليلى حلت صاكها باش تتأكد واش الپورطموني ديالها موجود قبل ما تمشي تشري التذاكر. لقات تصويرة قديمة لما كانت صغيرة كتلعب على الشط. تبسمت للذكريات الزوينة وتابعت طريقها للمحطة. ,Moroccan
" كان أحمد يبحث عن مقهى لقضاء وقت فراغه. سأل المارة: ""أين المقهى؟"" لكن لم يجبه أحد. وأخيرًا وجد مقهى صغيرًا في زاوية هادئة من الشارع. جلس وطلب كوبا من القهوة واستمتع بالهدوء. "," أحمد كان كيقلب على قهوة باش يقضي شي وقت. سول الناس لي كيدوزو: ""فين القهوة؟"" ولكن ما جاوبوه حتى واحد. أخيرا، لقا قهوة صغيرة في زنقة هانية. جلس وطلب فنجان ديال القهوة وتمتع بالسكات. ",Moroccan
 ذهب محمد إلى السوق ليشتري جاكيت لابنه. وجد واحدًا مناسبًا ولكن كان سعره مرتفعًا. قرر أن يتفاوض مع البائع. وأخيرًا، تمكن من الحصول عليه بسعر معقول. , محمد مشى للسوق باش يشري جاكيت لولدو. لقا واحد زوين ولكن غالي بزاف. قرر يتشاور مع البائع. وأخيرا، جابو بثمن مزيان. ,Moroccan
" في يومٍ مشمس، سأل الطفل العجوز جالساً على مقعد الحديقة: ""اسمك مرة ثانية؟"" فابتسم العجوز وأجاب بحنان: ""اسمي حسن، وأنت؟"" رد الطفل ببراءة: ""أنا يوسف، وأحب أن أستمع لقصصك."" ومنذ ذلك اليوم، أصبحا صديقين يشاركان القصص والضحكات. "," فنهار مشرق، الدري صغير سول الشيخ للي كان جالس فوق البنك ديال الحديقة: ""شنو سميتك مرة أخرى؟"" الشيخ تبسم وجاوب برقة: ""سميتي حسن، ونتا؟"" الدري جاوب ببراءة: ""أنا يوسف، وكنحماق على قصصك."" وملي هاكاك، ولو حباب يشاركو الحكايات والضحك. ",Moroccan
" في يوم مشمس، سألت جارتي أم أحمد عن السيد برون الذي يقطن بجانبنا. ""هل مستر برون هناك؟"" سألتها بفضول. ابتسمت أم أحمد وأجابت أن مستر برون غادر صباحاً لزيارة السوق. ومنذ ذلك الحين، أصبحت أم أحمد تحكي لي قصصاً عن أسفار مستر برون الشيقة. "," فنهار شمسي، سولت جارتي أم أحمد على السي برون لي ساكن حدانا. ""واش مستر برون كاين؟"" سولتها بالفضول. دارت أم أحمد الضحكة وقالت ليا بللي مستر برون مشى للسوق من الصباح. ومن داك النهار، وأم أحمد كتعاود لي على السفريات الزوينة ديال مستر برون. ",Moroccan
