MSA,Yemeni,lang
" كان هناك شاب يعمل في مكتب الاستعلامات. جاءت سيدة تبدو محتارة فسألها: ""كيف أستطيع مساعدتك؟"" فأجابت السيدة بأنها تبحث عن مكتب الضرائب. ابتسم الشاب وأرشدها إلى المكان المطلوب بكل أدب واحترام. "," كان هناك شاب يعمل في مكتب الاستعلامات. جاته امرأة تبدو حيرانة فسألها: ""كيف أستطيع أن أساعدك؟"" السيدة أجابت أنها تبحث عن مكتب الضرائب. الشاب ابتسم وأرشدها إلى المكان المطلوب بكل أدب واحترام.",Yemeni
 دعنا نأخذ قطعة لنأكلها. ذهب محمد وعلي إلى الحديقة واختارا أجمل تفاحة. قسماها بينهما واستمتعا بطعمها اللذيذ. جلسا تحت الشجرة يتحدثان عن أحلامهم. وتمنيا لو أن كل يوم يمكن أن يكون بهذه البساطة والسعادة. , يالله نأخذ قطعة نأكلها. محمد وعلي راحوا للبستان واختاروا أحسن تفاحة. قسموها بينهم واستمتعوا بطعمها المزيان. جلسوا تحت الشجرة يتسامروا عن أحلامهم. وتمنوا لو كل يوم يمكن يكون بالسهولة والسعادة هذي.,Yemeni
 في يوم مشمس، قرر خالد الخروج للتنزه في المدينة. اتجه يسارًا عند الناصية الثالثة حيث وجد متجرًا قديمًا لبيع الكتب. دخل المتجر وقضى ساعات يتصفح الكتب النادرة. وفي النهاية، اشترى كتابًا قديمًا يحكي عن تاريخ المدينة. , في يوم مشرق، خالد قرر يخرج يتمشى في المدينة. لفّ يسار عند الناصية الثالثة ولقى حانوت كتب قديم. دخل الحانوت وقعد ساعات يتمعّن في الكتب القديمة. وفي الخاتمة، اشترى كتاب قديم يسرد تاريخ المدينة.,Yemeni
" لم يكن لدى أحمد غير قميص واحد للحفل، فسأل والدته: ""هل لك أن تقوم بتنظيف هذه الملابس؟"" وافقت والدته بحنان وأخذت الملابس لتنظفها. بعد ساعات، عادت الملابس ناصعة كأنها جديدة. شعر أحمد بالامتنان ووعد بأن يعتني بملابسه أكثر في المستقبل. "," أحمد ما كانش عنده إلا قميص واحد للعرس، فقال لأمه: ""تقدري تغسلي لي هذي الثياب؟"" أمه وافقت بكل حنية وأخذت الثياب تنظفهم. بعد ساعات، رجعت الثياب ناصعة كأنها جديدة. أحمد امتن لأمه وحلف يعتني بثيابه أكثر بعدين.",Yemeni
 في يوم مشمس، قرر أحمد أن يبحث عن صديق قديم. وجد في دفتره العنوان ورقم الهاتف الذي كان يبحث عنه. لم يتردد في الاتصال وسأل إن كان بإمكانه زيارته، فأعطيك رقم تليفونه وعنوانه. وعندما التقيا، أمضيا وقتًا ممتعًا يستعيدان ذكريات الماضي. , في يوم مشرق، أحمد قرر يدور على صاحبه القديم. لقى في دفتره العنوان ورقم التيلفون إللي كان يبحث عنه. ما تردد واتصل به وسأله إذا ممكن يزوره، وأعطاه رقم التيلفون والعنوان. ولما التقوا، قضوا وقت لطيف يتذكروا فيه أيام زمان.,Yemeni
 لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماً. وعند وصولي إلى الفندق، استقبلني الموظفون بحفاوة بالغة. أخذت مفتاح غرفتي وصعدت إلى الطابق الخامس حيث الإطلالة الساحرة على البحر. قضيت وقتاً ممتعاً في الفندق حيث الخدمات المتميزة والجو الودي. , دفعت فلوس الأكل والفندق مقدماً. ولما وصلت للفندق، استقبلوني الناس هناك بكرم كبير. أخذت مفتاح حجرتي وطلعت للدور الخامس اللي منه النظرة الخلابة على البحر. قضيت أوقات حلوة في الفندق بين الخدمات الممتازة والأجواء المريحة.,Yemeni
 في يوم مشمس، قرر محمد أن يبحث عن مطعم للمشويات يحظى بشعبية كبيرة. وبينما هو يتجول في الشوارع، التقى صديقه أحمد الذي أوصى بمطعم ممتاز. أخرج محمد هاتفه وبدأ يبحث عن المطعم على الخريطة. وجد المطعم بسهولة وتمتع بوجبة لذيذة لم ينساها أبدًا. , في يوم مشرق، محمد قرر يبحث على مطعم شواية معروف ويحبه الناس كثير. وهو يتمشى في الشوارع، التقى بصاحبه أحمد اللي دله على مطعم ممتاز. محمد طلع تلفونه وبدأ يبحث عن المطعم في الخريطة. لقى المطعم بسهولة وتمتع بأكلة لذيذة ما راح ينساها أبدًا.,Yemeni
 كان أحمد قد اشترى مزهرية جميلة ليزين بها منزله. لكن بينما كان يحاول ترتيبها على الرف، اختل توازنه وتسبب في سقوطها. أنت تقوم بكسرها، فأنت الذي اشتريتها، قالت زوجته وهي تنظر إلى القطع المتناثرة. شعر أحمد بالحزن لفقدان الجمال الذي كانت تضفيه المزهرية على المكان. , أحمد اشترا مزهرية جميلة يزين بيها البيت. وهو يحاول يرصها على الرف، ميل ووقعت. أنت اللي كسرتها، أنت اللي اشتريتها، قالت له زوجته وهي تناظر الشظايا على الأرض. أحمد حس بالأسف لأن الجمال اللي كانت المزهرية تضفيه على المكان زال.,Yemeni
 سوف أخبرها بأن تتصل بك بمجرد أن تصل. وبالفعل، بعد وصولها مباشرة، رنّ هاتفك. كان صوتها مليئًا بالحماس عندما أخبرتك عن الأخبار السارة. اتفقتما على الاحتفال بالمناسبة السعيدة مساءً. , باقول لها تتصل بك حال ما تصل. وصحيح، لما وصلت على طول، جوالك رنّ. سمعت صوتها مبسوطة وهي تحكيلك عن الخبر الطيب. واتفقتوا تتعشوا سوا عشان تحتفلوا بالمسا.,Yemeni
 جاد حب دائمًا أن يضع قشدة وسكر في قهوته. ذات صباح، وجد أن القشدة قد نفدت. ذهب إلى السوق ليشتري بعضها، وفي طريقه التقى بأصدقاء قدامى. تحدثوا وضحكوا، ونسي جاد شراء القشدة تمامًا. , جاد يحب دومًا يحط كريمة وسكر في قهوته. في صباح يوم، لقى إن الكريمة خلصت. ذهب للسوق يشتري له شوية، وفي الطريق لقى شلة أصحابه القدام. داروا حديث وضحكوا، وجاد نسي يشتري الكريمة كلياً.,Yemeni
 ذهبت فاطمة للعب الكرة مع أصدقائها. لقد أصيبت إصابة بالغة أثناء اللعب. نقلها الجميع على الفور إلى المستشفى. بعد العلاج، تمكنت من الشفاء بسرعة. , فاطمة ذهبت تلعب الكرة مع أصحابها. جاتها إصابة قوية وهي تلعب. حملوها دغري للمستشفى. بعد ما عولجت، شفيت بسرعة.,Yemeni
 كان هناك رجل يدعى أحمد كان يبحث عن قداحة لإشعال شمعة في ليلة مظلمة. وجد أحمد قداحة مرمية على الأرض بجانب متجر صغير. بعد أن أشعل الشمعة، أدرك أحمد أن الضوء يجلب الأمل في أحلك الأوقات. ومنذ تلك اللحظة، أصبح يحتفظ دائماً بقداحة في جيبه ليكون مستعدًا لأي ظرف. , كان هناك واحد اسمه أحمد كان يبحث عن ولاعة باش يولع شمعة في ليلة معتمة. لقى أحمد ولاعة مرمية على الأرض جمب دكان صغير. بعد ما أشعل الشمعة، حس أحمد إن النور بيجيب الأمل حتى في أصعب الأوقات. ومن ذاك اليوم، صار دايمًا يحمل ولاعة في جيبه عشان يكون مستعد لأي شي.,Yemeni
 في يوم من الأيام، سأل رجل أعمال عن تجهيزات المؤتمرات في فندق معين. فأجابه الموظف بكل فخر أن الفندق مزود بأحدث التقنيات. قرر الرجل إقامة مؤتمره الدولي هناك. وفي النهاية، كان المؤتمر نجاحاً باهراً وأثنى الجميع على التنظيم والتجهيزات. , في يوم من الأيام، شخص من رجال الأعمال سأل عن تجهيزات المؤتمرات في فندق. الموظف أفتخر وقال له إن الفندق مجهز بأحدث الأجهزة. الرجل قرر يعمل مؤتمره العالمي هناك. وفي الآخر، المؤتمر كان موفق جداً والكل أثنى على التجهيزات والترتيب.,Yemeni
" في أحد الأيام، سأل خالد صديقه عمر: ""هل من المناسب أن نتناول وجبة خفيفة؟"" فأجابه عمر بابتسامة: ""بالطبع، خصوصاً إذا كانت صحية."" ثم ذهبا معاً إلى المقهى المجاور وطلبا سلطة فواكه وعصير طازج. وبينما هما يتناولان وجبتهما، تبادلا الأحاديث والضحكات، فقد كان يوماً ممتعاً. "," في يوم، خالد سأل صاحبه عمر: ""تشوف مناسب ناخذ لنا شي خفيف ناكله الآن؟"" عمر ضحك وقال: ""أكيد، خصوصاً لو كان أكل صحي."" بعدين مشوا للمقهى اللي جنبهم وطلبوا سلطة فواكه وعصير طازج. وهم يتناولون الأكل، تبادلوا الأحاديث والضحكات، وكان يوم لطيف.",Yemeni
" في طريقه إلى المطار، شعر أحمد بالتوتر. عندما وصل، اتصل بصديقه قائلاً: ""أنا أتصل من المطار. سأصل هناك في حوالي الساعة الرابعة."" وجد صديقه في انتظاره بابتسامة دافئة. معاً، توجها نحو المغامرة الجديدة. "," أحمد كان متوتر وهو رايح المطار. لما وصل، اتصل بصاحبه وقال: ""أنا باتصل لك من المطار. باكون عندكم حوالي الساعة الرابعة."" لقى صاحبه مستنيه بابتسامة حارّة. مع بعض، راحوا للمغامرة الجديدة.",Yemeni
 كان أحمد يسافر من نيويورك إلى لوس أنجلوس، وكان عليه أن يغير رحلته في شيكاغو. عندما وصل إلى مطار شيكاغو، وجد صديقا قديما بالصدفة. قضيا معاً بعض الوقت في تبادل الأخبار والذكريات. وبعد ساعات قليلة، استقل أحمد الطائرة مجدداً متجهاً إلى وجهته النهائية. , كان أحمد مسافر من نيويورك للوس أنجلوس، وكان لازم يتحول في شيكاغو. لما وصل لمطار شيكاغو، التقى برفيجه القديم بالصدفة. قعدوا يتسامروا شوية ويتذكروا الأيام الخالية. وبعد لحظات، ركب أحمد الطيارة مرة أخرى متجهاً لمقصده الأخير.,Yemeni
 كان أحمد يريد إرسال خطاب مهم إلى صديقه في فرنسا. سأل الموظف في البريد عن تكلفة الإرسال المسجل. أخبره الموظف أن التكلفة ستكون عشرين ديناراً. دفع أحمد المبلغ وأرسل الخطاب، متمنياً أن يصل بسلام. , أحمد أراد يرسل رسالة مهمة لصاحبه في فرنسا. سأل الرجل في البريد عن كم تكلفة الإرسال المسجل. قال له بتكلف عشرين ريال. دفع أحمد الفلوس وبعت الرسالة، وهو يرجي تسلم بخير.,Yemeni
 ذهب محمد إلى البنك ليصرف الشيك ذو المائتي دولار. واجه بعض التأخير بسبب الزحام الشديد. عندما جاء دوره، اكتشف أنه نسي بطاقته الشخصية في المنزل. اضطر للعودة دون أن يتمكن من صرف الشيك. , محمد ذهب للبنك باش يصرف الشيك حقو اللي فيه مئتين دولار. واجه تأخير بسبب الزحمة الشديدة. لما جاء دوره، اكتشف أنه ناسي بطاقته في البيت. اضطر يرجع البيت بدون ما يقدر يصرف الشيك.,Yemeni
 كان أحمد يقود السيارة في بلد أجنبي لأول مرة، ووجد صعوبة في التأقلم مع القيادة على الجانب الأيمن. شعر بالتوتر كلما اقتربت منه سيارة، خاصة عند المنعطفات. تدريجيًا، بدأ يعتاد على الأمر وأصبح أكثر ثقة. في النهاية، استمتع بتجربة القيادة الجديدة وتعلم الكثير منها. , أحمد كان يسوق السيارة في دولة غريبة لأول مرة، ولقى صعوبة في التأقلم مع السواقة على الجانب اليمين. كان يحس بالقلق كل ما تجي سيارة من جنبه، خصوصاً في المنعطفات. بالتدريج، بدأ يتعود وزادت ثقته بنفسه. في الأخير، استمتع بالقيادة الجديدة وتعلم منها الكثير.,Yemeni
 كان الممثل رائعا بالفعل. لقد حظي بتصفيق حار من الجمهور بعد انتهاء العرض. وفي الكواليس، انهالت عليه التهاني من زملائه. شعر بالفخر لأنه أتقن دوره بكل احترافية. , كان الممثل فعلاً ممتاز. الجمهور صفق له صفقة حارة بعد ما ختم العرض. وفي الكواليس، كل زملائه قاموا يباركوله. شعر بفخر عظيم لأنه لعب دوره بمهارة.,Yemeni
" كان يحيى دائماً يحلم بمغامرات خارقة ويتخيل نفسه بطلاً في عوالم موازية. في يوم من الأيام، سألته أمه بحنان: ""أين الجانب غير الخيالي في شخصيتك؟"". فكر يحيى طويلاً وقرر أن يجرب أنشطة جديدة وواقعية. بدأ بالتطوع في مأوى للحيوانات، وهناك اكتشف شغفه برعاية الآخرين. "," كان يحيى دايمًا يحلم بمغامرات عجيبة ويتخيل نفسه بطل في عوالم ثانية. في يوم، سألته أمه بمحبة: ""وين الجانب الحقيقي في شخصيتك؟"". يحيى فكر كثير وقرر يجرب أنشطة جديدة وملموسة. شرع يتطوع في مأوى للحيوانات، وهناك اكتشف شغفه بالعناية بالآخرين.",Yemeni
 إذا حدث ذلك، من فضلك أتصل بي. في اليوم التالي، حدث ما كان متوقعًا ورن هاتفي. كان صوتها متوترًا على الخط الآخر. أخبرتني بأن الوقت قد حان لنتحرك ونتخذ القرارات الصعبة. بعد الاتصال، جمعت أغراضي وتوجهت نحو المجهول. , إذا حصل كذا، لو سمحت دق علي. اليوم اللي بعده، اللي كنت متوقع حصل وتلفوني رن. صوتها كان مضطرب على الخط الثاني. قالت لي إن الوقت جا إننا نتحرك وناخذ القرارات الصعبة. بعد المكالمة، جمعت أغراضي وتوجهت نحو المجهول.,Yemeni
" في يوم حار جداً، سأل راكب الحافلة السائق: ""هل يمكن أن تغير مقعدي من فضلك؟"" السائق، بلطف شديد، وافق وأوقف الحافلة ليساعده. وجد الراكب مقعداً بجانب النافذة وشعر بنسيم بارد. شكر الراكب السائق واستمتع برحلته الباقية بسلام وهدوء. "," في يوم حار قوي، واحد من الركاب قال للسائق: ""تقدر تبدل لي مقعدي، لو سمحت؟"" السائق، بكل احترام، وافق ووقف الباص عشان يساعده. الراكب لقى مقعد جنب الشباك وحس بنسيم بارد. قال الراكب شكراً للسائق واستمتع بالرحلة الباقية بسكون واطمئنان.",Yemeni
" في يوم من الأيام، سأل تاجر شاب العجوز عن جودة السلعة قائلاً ""هل هناك ضمانًا؟"" فابتسم العجوز وأجابه بأن كل شيء في هذه الحياة مؤقت والضمان الوحيد هو التغيير. ولكنه أضاف أنه يثق في جودة بضاعته ويعد بإصلاح أي عيب قد يظهر. راق للشاب الفكرة وقرر أن يثق بكلمات العجوز ويشتري السلعة، فتعلم أن الثقة قد تكون أهم من أي ضمان مكتوب. "," في يوم من الأيام، تاجر صغير سأل الكهل عن جودة البضاعة وقال له ""هل في ضمان؟"" الكهل ضحك وقال له إن كل شي في الدنيا فاني والضمان الأكيد هو التغيير. لكن قال له أيضًا إنه واثق من جودة بضاعته وسيصلح أي عيب يظهر فيها. الشاب اقتنع بالفكرة وقرر أن يثق بكلام الكهل ويشتري البضاعة، وأدرك أن الثقة قد تكون أثمن من أي ضمان مكتوب.",Yemeni
 في يومٍ مشمسٍ، قرر محمد أن يعتني بالكلب الضائع الذي وجده في الحديقة. بدأ بإطعامه وتقديم الماء له بكل حنان. كل يوم، كان يأخذ الكلب في نزهةٍ طويلة ويلعب معه. شيئًا فشيئًا، نشأت بينهما صداقة قوية لا تُنسى. , في يوم مشمس، محمد قرر يرعى الكلب الضايع اللي لقاه في البستان. بدأ يطعمه ويسقيه بكل رقة. كل يوم، كان يأخذ الكلب في تمشية طويلة ويلعب معاه. بالتدريج، نشأت بينهم صداقة متينة ما تُنسى.,Yemeni
 أريد تذكرتين للقطار ليوم الخميس. فتحت ليلى حقيبتها لتتأكد من وجود المحفظة بها قبل الذهاب لشراء التذاكر. وجدت بين أغراضها صورة قديمة لها وهي طفلة تلعب على الشاطئ. تبسمت للذكريات الجميلة ثم واصلت طريقها إلى المحطة. , عايز أخذ تذكرتين للقطار ليوم الخميس. ليلى فتحت شنطتها علشان تتأكد أن المحفظة موجودة قبل ما تروح تشتري التذاكر. لقت صورة قديمة لما كانت صغيرة تلعب في الشاطئ بين أغراضها. ابتسمت للذكريات الجميلة واستمرت في طريقها للمحطة.,Yemeni
" كان أحمد يبحث عن مقهى لقضاء وقت فراغه. سأل المارة: ""أين المقهى؟"" لكن لم يجبه أحد. وأخيرًا وجد مقهى صغيرًا في زاوية هادئة من الشارع. جلس وطلب كوبا من القهوة واستمتع بالهدوء. "," أحمد كان يبحث عن مقهى يقضي فيها وقت فراغه. سأل الناس اللي مروا: ""وين المقهى؟"" لكن ما حد رد عليه. وآخر شي، لقى مقهى صغيرة في زاوية هادئة من الشارع. قعد وطلب كاس قهوة واستمتع بالهدوء.",Yemeni
 ذهب محمد إلى السوق ليشتري جاكيت لابنه. وجد واحدًا مناسبًا ولكن كان سعره مرتفعًا. قرر أن يتفاوض مع البائع. وأخيرًا، تمكن من الحصول عليه بسعر معقول. , محمد راح السوق يريد يشتري جاكيت لابنه. لقى واحد حلو بس ثمنه كان عالي. قرر يجادل مع البايع. وفي الأخير، استطاع ياخذه بثمن مناسب.,Yemeni
" في يومٍ مشمس، سأل الطفل العجوز جالساً على مقعد الحديقة: ""اسمك مرة ثانية؟"" فابتسم العجوز وأجاب بحنان: ""اسمي حسن، وأنت؟"" رد الطفل ببراءة: ""أنا يوسف، وأحب أن أستمع لقصصك."" ومنذ ذلك اليوم، أصبحا صديقين يشاركان القصص والضحكات. "," في يوم مشمش، اليهال سأل الشيخ اللي جالس على الكرسي في البستان: ""إيش اسمك عاد؟"" الشيخ ابتسم ورد بلطف: ""اسمي حسن، وأنت؟"" اليهال رد بسذاجة: ""أنا يوسف، وأحب أسمع حكاياتك."" ومن ذاك اليوم، صاروا صاحبين يتشاركوا الحكايات والضحك.",Yemeni
" في يوم مشمس، سألت جارتي أم أحمد عن السيد برون الذي يقطن بجانبنا. ""هل مستر برون هناك؟"" سألتها بفضول. ابتسمت أم أحمد وأجابت أن مستر برون غادر صباحاً لزيارة السوق. ومنذ ذلك الحين، أصبحت أم أحمد تحكي لي قصصاً عن أسفار مستر برون الشيقة. "," في يوم معين شمسي، سألت جارتنا أم أحمد عن السيد برون اللي يسكن جنبنا. ""هل مستر برون هنا؟"" استفسرت بهتمام. ضحكت أم أحمد وأفادتني إن مستر برون راح السوق من صباح. ومن بعد ذلك، قامت أم أحمد بسرد قصص مستر برون اللي مليانة مغامرات.",Yemeni
" في يوم مشمس، قررت ليلى شراء كتاب من الإنترنت. حينما استفسرت عن السعر، أخبرها البائع: ""حسنا، إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص"". فضلت ليلى خيار التوصيل الخاص لسرعته. وبعد ثلاثة أيام، استلمت ليلى الكتاب وبدأت في قراءته بحماس. "," في يوم مشمس، ليلى قررت تشتري كتاب من النت. يوم سألت عن السعر، البياع قال لها: ""زين، راح يكلفك خمسة وتمانين دولار لو بالبريد العادي وثلاثة دولار لو بالتوصيل الخاص"". ليلى فضلت التوصيل الخاص علشان يجي بسرعة. وبعد ثلاثة أيام، استلمت ليلى الكتاب وبدت تقرا بهمة.",Yemeni
