MSA,Algerian,lang
 كان تاناب ينتظر صديقه عند الساعة السابعة. وعندما وصل الشخص الآخر، بدأت بينهما محادثة مهمة. تحدثا عن مشروع مشترك كانا يخططان له. وفي نهاية اللقاء، اتفقا على الخطوات القادمة وودع كل منهما الآخر بحرارة. , كان تاناب يتسنى صاحبو في ساعة سبعة. وكيف وصل الشخص لاخر، درو مع بعضهم حديث مهم. هدروا على مشروع مشترك يخمموا يديروه. وفي الآخر، قرروا على الخطوات اللي جاية وودعو بعضهم بشوق. ,Algerian
 التكييف لا يعمل، فقرر أحمد الاتصال بالصيانة. وصل الفني وتبين أن العطل بسيط ويمكن إصلاحه. بعد ساعة من العمل، عاد التكييف للعمل بكفاءة. شعر أحمد بالارتياح وهو يستعد لقضاء باقي اليوم براحة. , المكيف ما يخدمش، حب يتصل أحمد بالصيانة. جا الفني وشاف بلي العطب ساهل ويقدر يصلحو. واحد الساعة من الخدمة ورجع المكيف يخدم مليح. أحمد حس بالارتياح وهو يستعد باش يقضي باقي النهار بالراحة. ,Algerian
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل نهار الإثنين تفيق بكري توجد الفطور للعائلة ديالها. تحضر البيض المقلي والخبز الفريش والشاي السخون. ومن بعد ما تسالي الفطور، ترتب الدار وتعتني بالجنينة. هكاكة كل نهار الإثنين، تعبي الدار بالمحبة والدفء. ,Algerian
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," محمد وصل للمطار بكري، حامل ساكو في يديه. سمع صوت المذيع يقولو يروح لقاعة الخروج الدولية. سلم على صحابو وقال: ""الله يسهل عليكم، روحو لقاعة الخروج الدولية، نتمنالكم رحلة مليحة"". طلع للطيارة وعيونو تلمع بالحماس للمغامرة الجاية. ",Algerian
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد بغى يروح لباريس باش يشوف البرج إيفل. سقسى الوكيل: ""عندكم شي رحلات لباريس عبر قطار يوروستار؟"" الوكيل قال ليه كاينة رحلة السيمانة الجاية. أحمد ريزيرفا تذكرتو وبدا يحضر روحو للمغامرة. ",Algerian
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , ساعتي سيكو الرقمية كانت كادو من جدي. كل نهار، كانت تذكرني بلحظات الزين اللي قضيتها معاه. في واحد النهار، ضاعتلي الساعة وحسيت بحزن شديد. بعد ما دورت بزاف، لقيتها تحت النرية، ورجعتلي الذكريات الطيبة. ,Algerian
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , جبت الشهادة الطبية لطبيبي من اليابان. وملي شافها، تحير بالدقة والاحترافية اللي مكتوبة بيها. حتى هو قرر يدير نفس الأسلوب في عيادتو. وبالوقت، عيادتو صارت مثال يتبع في المدينة. ,Algerian
 ذهب محمد إلى المستشفى ليستلم فواتير علاجه الطبي. سأل الطبيب إذا ما كانت الفواتير تشمل كل التفاصيل. أكد الطبيب أن كل شيء موثق بدقة. شعر محمد بالارتياح لأنه سيتمكن من تقديم الوثائق لشركة التأمين. , محمد راح للسبيطار باش يجيب فواتير العلاج ديالو. سقسى الطبيب واش الفواتير تاعو فيهم كامل التفاصيل. الطبيب ضمنلو أن كلش مدون مليح. محمد حس بالاطمئنان حيت غادي يقدر يعطي الوراق لشركة التأمين. ,Algerian
 كان أحمد يبحث عن قاموس جيب في المكتبة ليساعده في دراسته للغة الإنجليزية. وجد واحدًا مناسبًا، فقد كان صغيرًا وعمليًا. دفع ثمن القاموس وشعر بسعادة لأنه سيكون مفيدًا في رحلته القادمة. استعمله كل يوم وتحسنت لغته الإنجليزية بشكل ملحوظ. , أحمد كان يقلب على قاموس جيب في المكتبة باش يعاونو في قرايتو للإنجليزية. لقى واحد ملاح، صغير وعملي. خلص عليه وحس بالفرحة لأنو غادي يجيبو معاه في سفرتو الجاية. استعملو كل نهار وطلعت لغتو الإنجليزية واعرة. ,Algerian
 حسناً، أنا لا أعلم ماذا حدث بالضبط، ولكن يبدو أن القط قد تسلق الشجرة ولم يستطع النزول. استدعينا رجال الإطفاء لمساعدته. وبعد جهود حثيثة، تمكنوا من إنقاذه. شكرتهم كثيرًا لأنهم أعادوا القط إلى أرض الأمان. , واخا، أنا ما نعرفش شكون صرا بالضبط، ولكن يظهر أن القطوس طلع للشجرة وما قدرش يهبط. صونينا لرجال الاطفاء باش يعاونوه. وبعد مجهود كبير، تمكنوا من إنقاذو. شكرتهم بزاف حيت رجعو القطوس للأمان. ,Algerian
 مبروك، علمت أنه قد تم ترقيتك إلى نائب رئيس. في يوم الترقية، استعد خالد بكل حماس ليذهب إلى العمل. وعند وصوله، استقبله زملاؤه بالتصفيق والتهاني. شعر بالفخر والسعادة لهذا الإنجاز، وعزم على مواصلة العمل بجد وإخلاص. , مبروك، عرفت بلي ترقيت لمنصب نائب الرئيس. نهار الترقية، خالد وجد روحو بكل حماس باش يمشي للخدمة. وقت اللي وصل، زملاه استقبلوه بتصفيق وتهاني. حس بالعزة والفرحة على هاد الإنجاز، وعاهد روحو يستمر يخدم بجدية وإخلاص. ,Algerian
 مساء بعد غد، سيعقد القرية احتفالاً كبيراً يشمل الألعاب النارية والرقص. وسيجتمع الناس من كل أنحاء المنطقة لمشاركة الفرح والمأكولات التقليدية. ستقدم الفرق الموسيقية عروضاً حية، وستكون الموسيقى ساحرة تملأ الأجواء. وبينما تغرب الشمس، ستضاء السماء بألوان الألعاب النارية، معلنة نهاية يوم لا يُنسى. , العشية بعد غدوة، القرية رايحة تدير حفلة كبيرة فيها لعاب نارية ورقصة. الناس يجو من كل بلاصة باش يشاركو في الفرحة وياكلو الأكل التقليدي. الفرق الموسيقية رايحين يقدمو عروض حية، والموسيقى رايحة تكون ساحرة تملى الجو. وملي تغيب الشمس، السماء رايحة تضوى بألوان اللعاب النارية، وتعلن نهاية يوم ما ينتساش. ,Algerian
 في جنوب اليابان حيث البحار الدافئة، يوجد صياد قديم يعيش وحيدًا في بيت صغير. كل صباح، يأخذ قاربه الخشبي الصغير ويبحر بحثًا عن الأسماك. يتميز بالصبر والهدوء، ويعتبر البحر صديقه الوحيد. في المساء، يعود إلى قريته حاملاً ما اصطاده، ويشارك قصص البحر مع الأطفال. , فالجنوب ديال اليابان وين البحار دافية، كاين صياد عجوز يعيش بوحدو في دار صغيرة. كل صباح، ياخد قاربو الخشبي الصغير ويمشي يقلب على الحوت. هو صبار وهادي، ويشوف البحر كصاحبو الوحيد. فالعشية، يرجع للقريتو ويجيب معاه اللي صاد، ويقص للصغار قصص البحر. ,Algerian
 اشترى أحمد تذكرة ذهاب وعودة إلى شيكاغو لحضور مؤتمر علمي. وصل إلى المدينة واستمتع بزيارة المعالم الشهيرة. التقى هناك بباحثين من مختلف دول العالم. عاد إلى وطنه مليئاً بالأفكار والخبرات الجديدة. , أحمد شرى تيكي شيكاغو عرجة ورجعة باش يحضر في كونغري علمي. وصل لشيكاغو وبرع بزيارة البلايص المعروفة. تلاقى مع باحثين من دول كثيرة. رجع لبلادو وهو معبي بأفكار وتجارب جديدة. ,Algerian
 في يوم من الأيام، قرر أحمد أن يجرب وجبة جديدة في المطعم المحلي. عندما قرأ القائمة، وجد خيارًا يحتوي على لحم خنزير مملح. ولكنه تذكر أن تناول لحم الخنزير محرم في دينه. فقرر أن يطلب طبقًا آخر يحتوي على الدجاج والأرز بدلًا من ذلك. , واحد النهار، أحمد قرر يجرب واحد البلاطو جديد في المطعم ديال الحومة. ملي قرا المينو، لقى فيها بلاطو فيه لحم ديال الخنزير مملح. ولكن تفكر بلي أكل لحم الخنزير حرام في ديننا. فقرر يطلب بلاطو آخر فيه الدجاج والروز بلاش داك. ,Algerian
 في يوم مشمس، ذهب أحمد إلى المكتبة للدراسة. وجد مكاناً هادئاً بين الرفوف وبدأ بقراءة كتبه. بعد ساعات، انضمت إليه صديقته سارة لمساعدته. انتهى اليوم بنجاح حيث استطاع أحمد أن يفهم ويحل جميع المسائل الصعبة. , في يوم مشمس، مشى أحمد للمكتبة باش يقرا. لقى بلاصة ساكتة بين الطاقات وبدا يقرى في كتبو. ورا وقت، جات صحبتو سارة تعاونو. سالا النهار بالنجاح وأحمد فهم وحل كل المشاكل الصعاب. ,Algerian
" في يوم عاصف، احتاجت السيدة أمينة للذهاب إلى السوق بسرعة. وجدت صعوبة في إيقاف سيارة أجرة بسبب الأمطار الغزيرة. عندما اقتربت سيارة، صرخت قائلة: ""من فضلك، أسرع!"" وأخيرًا تمكنت من الوصول إلى وجهتها في الوقت المحدد. "," في نهار برد، خاصة أمينة تروح للسوق بالسرعة. ما لقاتش طاكسي حيت الشتا كانت قاصحة. ملّي جا واحد الطاكسي قريب، صرخت: ""عافاك، خلّيها تجري!"" وفي الأخير، وصلت لبلاصتها في الوقت اللي حددت. ",Algerian
 كان تاناب ينتظر صديقه عند الساعة السابعة. وعندما وصل الشخص الآخر، بدأت بينهما محادثة مهمة. تحدثا عن مشروع مشترك كانا يخططان له. وفي نهاية اللقاء، اتفقا على الخطوات القادمة وودع كل منهما الآخر بحرارة. , كان تاناب يتسنى صاحبو في ساعة سبعة. وكيف وصل الشخص لاخر، درو مع بعضهم حديث مهم. هدروا على مشروع مشترك يخمموا يديروه. وفي الآخر، قرروا على الخطوات اللي جاية وودعو بعضهم بشوق. ,Algerian
 التكييف لا يعمل، فقرر أحمد الاتصال بالصيانة. وصل الفني وتبين أن العطل بسيط ويمكن إصلاحه. بعد ساعة من العمل، عاد التكييف للعمل بكفاءة. شعر أحمد بالارتياح وهو يستعد لقضاء باقي اليوم براحة. , المكيف ما يخدمش، حب يتصل أحمد بالصيانة. جا الفني وشاف بلي العطب ساهل ويقدر يصلحو. واحد الساعة من الخدمة ورجع المكيف يخدم مليح. أحمد حس بالارتياح وهو يستعد باش يقضي باقي النهار بالراحة. ,Algerian
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل نهار الإثنين تفيق بكري توجد الفطور للعائلة ديالها. تحضر البيض المقلي والخبز الفريش والشاي السخون. ومن بعد ما تسالي الفطور، ترتب الدار وتعتني بالجنينة. هكاكة كل نهار الإثنين، تعبي الدار بالمحبة والدفء. ,Algerian
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," محمد وصل للمطار بكري، حامل ساكو في يديه. سمع صوت المذيع يقولو يروح لقاعة الخروج الدولية. سلم على صحابو وقال: ""الله يسهل عليكم، روحو لقاعة الخروج الدولية، نتمنالكم رحلة مليحة"". طلع للطيارة وعيونو تلمع بالحماس للمغامرة الجاية. ",Algerian
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد بغى يروح لباريس باش يشوف البرج إيفل. سقسى الوكيل: ""عندكم شي رحلات لباريس عبر قطار يوروستار؟"" الوكيل قال ليه كاينة رحلة السيمانة الجاية. أحمد ريزيرفا تذكرتو وبدا يحضر روحو للمغامرة. ",Algerian
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , ساعتي سيكو الرقمية كانت كادو من جدي. كل نهار، كانت تذكرني بلحظات الزين اللي قضيتها معاه. في واحد النهار، ضاعتلي الساعة وحسيت بحزن شديد. بعد ما دورت بزاف، لقيتها تحت النرية، ورجعتلي الذكريات الطيبة. ,Algerian
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , جبت الشهادة الطبية لطبيبي من اليابان. وملي شافها، تحير بالدقة والاحترافية اللي مكتوبة بيها. حتى هو قرر يدير نفس الأسلوب في عيادتو. وبالوقت، عيادتو صارت مثال يتبع في المدينة. ,Algerian
 في الطائرة المتجهة إلى بيروت، قرر ماجد تصفح مجلة الرحلة. وجد فيها قائمة المشروبات، واختار عصير البرتقال. جاءت المضيفة مبتسمة لتقدم له الشراب مع وجبة الغداء. شعر ماجد بالرضا وهو يتناول طعامه ويتأمل السحاب خارج النافذة. , فالطيارة لي رايحة لبيروت، ماجد فتح مجلة الرحلة باش يقرا. لقى لاليست ديال المشروبات واختار عصير ليمون. المضيفة جات بابتسامة وقدمتلو الشراب معا الغدا. ماجد حس بالراحة وهو ياكل ويشوف السحاب من الطاقة. ,Algerian
" في يوم من الأيام، سأل الطفل الغريب العجوز في الحديقة: ""هل تعيش بالقرب من هنا؟"" فأجاب العجوز بابتسامة عريضة ودعا الطفل لزيارته في منزله الصغير الذي يقع خلف الحديقة مباشرة. ومنذ ذلك اليوم، أصبح الطفل يزور العجوز يومياً، وتعلم الكثير من حكاياته وخبراته. تحولت الصداقة بينهما إلى قصة ملهمة لجميع سكان الحي. "," واحد النهار، ولد سقسى الشيخ اللي قاعد في الجنينة: ""تسكن حدا هنا؟"" الشيخ تبسم وعزمو يجي يزورو في دارو الصغيرة اللي ورا الجنينة مباشرة. من داك النهار، ولد صار يجي عند الشيخ كل يوم، وتعلم بزاف من حكاياتو وخبرتو. الصحبة بيناتهم ولات قصة يستلهم منها كل سكان الحي. ",Algerian
" كان أحمد يملك متجر هدايا صغير وأراد أن يرسل بعض المنتجات إلى اليابان. تحدث مع شركة الشحن وسألهم: ""هل يمكنك أن ترسلها إلى اليابان؟"" وافقت الشركة وأخبرته بكافة الإجراءات اللازمة. بعد أيام قليلة، تلقى أحمد تأكيدًا بأن الهدايا وصلت إلى اليابان بسلام. "," كان أحمد يملك محل صغير للهدايا وحب يرسل بعض البضايع لليابان. هضر مع شركة الشحن وسقساهم: ""تقدرو ترسلوها لليابان؟"" شركة الشحن وافقت وعلموه بكل الإجراءات اللي يحتاج. بعد أيام، تلقى أحمد تأكيد بلي الهدايا وصلت لليابان بخير. ",Algerian
 ذهب يوسف إلى المول ليبحث عن محل الهدايا. وجده بعد بحث طويل في الطابق الثاني. اشترى هدية لأخته وكانت سعيدة جداً بها. عاد إلى البيت مسروراً بما اختار. , يوسف راح للسانتر كوميرسيال يقلب على دار الكادوات. لقاها بعد ما دار بزاف في الطابق الثاني. شرا كادو لختو وهيا فرحت بزاف بيه. رجع للدار مفرح باللي اختار. ,Algerian
 وافقت نورا على الالتقاء بصديقها يوم الجمعة. وعندما جاء ذلك اليوم، استيقظت مبكرًا وأعدت نفسها للخروج. ولكنها تلقت رسالة من صديقها يعتذر فيها عن التأخير. فقررت نورا أن تستغل الوقت في قراءة كتابها المفضل. , نورا وافقت تلقى صاحبها نهار الجمعة. يوم جا، فاقت بكري وحضرت روحها باش تخرج. ولكن جاتها ميساج من صاحبها يعتذر على التأخر. حبست نورا تستغل الوقت وتقرا في كتابها المفضل. ,Algerian
 حسنا، دعني أتثبت من المفقود والموجود. أي نوع من الكاميرات هي؟ فتح الدرج ليجد أن الكاميرا القديمة قد اختفت. تذكر أنه رآها آخر مرة على الطاولة بجانب النافذة. بحث في كل زاوية من المنزل، شعر بالقلق. في النهاية، وجدها مخبأة تحت كومة من الكتب القديمة. , أوكي، خليني نتأكد من اللي راح واللي فضل. شنو نوع الكاميرات هذيك؟ حل الطيروة لقى الكاميرا القديمة ماكاش. تفكر بلي شافها لآخر مرة على الطابلة حدا الشرجم. دار تقليب في كل ركن في الدار، حس بالقلق. في الأخير، لقاها مخبية تحت كومة من الكتب القدام. ,Algerian
 أنا أسف جدا، نحن نجهز لك الغرفة التي طلبتها. لقد وصل الرجل متأخراً إلى الفندق بسبب عطل في سيارته. بعد اعتذار موظف الاستقبال، أخبره أن الغرفة ستكون جاهزة بعد دقائق. شعر الرجل بارتياح لأن الخدمة كانت سريعة وكفؤة. أخيراً، استراح في غرفته متأملاً جمال الإطلالة من النافذة. , أنا آسف بزاف، رانا نوجدولك البيت اللي طلبت. الراجل وصل متأخر للفندق بسبب عطب في طوموبيلتو. بعد الاعتذار من موظف الاستقبال، قالو لو أن البيت حيكون جاهز في دقايق. الراجل حس بالراحة لأن الخدمة كانت سريعة وكفؤة. في الأخير، استراح في بيتو وهو يتأمل الجمال اللي يبان من النافذة. ,Algerian
 وجدت أحمد خريطة قديمة في السوق، وسأل البائع إذا يمكنه الاحتفاظ بها. أظهرت الخريطة محطات مترو الأنفاق ومحطات الحافلات بوضوح. أخبره البائع أن الخريطة تعود لزمن كانت المدينة في أوج عمرانها. شعر أحمد بشغف لاكتشاف تاريخ المدينة من خلال هذه الخريطة. , لقا أحمد خريطة قديمة في السوق، وسقسى البايع واش يقدر يخليها لروحو. الخريطة كانت واضحة فيها محطات الميترو والبيسات. قالو البايع هذي الخريطة راجعة لوقت كانت المدينة في أقصى عمرانها. حس أحمد برغبة قوية يكتشف تاريخ المدينة من خلال هذي الخريطة. ,Algerian
 آه لقد فقدت شبزوكي. بدأت البحث عنه في كل مكان، ولكن دون جدوى. شعرت بالحزن الشديد لأنه كان صديقي المفضل. في النهاية، وجدته يختبئ في الحديقة وكانت سعادتي لا توصف. , آه لقدتلي شبزوكي. درت قلبة عليه فكل بلاصة، ولكن ما لقيتوش. حسيت بالحزن الكبير حيث كان خويا المفضل. في الأخير، لقيتو مخبي في الجردة وكانت فرحتي ما تنوصفش. ,Algerian
 كنت أسير على الطريق الرئيسي بجانب خليج موروا عندما شاهدتُ غروب الشمس الساحر. فجأة، لمحتُ قارب صيد قديم يقترب من الشاطئ. اقتربتُ لألقي نظرة أفضل ووجدتُ رجلاً عجوزاً يحكي قصص البحار. قضيتُ الساعات القادمة أستمع إلى حكاياته المثيرة وأتأمل جمال الطبيعة المحيطة. , كنت نمشي في الطريق الكبير حدا خليج موروا وشفت الغروب شحال من مليح. فجأة، شفت قارب صيد قديم كيفاش يقترب من الشاطئ. نقرب باش نشوف مليح ولقيت راجل كبير في السن يحكيلي على الحواديت ديال البحر. بقيت نسمع لحكاياتو المثيرة ونتأمل في جمال الطبيعة اللي حوالينا. ,Algerian
