MSA,Iraqi,lang
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل يوم الاثنين تكعد من الصبح تسوي الفطور لأهلها. تحضر البيض المقلي والخبز الطري والچاي الحار. وبعد ما تخلص الفطور، تشتغل بتنظيم البيت والاهتمام بالحديقة. هيج كل يوم الاثنين، تملي البيت بالمحبة والدفا.,Iraqi
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," محمد وصل للمطار من صبح وماسك بجنطته بإيديه. سمع صوت المذيع يكله يروح لقاعة المغادرة الدولية. ودع ربعه وگال: ""تكرمون على قاعة المغادرة الدولية، أتمنالكم رحلة ممتعة"". طلع للطائرة وعيونه تشع بالشوق للمغامرة اليديدة.",Iraqi
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد كان يريد يروح لباريس حتى يشوف البرج إيفل. سأل وكيل السفر: ""عدكم سفرات لباريس بالقطار يوروستار؟"" وكيل السفر أكدله أنو في رحلة متوفرة الأسبوع الجاي. أحمد حجز بطاقته وصار متشوق حيل للرحلة.",Iraqi
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , ساعتي سيكو الرقمية كانت هدية من جدي. كل يوم، تذكرني بالأوقات الحلوة اللي قضيتها وياه. في يوم، ضايعت الساعة وحسيت بحزن كبير. بعد ما دورت وايد، لكيتها تحت السرير، وردتلي الذكريات الزينة.,Iraqi
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , يبت الشهادة الطبية لطبيبي من اليابان. لمن شافها، اندهش بالدقة والاحترافية اللي انكتبت بهاي. وقرر يستخدم نفس الطريقة بعيادته. وبالتدريج، صارت العيادة نموذج للمحتذاة بالمدينة.,Iraqi
 ذهب محمد إلى المستشفى ليستلم فواتير علاجه الطبي. سأل الطبيب إذا ما كانت الفواتير تشمل كل التفاصيل. أكد الطبيب أن كل شيء موثق بدقة. شعر محمد بالارتياح لأنه سيتمكن من تقديم الوثائق لشركة التأمين. , محمد راح للمستشفى ياخذ فواتير علاجه. سأل الدكتور إذا الفواتير تحتوي كل التفاصيل. الدكتور ضمنله كل شي مسجّل بالدقة. محمد ارتاح لأنه راح يكدر يقدم الأوراق لشركة التأمين.,Iraqi
 كان أحمد يبحث عن قاموس جيب في المكتبة ليساعده في دراسته للغة الإنجليزية. وجد واحدًا مناسبًا، فقد كان صغيرًا وعمليًا. دفع ثمن القاموس وشعر بسعادة لأنه سيكون مفيدًا في رحلته القادمة. استعمله كل يوم وتحسنت لغته الإنجليزية بشكل ملحوظ. , أحمد كان يدور على قاموس جيب بالمكتبة حتى يساعده بدراسته للإنكليزي. لگة واحد زين، صغيرون وينفع. دفع فلوسه وانبسط لأن راح يستخدمه بسفرته الجاية. كل يوم يستخدمه ولغته الإنكليزية تحسنت وايد.,Iraqi
 حسناً، أنا لا أعلم ماذا حدث بالضبط، ولكن يبدو أن القط قد تسلق الشجرة ولم يستطع النزول. استدعينا رجال الإطفاء لمساعدته. وبعد جهود حثيثة، تمكنوا من إنقاذه. شكرتهم كثيرًا لأنهم أعادوا القط إلى أرض الأمان. , زين، أنا ما أعرف شنو صار بالضبط، بس يبدو إن القطوة طلعت على الشجرة وما كدرت تنزل. استدعينا رجال الدفاع المدني ليساعدوها. وبعد مجهود كبير، إستطاعوا ينقذوها. شكرتهم هواية لأنهم رجعوا القطوة للأمان.,Iraqi
 مبروك، علمت أنه قد تم ترقيتك إلى نائب رئيس. في يوم الترقية، استعد خالد بكل حماس ليذهب إلى العمل. وعند وصوله، استقبله زملاؤه بالتصفيق والتهاني. شعر بالفخر والسعادة لهذا الإنجاز، وعزم على مواصلة العمل بجد وإخلاص. , مبروك، دريت إنك صرت نائب الرئيس. بيوم الترقية، خالد جهز نفسه بكل حماس حتى يروح للدوام. يوم وصل، زمايله استقبلوه بالتصفيق والتهاني. حس بالعزة والسعادة لهذا الإنجاز، وحزم أمره إنه يستمر بالعمل بإخلاص وجهد.,Iraqi
 مساء بعد غد، سيعقد القرية احتفالاً كبيراً يشمل الألعاب النارية والرقص. وسيجتمع الناس من كل أنحاء المنطقة لمشاركة الفرح والمأكولات التقليدية. ستقدم الفرق الموسيقية عروضاً حية، وستكون الموسيقى ساحرة تملأ الأجواء. وبينما تغرب الشمس، ستضاء السماء بألوان الألعاب النارية، معلنة نهاية يوم لا يُنسى. , مساء بعد بكرة، القرية راح تسوي حفلة كبيرة بيها الألعاب النارية والرقص. الناس راح يجون من كل مكان بالمنطقة حتى يشاركون الفرح وياكلون الأكل الأصيل. الفرق الموسيقية راح تقدم عروض مباشرة، والموسيقى راح تكون سحر تملي الجو. ووكت الشمس تغيب، السماء راح تنور بألوان الألعاب النارية، وتعلن نهاية يوم ما ينتسى.,Iraqi
 في جنوب اليابان حيث البحار الدافئة، يوجد صياد قديم يعيش وحيدًا في بيت صغير. كل صباح، يأخذ قاربه الخشبي الصغير ويبحر بحثًا عن الأسماك. يتميز بالصبر والهدوء، ويعتبر البحر صديقه الوحيد. في المساء، يعود إلى قريته حاملاً ما اصطاده، ويشارك قصص البحر مع الأطفال. , بجنوب اليابان وين البحر دافي، أكو صياد شايب عايش لحده ببيت صغير. كل صبح، ياخذ قاربه الخشبي الصغير ويروح للبحر يبحث عن السمك. هو يتمتع بالصبر والهدوء، ويعد البحر رفيجه الوحيد. بالمسية، يرجع لقريته وياه السمك اللي صاده، ويسولف للأطفال قصص البحر.,Iraqi
 اشترى أحمد تذكرة ذهاب وعودة إلى شيكاغو لحضور مؤتمر علمي. وصل إلى المدينة واستمتع بزيارة المعالم الشهيرة. التقى هناك بباحثين من مختلف دول العالم. عاد إلى وطنه مليئاً بالأفكار والخبرات الجديدة. , أحمد شره تذكرة رايحة ورادة لشيكاغو حتى يحضر مؤتمر علمي. وصل للمدينة واستمتع بزيارة الأماكن الفشخة. تعرف على باحثين من أنحاء العالم كله. رجع لديرته مليان بالأفكار والخبرات الجديدة.,Iraqi
 في يوم من الأيام، قرر أحمد أن يجرب وجبة جديدة في المطعم المحلي. عندما قرأ القائمة، وجد خيارًا يحتوي على لحم خنزير مملح. ولكنه تذكر أن تناول لحم الخنزير محرم في دينه. فقرر أن يطلب طبقًا آخر يحتوي على الدجاج والأرز بدلًا من ذلك. , بهاي اليوم، أحمد حب يجرب أكلة جديدة بالمطعم اللي بالحارة. يوم شاف القائمة، لگه خيار يحتوي على لحم خنزير مملح. بس تذكر إن تناول لحم الخنزير حرام بدينه. فقرر يطلب صحن ثاني فيه دجاج ورز بداله.,Iraqi
 في يوم مشمس، ذهب أحمد إلى المكتبة للدراسة. وجد مكاناً هادئاً بين الرفوف وبدأ بقراءة كتبه. بعد ساعات، انضمت إليه صديقته سارة لمساعدته. انتهى اليوم بنجاح حيث استطاع أحمد أن يفهم ويحل جميع المسائل الصعبة. , بيوم مشمس، راح أحمد للمكتبة حتى يذاكر. لكى مكان هادي بين الرفوف وبدأ يقره كتبه. بعد سويعات، اجت صديقته سارة حتى تساعده. انتهى اليوم بنجاح وأحمد فهم وحل كل الأسئلة الصعبة.,Iraqi
" في يوم عاصف، احتاجت السيدة أمينة للذهاب إلى السوق بسرعة. وجدت صعوبة في إيقاف سيارة أجرة بسبب الأمطار الغزيرة. عندما اقتربت سيارة، صرخت قائلة: ""من فضلك، أسرع!"" وأخيرًا تمكنت من الوصول إلى وجهتها في الوقت المحدد. "," بيوم مطر شديد، أمينة كانت محتاجة تروح السوق بسرعة. ما كدرت تصيد تكسي من زود المطر. لما جانت تكسي يمها، صاحت: ""تكرم، خلي نمشي بسرعة!"" وبالأخير، أمينة وصلت لمكانها بالوكت المطلوب.",Iraqi
 كان تاناب ينتظر صديقه عند الساعة السابعة. وعندما وصل الشخص الآخر، بدأت بينهما محادثة مهمة. تحدثا عن مشروع مشترك كانا يخططان له. وفي نهاية اللقاء، اتفقا على الخطوات القادمة وودع كل منهما الآخر بحرارة. , كان تاناب ينطر رفيجه عند الساعة سبعة. لمن وصل الشخص الثاني، شرعوا بحديث مهم. تكلموا عن مشروع مشترك كانوا يخططون له. وبنهاية اللقاء، اتفقوا على الخطوات الجاية وودعوا بعض بحرارة.,Iraqi
 التكييف لا يعمل، فقرر أحمد الاتصال بالصيانة. وصل الفني وتبين أن العطل بسيط ويمكن إصلاحه. بعد ساعة من العمل، عاد التكييف للعمل بكفاءة. شعر أحمد بالارتياح وهو يستعد لقضاء باقي اليوم براحة. , التكييف ما يشتغل، فـ أحمد اتصل بالصيانة. الفني أجه وشاف إن الخراب بسيط وينصلح. بعد ساعة شغل، التكييف رد يشتغل زين. أحمد حس بالراحة وصار مستعد يكمل باقي اليوم براحة.,Iraqi
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل يوم الاثنين تكعد من الصبح تسوي الفطور لأهلها. تحضر البيض المقلي والخبز الطري والچاي الحار. وبعد ما تخلص الفطور، تشتغل بتنظيم البيت والاهتمام بالحديقة. هيج كل يوم الاثنين، تملي البيت بالمحبة والدفا.,Iraqi
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," محمد وصل للمطار من صبح وماسك بجنطته بإيديه. سمع صوت المذيع يكله يروح لقاعة المغادرة الدولية. ودع ربعه وگال: ""تكرمون على قاعة المغادرة الدولية، أتمنالكم رحلة ممتعة"". طلع للطائرة وعيونه تشع بالشوق للمغامرة اليديدة.",Iraqi
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد كان يريد يروح لباريس حتى يشوف البرج إيفل. سأل وكيل السفر: ""عدكم سفرات لباريس بالقطار يوروستار؟"" وكيل السفر أكدله أنو في رحلة متوفرة الأسبوع الجاي. أحمد حجز بطاقته وصار متشوق حيل للرحلة.",Iraqi
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , ساعتي سيكو الرقمية كانت هدية من جدي. كل يوم، تذكرني بالأوقات الحلوة اللي قضيتها وياه. في يوم، ضايعت الساعة وحسيت بحزن كبير. بعد ما دورت وايد، لكيتها تحت السرير، وردتلي الذكريات الزينة.,Iraqi
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , يبت الشهادة الطبية لطبيبي من اليابان. لمن شافها، اندهش بالدقة والاحترافية اللي انكتبت بهاي. وقرر يستخدم نفس الطريقة بعيادته. وبالتدريج، صارت العيادة نموذج للمحتذاة بالمدينة.,Iraqi
 في الطائرة المتجهة إلى بيروت، قرر ماجد تصفح مجلة الرحلة. وجد فيها قائمة المشروبات، واختار عصير البرتقال. جاءت المضيفة مبتسمة لتقدم له الشراب مع وجبة الغداء. شعر ماجد بالرضا وهو يتناول طعامه ويتأمل السحاب خارج النافذة. , بالطيارة الرايحة لبيروت، ماجد فتح مجلة الرحلة يقراها. لكا القائمة مال مشروبات واختار عصير برتقال. الخدمة يابتله ابتسامه وقدمتله الشراب ويه الغدا. ماجد حس بالراحة وهو ياكل ويطالع الغيم من الدريشة.,Iraqi
" في يوم من الأيام، سأل الطفل الغريب العجوز في الحديقة: ""هل تعيش بالقرب من هنا؟"" فأجاب العجوز بابتسامة عريضة ودعا الطفل لزيارته في منزله الصغير الذي يقع خلف الحديقة مباشرة. ومنذ ذلك اليوم، أصبح الطفل يزور العجوز يومياً، وتعلم الكثير من حكاياته وخبراته. تحولت الصداقة بينهما إلى قصة ملهمة لجميع سكان الحي. "," يوم من الأيام، الصبي سأل الشيخ الجالس بالحديقة: ""عمو، أنت ساكن جنب منا هنا؟"" الشيخ ابتسم وعزم الصبي يزوره بداره الصغيرة اللي ورة الحديقة. من ذاك اليوم، الصبي صار يروح للشيخ كل يوم، وتعلم وايد من قصصه وتجاربه. الصداقة بينهم صارت حكاية يلهم كل ناس المحلة.",Iraqi
" كان أحمد يملك متجر هدايا صغير وأراد أن يرسل بعض المنتجات إلى اليابان. تحدث مع شركة الشحن وسألهم: ""هل يمكنك أن ترسلها إلى اليابان؟"" وافقت الشركة وأخبرته بكافة الإجراءات اللازمة. بعد أيام قليلة، تلقى أحمد تأكيدًا بأن الهدايا وصلت إلى اليابان بسلام. "," كان عند أحمد محل هدايا صغير وراد يرسل بضايع لليابان. كلم شركة الشحن وسألهم: ""تگدرون ترسلوها لليابان؟"" الشركة وافقت وخبرته بكل الإجراءات المطلوبة. بعد كم يوم، أحمد استلم تأكيد إن الهدايا وصلت لليابان بالسلامة.",Iraqi
 ذهب يوسف إلى المول ليبحث عن محل الهدايا. وجده بعد بحث طويل في الطابق الثاني. اشترى هدية لأخته وكانت سعيدة جداً بها. عاد إلى البيت مسروراً بما اختار. , يوسف راح للمول يدور على محل الهدايا. لكاه بعد بحث طويل بالطابق الثاني. اشتره هدية لأخته وهيه كلش فرحت بيها. رد للبيت مستانس باللي انتخب.,Iraqi
 وافقت نورا على الالتقاء بصديقها يوم الجمعة. وعندما جاء ذلك اليوم، استيقظت مبكرًا وأعدت نفسها للخروج. ولكنها تلقت رسالة من صديقها يعتذر فيها عن التأخير. فقررت نورا أن تستغل الوقت في قراءة كتابها المفضل. , نورا رضيت تلتقي بصديقها يوم الجمعة. يوم أجه، قامت بالصبح الباكر وهيأت روحها حتى تطلع. بس استلمت رسالة منه يعتذر عن التأخير. جان نورا تقرر تستفاد من الوقت وتقرة كتابها المفضل.,Iraqi
 حسنا، دعني أتثبت من المفقود والموجود. أي نوع من الكاميرات هي؟ فتح الدرج ليجد أن الكاميرا القديمة قد اختفت. تذكر أنه رآها آخر مرة على الطاولة بجانب النافذة. بحث في كل زاوية من المنزل، شعر بالقلق. في النهاية، وجدها مخبأة تحت كومة من الكتب القديمة. , زين، خليني أتأكد من الناقص والموجود. شنو نوع الكاميرات هذني؟ فتح الدرج ولگى الكاميرا القديمة مو موجودة. تذكر إنه شافها آخر مرة على الطاولة يم الدريشة. دور بكل زاوية بالبيت، حس بالقلق. بالأخير، لگاها مخباية تحت دفة من الكتب القديمة.,Iraqi
 أنا أسف جدا، نحن نجهز لك الغرفة التي طلبتها. لقد وصل الرجل متأخراً إلى الفندق بسبب عطل في سيارته. بعد اعتذار موظف الاستقبال، أخبره أن الغرفة ستكون جاهزة بعد دقائق. شعر الرجل بارتياح لأن الخدمة كانت سريعة وكفؤة. أخيراً، استراح في غرفته متأملاً جمال الإطلالة من النافذة. , آني آسف وايد، إحنا نجهزلك الغرفة اللي طلبتها. الريال وصل متأخر للفندق بسبب خراب بسيارته. بعد ما اعتذر موظف الاستقبال، كله أن الغرفة راح تكون جاهزة بعد لحظات. الريال إرتاح لأن الخدمة كانت سريعة وماهرة. بالأخير، استراح بغرفته وهو يتفرج على الجمال من النافذة.,Iraqi
 وجدت أحمد خريطة قديمة في السوق، وسأل البائع إذا يمكنه الاحتفاظ بها. أظهرت الخريطة محطات مترو الأنفاق ومحطات الحافلات بوضوح. أخبره البائع أن الخريطة تعود لزمن كانت المدينة في أوج عمرانها. شعر أحمد بشغف لاكتشاف تاريخ المدينة من خلال هذه الخريطة. , لكى أحمد خريطة قديمة بالسوق، وسأل البياع يقدر يشيلها وياه. الخريطة كانت واضحة بيها محطات المترو ومحطات الباصات. كلله البياع هاي الخريطة من زمن كانت المدينة بأحسن حالاتها. اندفع أحمد بشغف يكتشف تاريخ المدينة من خلال هاي الخريطة.,Iraqi
 آه لقد فقدت شبزوكي. بدأت البحث عنه في كل مكان، ولكن دون جدوى. شعرت بالحزن الشديد لأنه كان صديقي المفضل. في النهاية، وجدته يختبئ في الحديقة وكانت سعادتي لا توصف. , آه لقدت شبزوكي. رحت أدور عليه بكل مكان، بس ما كدرت ألكاه. صرت حزين وايد لأنه كان رفيجي المحبوب. آخر شي، لكيته مستخبي بالبستان وكانت فرحتي ما تنوصف.,Iraqi
 كنت أسير على الطريق الرئيسي بجانب خليج موروا عندما شاهدتُ غروب الشمس الساحر. فجأة، لمحتُ قارب صيد قديم يقترب من الشاطئ. اقتربتُ لألقي نظرة أفضل ووجدتُ رجلاً عجوزاً يحكي قصص البحار. قضيتُ الساعات القادمة أستمع إلى حكاياته المثيرة وأتأمل جمال الطبيعة المحيطة. , كنت ماشي بالشارع الرئيسي يم خليج موروا وشفت الغروب شلون حلو. فجأة، شفت قارب صيد قديم يتمخطر للشاطئ. دنقت علمود أشوف زين ولكيت واحد شايب يحجي عن قصص البحر. كعدت ساعات أسمع لحجاياته الشيقة وأطالع بجمال الطبيعة الروحنا.,Iraqi
