id,split,MSA,ALG
398,corpus-6-test-corpus-26-dev,بالمناسبة ، اسمي هيروش إيجيما .,حقا، إسمي هيروشي ايجيما.
401,corpus-6-test-corpus-26-dev,"هذا القطار يتوقف في لاك فورست , أليس كذلك ؟",هاذ القطار يحبس في لاك فورست، ياك؟
408,corpus-6-test-corpus-26-train,معظم اليابانيين يأكلون الأخطبوط والحبار .,بزاف يابانيين ياكلو لا بيوفر و الكالامار.
416,corpus-6-test-corpus-26-train,"هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟",من فضلك، تقدر تاعطيني تذاكر بالدرجة الثانية لشيكاقو؟
419,corpus-6-test-corpus-26-train,لقد ذهبت إلى نيويورك .,رحت لنيويورك.
423,corpus-6-test-corpus-26-train,ما هو رقم الرحلة الجوية ؟,شحال الرقم تع هاذ الرحلة؟
442,corpus-6-test-corpus-26-test,واحد لنيويورك ، من فضلك .,شخص واحد لنيويورك، من فضلك.
446,corpus-6-test-corpus-26-train,لعدة أيام قليلة .,ليامات برك.
447,corpus-6-test-corpus-26-train,الثاني من على اليسار .,الثانية على اليسار.
471,corpus-6-test-corpus-26-dev,"هذا الكارت , حسناً ؟",هاذ البطاقة، معليش؟
488,corpus-6-test-corpus-26-train,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟,الإستقبال؟ كاين عيادة قريبة من هنا؟
493,corpus-6-test-corpus-26-train,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟,اذا عشرة دولار يكفو للطاكسي؟
503,corpus-6-test-corpus-26-train,أنه ذو مذاق غريب .,البنة غربية.
512,corpus-6-test-corpus-26-train,"نعم . انتظر , سوف احضر لك واحدة .",ايه. اصبر، دوك نجيبلك.
516,corpus-6-test-corpus-26-train,"نصف زجاجة , من فضلك .",نص قرعة، من فضلك.
540,corpus-6-test-corpus-26-train,ليس تماماً . فقط شيء ما غير غالي الثمن .,ماشي حاجة. حاجة تكون ماشي غالية بزاف.
548,corpus-6-test-corpus-26-train,هل تبحث عن شيء ما ؟,راك تحوس كاش حاجة مخصصة؟
551,corpus-6-test-corpus-26-train,أربع ليالي .,أربع ليالي.
553,corpus-6-test-corpus-26-train,أريد بعض الجوارب الرجالي .,نسحق تقاشر.
565,corpus-6-test-corpus-26-train,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟,تقدر تدريلنا سومة علاجال كاين بقع؟
571,corpus-6-test-corpus-26-train,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .,واحد الراجل طبعني. ممبعد صبت بلي محفظة النقود ديالي ضاعت.
599,corpus-6-test-corpus-26-train,أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .,ماشكيتش بلي جبت معايا حوايج لي يكفو لثلاث أسابيع.
612,corpus-6-test-corpus-26-train,حسناً ، أود أن أجرب النبيذ الأبيض .,امالا، رانا حابين نجربوا النبيذ الأبيض.
631,corpus-6-test-corpus-26-train,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .,ويدا حوس عليا كاش واحد، قولوهم بلي راني فالقهوة.
632,corpus-6-test-corpus-26-train,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .,راني متأكد بلي درتو فالجيب الدخلاني تع المونطو ديالي.
641,corpus-6-test-corpus-26-test,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد الاتصال به ؟,تقدر تعطيني الإسم و الرقم تع الشخص لي راك حاب تتصل بيه؟
643,corpus-6-test-corpus-26-train,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟,هل شركة الطيران تخلص لي شراء الأغراض الشخصية؟
650,corpus-6-test-corpus-26-train,أرغب في غرفة بحمام .,راني حاب غرفة لي فيها بينواغ.
652,corpus-6-test-corpus-26-dev,لم يخرج من الماكينة شيء .,حاجة ماخرجت من الجهاز؟
667,corpus-6-test-corpus-26-test,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .,كان لازم عليك تدي الرحلة ثمان مئة وعشرون لي راحت عندها خمسة عشر دقيقة. ايه. نقدر نصيبلك رحلة واحدوخرا.
673,corpus-6-test-corpus-26-train,شخص ما فتح الطرد الخاص بي .,كاش واحد فتح الطرد ديالي.
679,corpus-6-test-corpus-26-test,"آوه , الأمر بسيط ، هل أنت هنا ، على أية حال .",أوه، ماشي حاجة. مادام راك هنا.
680,corpus-6-test-corpus-26-train,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .,الخطوط الجوية اليابانية، الرحلة رقم واحد، اثنان، ثلاثة.
681,corpus-6-test-corpus-26-train,أرغب في شراء شامبو .,لازم نشري شامبوان.
683,corpus-6-test-corpus-26-train,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .,تقدر تقولي وقتاش نوصلوا لوسط المدينة؟
688,corpus-6-test-corpus-26-train,ـ أين أقرب محل جزارة ؟,وين جاي الجزار القريب من هنا؟
703,corpus-6-test-corpus-26-train,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .,رانا حابين نقعدوا أربع ليالي من الأول أوت.
708,corpus-6-test-corpus-26-train,ما اسم هذه الوردة ؟,واسمها هاذ الزهرة؟
719,corpus-6-test-corpus-26-train,الخامس عشر من سبتمبر يوم احترام المسنين .,الخامس عشر من سبتمبر هو اليوم تاع الإحترام للأشخاص المسنين.
723,corpus-6-test-corpus-26-train,ليس هناك صابون في حجرتي .,ماكانش صابون في غرفتي.
741,corpus-6-test-corpus-26-dev,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي ؟,واش نقدر ندي باش نداوي الاحمرار؟
742,corpus-6-test-corpus-26-train,هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟,تقدر تبدل الصيغة على حساب واش قتليي دوكا؟
761,corpus-6-test-corpus-26-test,كم ستستغرق لكي تطلب ؟,شحال لازم من وقت باش ندير طلب؟
773,corpus-6-test-corpus-26-train,"لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .",تقدر تعلي صوتك شوية، من فضلك؟
777,corpus-6-test-corpus-26-train,كم تستغرق حتى تصبح متاحة .,شحال من وقت باش يخرج؟
786,corpus-6-test-corpus-26-train,أين الاستعلامات الرياضية ؟,وين راهم المعلومات الرياضية؟
787,corpus-6-test-corpus-26-train,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .,هاذ القياس، لي تسميها كلاسيك، توالم.
793,corpus-6-test-corpus-26-test,أين ستنتهي الجولة ، ومتى ؟,وين أو وقتاش تخلاص الرحلة؟
848,corpus-6-test-corpus-26-train,من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟,وين لازم نبدل القطار باش نروح لإدينبره؟
855,corpus-6-test-corpus-26-train,أود أن أضع ذلك في صندوق ودائع آمن .,راني حاب نحط هذا فصندوق امانات.
859,corpus-6-test-corpus-26-train,أين يمكنني تغير نقودي ؟,وين نقدر نبدل الدراهم؟
897,corpus-6-test-corpus-26-train,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟,اذا نقدرو نخلوا الأغراض فالحافلة، ندو غير الحاجات المهمين؟
902,corpus-6-test-corpus-26-train,أتساءل عن هذه الرسوم الزائدة على فاتورتي .,راني حاب نعرف تاع واش هاذ التكاليف.
917,corpus-6-test-corpus-26-train,أنا سوف أدفع خمسون دولاراً .,نخلص خمسين دولار.
941,corpus-6-test-corpus-26-train,الآن أعرف . ماذا كان الخطأ . ؟,دوكا راني عارف واش هي الغلطة.
957,corpus-6-test-corpus-26-dev,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة في تمام الساعة السادسة والثلث هذا المساء . ولكني آسفة لأني سأصل متأخرة نصف ساعة .,معاك إكيدا. كنت حجزت طاولة لهاذ لعشية على الستة ونص. سامحني، نوصل متأخر بنص ساعة.
1003,corpus-6-test-corpus-26-train,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟,شحال وقية من عطر نقدر نشريه بدون طاكس؟
1007,corpus-6-test-corpus-26-train,فقط سياحة .,للسياحة.
1010,corpus-6-test-corpus-26-train,"هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟",هايل، من فضلك امضيهم. كيفاش راك حابهم؟
1023,corpus-6-test-corpus-26-test,هل لا زال لديكم مقاعد لعرض الليلة ؟,مازال عندكم أماكن لعرض المساء؟
1036,corpus-6-test-corpus-26-train,أود الحصول على واحدة كبيرة .,راني حاب جملة.
1037,corpus-6-test-corpus-26-dev,لقد نمت و لم أتيقظ حين رن منبه السادسة و النصف .,مافطنطش كي صونا المنبه على الستة و نص.
1038,corpus-6-test-corpus-26-train,أنا مصور حر .,أنا مصور حر.
1047,corpus-6-test-corpus-26-train,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟,تجار الكازينو يقدرو يبدلولك الدولار اعطيلهم برك البقشيش . أيا نروحو؟
1056,corpus-6-test-corpus-26-dev,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام .,عندنا حوالي ثلاثين نوع من الزيوت للاستحمام.
1062,corpus-6-test-corpus-26-train,سوف أحضر لك العرض الأسبوع القادم .,نديرلك عرض الأسبوع القادم.
1074,corpus-6-test-corpus-26-train,شكراُ لك . كم تكلفة هذا القفاز ؟,صحا. شحال يسواو هاذ القفازات؟
1098,corpus-6-test-corpus-26-train,علىّ أن أذهب ، سأتصل بك لاحقاً .,لازم نروح. نتصل بيك ممبعد.
1100,corpus-6-test-corpus-26-train,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .,نحتاج حفاظات.
1122,corpus-6-test-corpus-26-train,أين نشأت سمكات الفراش هذه ؟,منين جاو فراشات الحوت هاذو؟
1124,corpus-6-test-corpus-26-train,هل لك أن تغيرهم إلى دولارات من فضلك ؟,تقدر تبدلهم للدولار، من فضلك؟
1139,corpus-6-test-corpus-26-train,نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .,عندنا الزهر. عندهم مقاس أربعة و ثلاثون في محل ألا موانا.
1146,corpus-6-test-corpus-26-train,هل هناك سيارة ليموزين ؟,كاين ليموزين؟
1163,corpus-6-test-corpus-26-dev,هل لى أن أتلقى اتصالاً يوقظنى فى الخامسة و النصف من صباح الغد ؟,تقدر تنوظني على الخمسة و نص غدوا صبح؟
1165,corpus-6-test-corpus-26-train,أُفضلُ حجرة هادئة .,نفضل غرفة هادية.
1167,corpus-6-test-corpus-26-train,أريد مزيلا لطلاء الأظافر .,نحتاج إلى مزيل الطلاء.
1183,corpus-6-test-corpus-26-train,أريد بطارية .,نحتاج بطارية.
1193,corpus-6-test-corpus-26-test,هل هناك فرقة موسيقية أم دي جي ؟,اذا كاين فرقة لايف ولا ديجي؟
1194,corpus-6-test-corpus-26-train,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟,اذا نقدر نكري أغراض الغطس؟
1199,corpus-6-test-corpus-26-dev,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر .,راني حاب نحجز غرفة لأربعة أيام من الثاني وعشرون ديسمبر.
1212,corpus-6-test-corpus-26-train,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟,هاذ الساك يوالم، مهما كان الحال؟
1213,corpus-6-test-corpus-26-train,أريد كعكة محلاة من فضلك .,راني حاب بنيي، من فضلك.
1218,corpus-6-test-corpus-26-train,أريد تأجير سلاح آلى لمدة يومين .,راني حاب نكري سيارة أتوماتيكية ليومين.
1224,corpus-6-test-corpus-26-train,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .,فاتتني الرحلة عشرون لي تروح ل سان فرانسيسكو.
1234,corpus-6-test-corpus-26-train,كم سأدفع للوصول إلى المطار ؟,شحال السومة للمطار؟
1235,corpus-6-test-corpus-26-train,هذا جيد . متى هو ؟,مليح. وقتاش؟
1276,corpus-6-test-corpus-26-train,كم عمر ابنتك ؟,شحال في عمرها بنتك؟
1312,corpus-6-test-corpus-26-train,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟,تقدر تقلي على الفنادق النقية والرخيصة؟
1321,corpus-6-test-corpus-26-train,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .,نقدر نحجزلك غرفة مريحة في قصر قديم قريب من نادي غولف مشهور.
1329,corpus-6-test-corpus-26-train,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .,نقترحهولك، المكونات مئة بالمئة طبيعية.
1361,corpus-6-test-corpus-26-dev,هل يتوقف القطار في برايتون ؟,هاذ القطار اذا يحبس في بريغتون؟
1369,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟,تقدر تقلي وين نصيب طاكسي؟
1375,corpus-6-test-corpus-26-train,تذكرتين درجة ثانية من فضلك .,تذكرتان للدرجة الثانية، من فضلك.
1384,corpus-6-test-corpus-26-train,أود أن أرسل فاكس .,راني حاب نبعث فاكس.
1394,corpus-6-test-corpus-26-train,أريد مكواة سفر .,راني حاب حديد تاع سفر.
1396,corpus-6-test-corpus-26-train,أيمكنني أن أقدم لك أي شيء ؟,نقدر نعطيلك كاش حاجة؟
1404,corpus-6-test-corpus-26-train,أخشى أن أسأل ، لكن ماذا تعني ؟,نهاري؟ راني خايف نسقسي بصح واش راك حاب تقول؟
1418,corpus-6-test-corpus-26-train,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .,راني حاب برية لي يجوا فيها ورق بلاما نطويهم.
1433,corpus-6-test-corpus-26-test,نعم ، لكن ليس قويا جدا .,ايه، بصح ماشي بزاف قوي.
1434,corpus-6-test-corpus-26-train,أنا شديد الحساسية للقطط .,عندي حساسية من القطوط.
1436,corpus-6-test-corpus-26-train,"نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .",ايه، لازم تكون عندك رخصة سياقة و، أووه، لازم تكون عندك رخصة من لجنة سيارات الأجرة والليموزين.
1462,corpus-6-test-corpus-26-train,استمر يا سيدي .,تفضل، سيدي.
1465,corpus-6-test-corpus-26-test,يبدوا أنني غير قادر على الحصول على الماء الساخن .,مقدرتش نصيب الماء السخون.
1474,corpus-6-test-corpus-26-train,أود أن أحجز غرفة لهذه الليلة .,راني حاب نحجز غرفة لهاذ لعشية.
1492,corpus-6-test-corpus-26-train,لا ، إنها لا تشمل الضريبة ومصاريف الخدمة .,لالا، الطاكس و تكاليف الخدمة ماشي داخلة.
1506,corpus-6-test-corpus-26-train,هل تريد أن تذهب للتسوق معي بعد الظهر ؟,تحب تجي تشري معايا بعد منتصف النهار؟
1508,corpus-6-test-corpus-26-test,هيه ، هذا فستان جميل حقا .,سلام، هاذي روبا شابة بزاف.
1519,corpus-6-test-corpus-26-train,الآن ، مكالمتك ردت . تفضل من فضلك .,هاهوليك، الاتصال تاعك بدا. تفضل.
1525,corpus-6-test-corpus-26-train,ما رقم البوابة ؟,شحال رقم الباب؟
1539,corpus-6-test-corpus-26-train,ما التذكار الخاص بهاواي ؟,واش هي الحاجة كذكرى من هاواي؟
1556,corpus-6-test-corpus-26-train,أيمكنني أن أذهب هناك بمترو الأنفاق ؟,اذا نقدر نروح فالميترو؟
1560,corpus-6-test-corpus-26-train,أريد مجفف .,راني حاب بروشينغ.
1562,corpus-6-test-corpus-26-train,هل نذهب إلى أي مكان متحدثين مثل ذلك ؟,هاذ المحادثة وين رايحة توصلنا؟
1585,corpus-6-test-corpus-26-train,أنا من النرويج .,جيت من النرويج.
1603,corpus-6-test-corpus-26-dev,من ثمانية إلى اثنى عشر من فضلك .,من عشرة إلى اثناعشر، من فضلك.
1619,corpus-6-test-corpus-26-train,بالتأكيد . دعني أراها . أظن أن المرجان جرحك .,أكيد. وريلي نشوف. نظن بلي جرحك المرجان.
1620,corpus-6-test-corpus-26-train,لقط للتأكيد ، إعطني رقم المسئول .,برك عند الحاجة، أعطيني رقم هاتف الشخص المسؤول.
1622,corpus-6-test-corpus-26-train,هل هناك طريق حر ؟,اذا كاين طريق سريع؟
1630,corpus-6-test-corpus-26-train,لماذا لم يأت إلى الحفلة أمس ؟,وعلاش ماجاش للحفلة لبارح؟
1637,corpus-6-test-corpus-26-train,لقد كان هناك حادث مرور .,وقع حاث سير.
1650,corpus-6-test-corpus-26-train,"آسف , لقد اتصلت بالرقم الخطأ .",سامحني، عندي رقم خاطئ.
1653,corpus-6-test-corpus-26-test,من فضلك ادخل رقم هويتك الشخصية .,من فضلك دخل رقم التعريف ديالك.
1663,corpus-6-test-corpus-26-dev,لا أستطيع ضبط اللوحة .,منقدرش نعدل الصورة.
1668,corpus-6-test-corpus-26-train,"واحد هامبورجر بالجبن و عصير برتقال , من فضلك .",شيزبرغر و عصير برتقال، من فضلك.
1670,corpus-6-test-corpus-26-test,هاك جواز سفري .,هاك جواز السفر ديالي.
1682,corpus-6-test-corpus-26-test,"لماذا , شكرا جزيلا . هل أستطيع الارتقاء للقمة ؟",ايييه، صحا بزاف. أووه، اذا نقدر نطلع للطابق الأخير؟
1702,corpus-6-test-corpus-26-train,هل أستطيع أن الحصول علي تذكرتان للمسرحية الغنائية الجمعة القادمة .,اذا نقدر نتحصل على تذكرتين للعرض المسرحي الموسيقي تع الجمعة الجاية؟
1718,corpus-6-test-corpus-26-train,راكب آخر هناك قال انهم يستطيعون أن يبدلوا مقاعدهم معك .,راكب واحدآخر قال بلي راهوا حاب يبدل معاك البلاصة.
1754,corpus-6-test-corpus-26-train,هل أستطيع تمديد إقامتي ؟,اذا نقدر نزيد نطول الإقامة ديالي؟
1766,corpus-6-test-corpus-26-train,"يا صاح , أتعرف أي مكان يستحق الرؤية قريبا من هنا ؟",قلي، تعرف بلايص ملاح باش نزورهم و يكونوا قراب من هنا؟
1768,corpus-6-test-corpus-26-dev,"لا , أريد أن استأجر نصف مجموعة من المضارب وزوجا من الأحذية .",لا، راني حاب نكري نصف مجموعة من المضارب وحذاء.
1782,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني عندما تعقروا علي الحقيبة الضائعة ؟,تقدر تعلمني كي تصيب الساك ديالي؟
1788,corpus-6-test-corpus-26-train,ما اسم هذه المحمية ؟,واسمو هاذ المنتزه الوطني؟
1791,corpus-6-test-corpus-26-train,أصبت بسحجة .,راني مخبوش.
1792,corpus-6-test-corpus-26-dev,أين يوجد مكان جيد به لمشاهدة الأماكن المهمة ؟,واش كاين مكان مليح للسياحة؟
1800,corpus-6-test-corpus-26-train,هل من الممكن أن احصل علي بعض الفاكهة ؟,اذا نقدر ندي فواكه؟
1834,corpus-6-test-corpus-26-train,هل أستطيع تناول غذائي الآن ؟,اذا نقدر نفطر دوكا؟
1837,corpus-6-test-corpus-26-train,أريد أن أستبدل تلك الدولارات .,لازم نبدل الدولار.
1867,corpus-6-test-corpus-26-train,أحتاج إلى تاكسي . أنا في ساوث ماين ، وليبرتي .,لازملي طاكسي. راني في ساوث ماين و ليبرتي.
1876,corpus-6-test-corpus-26-dev,بالتأكيد ، هل تريد تسريحة متموجة دائما ؟,صح. راك حاب برمانونت؟
1878,corpus-6-test-corpus-26-train,هذه ليست تفاحة ولكنها خوخة .,ماشي تفاحة لكن خوخ.
1903,corpus-6-test-corpus-26-train,سوف أعطيك روشتة . خذها إلى الصيدلية .,نعطيك وصفة. اديها للصيدلية.
1927,corpus-6-test-corpus-26-train,نسافر جواً ثلاث مرات في الأسبوع ، أيام الثلاثاء والجمعة والسبت .,ناخذو الطيارة ثلاث مرات في الأسبوع، الثلاثاء، الجمعة و السبت.
1931,corpus-6-test-corpus-26-dev,هذا سعر مرتفع ، أليس كذلك ؟,غالي، و لا لالا؟
1948,corpus-6-test-corpus-26-train,نعم لدينا هذا ، سوف نجهزها لك .,ايه، عندنا. دوك نحظروهالك.
1950,corpus-6-test-corpus-26-dev,هل يمكنكم إبقاء أمتعتي لديكم حتى الساعة الثالثة ؟,نقدر تخلي عندك المتاع التاعي حتى الثالثة مساءا؟
1951,corpus-6-test-corpus-26-train,"ل , ا أريد فقط الزيارة بدون ميعاد .",لالا، راني حاب نجوز برك.
1954,corpus-6-test-corpus-26-dev,هل يمكن أن أحجز سيارة للإيجار من هنا ؟,اذا نقدر نحجز اكري-سيارة هنا؟
1968,corpus-6-test-corpus-26-train,هل أنت أمريكي ؟,هل أنت أمريكي؟
1980,corpus-6-test-corpus-26-test,"إلى هذا المكان , لو سمحت .",لهاذ المكان، من فضلك.
1985,corpus-6-test-corpus-26-train,لقد تعطلت سيارتي .,سيارتي توقفت.
1988,corpus-6-test-corpus-26-train,أين مظلل العيون ؟,وين راهو ظل الجفون؟
1993,corpus-6-test-corpus-26-train,نريد ركناً هادئاً ، إن أمكن .,رانا نحوسوا على مكان هادي، اذا أمكن.
1997,corpus-6-test-corpus-26-train,هل هذه السيارة الأجرة متاحة ؟,اذا هاذ الطاكسي فارغ؟
1998,corpus-6-test-corpus-26-train,هل هذه محطة قطار سريع ؟,اذا هاذ المحطة إكسبرس؟
2001,corpus-6-test-corpus-26-train,متى ينبغي أن آتي ؟,آما ساعة لازم نولي؟
