id,split,MSA,EGY,EGY Translation
333,corpus-6-test-corpus-26-test,من فضلك غير هذه الينات إلى جنيهات .,من فضلك غيرلي الين اللي معايا بجنيهات.,فضلك ليس هذه الينات إلى جنيهات.
346,corpus-6-test-corpus-26-train,أريد قاموس جيب ، من فضلك .,عايز قاموس جيب صغير، ،لو سمحت .,"我想 جيب, a good dictionary."
360,corpus-6-test-corpus-26-train,"لشخصين عند الساعة السابعة , الاسم وتاناب .",لشخصين الساعة سبعة . الاسم واتانابي.,"يُعد هذه الساعة السابعة, وهي اسم وتاناب"
368,corpus-6-test-corpus-26-train,ساعتي . كانت ساعة سيكو رقمية .,ساعتي كانت سايكو رقميه.,ساعتي. كانت ساعة سيكو رقمية.
370,corpus-6-test-corpus-26-train,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .,يسعدنا نقدم ليكم المشروب اللي تختاروة، بعد الاكل . حتلاقو لسته كاملة بأنواع المشروبات اللي بنقدمها في رحلتنا موجوده في دليل المعلومات في مجلتنا.,يسعدنا أن يقدم شراب الذي تريده يوميًا 
373,corpus-6-test-corpus-26-test,هل تعيش بالقرب من هنا ؟,انت عايش قريب من هنا؟,Yes
375,corpus-6-test-corpus-26-train,أين محل الهدايا ؟,فين محل الهدايا؟,Where is the temple?
386,corpus-6-test-corpus-26-test,أنا على الطريق الرئيسي بجانب خليج موروا .,انا عالطريق السريع جنب خليج مورو.,أنا على الطريق الرئيسي على شمال موروا.
391,corpus-6-test-corpus-26-train,أريد منبه ، من فضلك .,من فضلك عايز منبه .,"我想 anyone, a good friend."
398,corpus-6-test-corpus-26-dev,بالمناسبة ، اسمي هيروش إيجيما .,بالمناسبه، اسمي هيوشي ايجيما .,They are named as a British soldier.
401,corpus-6-test-corpus-26-dev,"هذا القطار يتوقف في لاك فورست , أليس كذلك ؟",القطر ده بيقف في محطة لاك فورست، مش كده؟,"هذا القطار يتوقف في لاك فورست, ليس كذلك؟"
408,corpus-6-test-corpus-26-train,معظم اليابانيين يأكلون الأخطبوط والحبار .,معظم اليابانيين بياكلوا اخطبوط و سبيط .,بعض اليابانيين يأكلون فخاخ.
416,corpus-6-test-corpus-26-train,"هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟",ممكن من فضلك تذكرتين درجة تانية لشيكاجو؟,Yes
419,corpus-6-test-corpus-26-train,لقد ذهبت إلى نيويورك .,انا رجت نيويورك .,لقد ذهبت إلى نيويورك.
423,corpus-6-test-corpus-26-train,ما هو رقم الرحلة الجوية ؟,ايه رقم الرحلة؟,88
442,corpus-6-test-corpus-26-test,واحد لنيويورك ، من فضلك .,تذكرة لنيويورك من فضلك .,"أحد أصدقاء أمريكيين, فضلك."
446,corpus-6-test-corpus-26-train,لعدة أيام قليلة .,حوالي ايام قليله .,لعدة أيام قليلة.
447,corpus-6-test-corpus-26-train,الثاني من على اليسار .,التاني عالشمال .,Third of the summit.
471,corpus-6-test-corpus-26-dev,"هذا الكارت , حسناً ؟",الكارت اهوه . .تمام كده؟,"هذا الكارت, حسناً؟"
488,corpus-6-test-corpus-26-train,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟,هو ده مكتب الاستقبال؟ ما فيش عيادة قريبه؟,Does this office be a busy room?
493,corpus-6-test-corpus-26-train,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟,حيكفي عشر دولارات للتاكسي؟,Yes
503,corpus-6-test-corpus-26-train,أنه ذو مذاق غريب .,طعمة غريب .,هذه الطريقة ليست ذات مذاق غريب.
512,corpus-6-test-corpus-26-train,"نعم . انتظر , سوف احضر لك واحدة .",ايوه . استنى انا جبت واحد ليك .,Okay. Please wait.
516,corpus-6-test-corpus-26-train,"نصف زجاجة , من فضلك .",نص قزازة، من فضلك .,"Awesome, a good."
540,corpus-6-test-corpus-26-train,ليس تماماً . فقط شيء ما غير غالي الثمن .,مش بالظبط . حاجه بس ماتكونش غاليه .,ليس تماماً. ليس شيء ما غير غالي الثمن.
548,corpus-6-test-corpus-26-train,هل تبحث عن شيء ما ؟,بتدور على حاجه؟,هل تبحث عن شيء ما؟
551,corpus-6-test-corpus-26-train,أربع ليالي .,اربع ليالي .,أربعة ليلة.
553,corpus-6-test-corpus-26-train,أريد بعض الجوارب الرجالي .,عايز شويه شرابات .,لدي بعض الجوارب الرجالي.
565,corpus-6-test-corpus-26-train,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟,ممكن تبيعه أرخص علشان هناك شويه بقع؟,Yes
571,corpus-6-test-corpus-26-train,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .,راجل خبطني . و يعد كده اخدت بالي ان المحفظة راحت .,اكتشفت أن أحدهم قد سرقتوا.
599,corpus-6-test-corpus-26-train,أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .,انا مش متأكد اني حطيت في الشنطة لبس يكفيني تلات تيام .,أنا غير متأكد إذا كنت قد حزمت ملابس كافية
612,corpus-6-test-corpus-26-train,حسناً ، أود أن أجرب النبيذ الأبيض .,تمام، نحب نجرب النبيت الابيض .,"حسناً, يمكنك استخدام النبيذ الأبيض."
631,corpus-6-test-corpus-26-train,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .,لو حد سال عني، قله اني حأكون موجود عالقهوة .,يخبر أحدكم أنه سوف يكون بالمقهى.
632,corpus-6-test-corpus-26-train,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .,انا متأكد ان كان معايا في الجيب الجواني بتاع البالطو بتاعي .,أنا متأكد أن وضعتها بالجيب الداخلي للمعطف.
641,corpus-6-test-corpus-26-test,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد الاتصال به ؟,ممكن أعرف أسم و رقم الشخص اللي هتكلمه؟,Yes
643,corpus-6-test-corpus-26-train,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟,هى الخطوط الجوية حتدفعلي علشان اشتري حاجات شخصية اسايه؟,Yes
650,corpus-6-test-corpus-26-train,أرغب في غرفة بحمام .,عايز اوضه بحمام .,They want to stay in a bathroom.
652,corpus-6-test-corpus-26-dev,لم يخرج من الماكينة شيء .,مافيش حاجة بتخرج من المكنه ؟,لقد خرجت من الماكينة شيء.
667,corpus-6-test-corpus-26-test,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .,انت كان المفروض تاخد الرحلة تمانية اتنين صفر، اللي اقلعت من خمستاشر دقيقة . على الى حال انا اقدر ارتب رحلة جديدة عشانك .,They expected to travel to the plane numbers twenty-two. They
673,corpus-6-test-corpus-26-train,شخص ما فتح الطرد الخاص بي .,فيه واحد فتح الطرد بتاعي .,أحد أفراد عائلة يفتح منزلك.
679,corpus-6-test-corpus-26-test,"آوه , الأمر بسيط ، هل أنت هنا ، على أية حال .",أوة، لا ولا حاجه . المهم انك هنا، على اى حال .,"Okay, a very good thing, a very good thing "
680,corpus-6-test-corpus-26-train,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .,الخطوط الجوية اليابانيه، رحلة رقم ميه تلاته و عشرين .,"شركة الخطوط الجوية اليابانية, طائرة رقم واحد اثنان"
681,corpus-6-test-corpus-26-train,أرغب في شراء شامبو .,عايز اشتري شامبو .,They want to buy a bottle of soap.
683,corpus-6-test-corpus-26-train,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .,ممكن تقوللي لما نوصل لمركز الخدمات المدنية؟,Yes
688,corpus-6-test-corpus-26-train,ـ أين أقرب محل جزارة ؟,فين أقرب جزار؟,Where is the southern city?
703,corpus-6-test-corpus-26-train,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .,عايزين نحجز اربع ليالي من اول اغسطس .,Nous ingin a few days to celebrate a few days.
708,corpus-6-test-corpus-26-train,ما اسم هذه الوردة ؟,ايه اسم الورده ديه؟,Arabic
719,corpus-6-test-corpus-26-train,الخامس عشر من سبتمبر يوم احترام المسنين .,يوم خمستاشر سبتمبر بيكون يوم احترام العواجيز .,سبتمبر / سبتمبر / سبتمبر / رمضان
723,corpus-6-test-corpus-26-train,ليس هناك صابون في حجرتي .,مافيش شوربه في أوضتي .,ليس هناك صابون في حجرتي.
741,corpus-6-test-corpus-26-dev,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي ؟,فيه اى حاجه ممكن اخدها علشان الطفح الجلدي؟,Why do you have a few things to do with your child?
742,corpus-6-test-corpus-26-train,هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟,ممكن تغير الصيقة للي انتي لسه قايله دلوقتي؟,Yes
761,corpus-6-test-corpus-26-test,كم ستستغرق لكي تطلب ؟,بياخد وقت اد ايه علشان اطلب حاجه؟,أربعة
773,corpus-6-test-corpus-26-train,"لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .",ممكن من فضلك تتكلم بصوت أعلى؟,"أنا لا أستطيع أن فعل ذلك, لكني سوف "
777,corpus-6-test-corpus-26-train,كم تستغرق حتى تصبح متاحة .,حياخد وقت اد ايه قبل ما يخرج؟,أربعة أيام
786,corpus-6-test-corpus-26-train,أين الاستعلامات الرياضية ؟,فين معلومات الرياضة؟,Where are the Olympics?
787,corpus-6-test-corpus-26-train,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .,الحجم ده . اللي انتي بتقول عليها الحجم العادي . .يؤدي الغرض .,"هذا المقاس, الذي تسمى المقاس العادي ، سوف "
793,corpus-6-test-corpus-26-test,أين ستنتهي الجولة ، ومتى ؟,امتى حتنتهي الرحلة، و فين؟,ينتقل مدينة القاهرة ، وهي عاصمة القاهرة.
848,corpus-6-test-corpus-26-train,من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟,منين اقدر اغير القطر علشان اوصل ادنبرة ؟,Where would you be able to change the runway?
855,corpus-6-test-corpus-26-train,أود أن أضع ذلك في صندوق ودائع آمن .,عايز احطه في صندوق ايداع امن .,They would be able to put it in a container.
859,corpus-6-test-corpus-26-train,أين يمكنني تغير نقودي ؟,فين أقدر اغير فلوسي؟,Where would you change the horizon?
897,corpus-6-test-corpus-26-train,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟,ينفع نسيب حاجتنا في الاتوبيس، ماعدا الحاجات المهمه؟,Yes
902,corpus-6-test-corpus-26-train,أتساءل عن هذه الرسوم الزائدة على فاتورتي .,انا بأتسائل عن التكلفة ديه اللي في الفاتورة علشان ايه.,أنا أخبر هذا الرسوم الزائدة على Berber.
917,corpus-6-test-corpus-26-train,أنا سوف أدفع خمسون دولاراً .,حأدفع خمسين دولار .,أنا سوف أدفع خمسون دولاراً.
941,corpus-6-test-corpus-26-train,الآن أعرف . ماذا كان الخطأ . ؟,دلوقتي عارف ان الموضوع كان غلط .,لقد عرف. ما هو الخطأ ؟
957,corpus-6-test-corpus-26-dev,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة في تمام الساعة السادسة والثلث هذا المساء . ولكني آسفة لأني سأصل متأخرة نصف ساعة .,انا ايكيدا اللي بيكلمك. انا حاجز ترابيزة الساعة سته و نص الليله ديه . بس اسف حاتأخر نص ساعة.,أنا ينتظر ليلة على مدار اليوم. لكن أنا
1003,corpus-6-test-corpus-26-train,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟,اقدر اشتري كام أوقية بارفان ماعليهاش جمارك؟,أربع
1007,corpus-6-test-corpus-26-train,فقط سياحة .,مجرد سياحة .,ليس هناك مكان.
1010,corpus-6-test-corpus-26-train,"هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟",ده كويس، من فضلك أمضيهم . عاوزه ازاي؟,"هذا جيد, من فضلك وقع عليهم."
1023,corpus-6-test-corpus-26-test,هل لا زال لديكم مقاعد لعرض الليلة ؟,لسه فيه كراسي لمسرحية الليله؟,هل لديكم مقاعد لعرض الليلة؟
1036,corpus-6-test-corpus-26-train,أود الحصول على واحدة كبيرة .,انا حابب الكبير .,They could be able to get a little larger.
1037,corpus-6-test-corpus-26-dev,لقد نمت و لم أتيقظ حين رن منبه السادسة و النصف .,نمت لغاية ما المنبة رن الساعة سته و نص .,لقد نمت و لم أتيقظ حين رن منبه السادسة و
1038,corpus-6-test-corpus-26-train,أنا مصور حر .,أنا مصوراتي حر.,أنا رجل حر.
1047,corpus-6-test-corpus-26-train,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟,اللي بيوزعو الورق يقدرو يبدلو دولاراتك بقواشيط الكازينو . نروح؟,يمكن الصرافون أن يغيروا دولاراتك من أجل بقش
1056,corpus-6-test-corpus-26-dev,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام .,عندنا حوالي تلاتين نوع من زيوت الحمام .,لدينا ثلاثة نوعات من حمام السباحة.
1062,corpus-6-test-corpus-26-train,سوف أحضر لك العرض الأسبوع القادم .,حيكون معايا العرض بتاعك الاسبوع الجاي .,Please visit your annual exhibition on Monday.
1074,corpus-6-test-corpus-26-train,شكراُ لك . كم تكلفة هذا القفاز ؟,أشكرك . بكام الجوانتي ده؟,تكلفة هذا القفاز ؟
1098,corpus-6-test-corpus-26-train,علىّ أن أذهب ، سأتصل بك لاحقاً .,لازم أمشي . حأكلمك بعدين .,Please go to a few days.
1100,corpus-6-test-corpus-26-train,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .,عايز بمبرز استعمال مره واحدة .,لديهم بعض الحفاضات التي يمكن التخلص منها بعد ال
1122,corpus-6-test-corpus-26-train,أين نشأت سمكات الفراش هذه ؟,فين بلد سمك الفراشه ده؟,Where did the pyramids began?
1124,corpus-6-test-corpus-26-train,هل لك أن تغيرهم إلى دولارات من فضلك ؟,ممكن تغيرهم لدولارات، لو سمحت؟,Yes
1139,corpus-6-test-corpus-26-train,نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .,أحنا محظوظين . عندهم واحد مقاس أربعة في محل الا موانا .,Nous sommes very busy. We have two separate pairs of 
1146,corpus-6-test-corpus-26-train,هل هناك سيارة ليموزين ؟,الاقي ليموزين؟,هل هناك سيارة ليموزين؟
1163,corpus-6-test-corpus-26-dev,هل لى أن أتلقى اتصالاً يوقظنى فى الخامسة و النصف من صباح الغد ؟,ممكن تصحوني بالتليفون بكرة خمسه و نص الصبح؟,Yes
1165,corpus-6-test-corpus-26-train,أُفضلُ حجرة هادئة .,بأفضل أوضه هادية .,Awesome size of a healthy silhouette.
1167,corpus-6-test-corpus-26-train,أريد مزيلا لطلاء الأظافر .,عايز مزيل مونيكير .,我想 استخدام فرشاة مبللة.
1183,corpus-6-test-corpus-26-train,أريد بطارية .,عايز بطارية .,أنا ريد بطارية.
1193,corpus-6-test-corpus-26-test,هل هناك فرقة موسيقية أم دي جي ؟,فيه فرقة موسيقية لايف أو ديجيه؟,Yes
1194,corpus-6-test-corpus-26-train,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟,ممكن أجر معدات غطس؟,Yes
1199,corpus-6-test-corpus-26-dev,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر .,عايز أحجز أوضة أربع ليال من أول اتنين و عشرين ديسمبر .,They leave a room for four weeks early in the early autumn
1212,corpus-6-test-corpus-26-train,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟,الشنطة ديه تستحمل كل أنواع الطقس؟,Yes
1213,corpus-6-test-corpus-26-train,أريد كعكة محلاة من فضلك .,عايز كحك دونات، من فضلك .,我想 a homemade dish.
1218,corpus-6-test-corpus-26-train,أريد تأجير سلاح آلى لمدة يومين .,عايز أأجر عربية أوتامتيك ليومين .,أنا ريد حمل طائرة جديدة لمدة يومين.
1224,corpus-6-test-corpus-26-train,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .,فاتتني الرحلة رقم عشرين لسان فرانسيسكو.,They knew the number of hundreds of passengers taken to the 
1234,corpus-6-test-corpus-26-train,كم سأدفع للوصول إلى المطار ؟,بكام للمطار؟,"90,000"
1235,corpus-6-test-corpus-26-train,هذا جيد . متى هو ؟,ده كويس . امتى يكون؟,ينبغي أن يصبح هذا جيد.
1276,corpus-6-test-corpus-26-train,كم عمر ابنتك ؟,بنتك أد ايه؟,أربعة
1312,corpus-6-test-corpus-26-train,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟,ممكن تقولي عن فندق نضيف و رخيص؟,Yes
1321,corpus-6-test-corpus-26-train,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .,نقدر نحجزلك أوضه مريحة في القلعة القديمة جنب نادي جولف مشهور .,Nous sediakan a comfortable room in the stadium where we are going
1329,corpus-6-test-corpus-26-train,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .,بأنصح بده لأنه مصنوع ميه بالميه من المكونات الطبيعية .,هذه الطريقة يمكن أن يُستخدم هذه الطريقة 
1361,corpus-6-test-corpus-26-dev,هل يتوقف القطار في برايتون ؟,القطر بيقف في بريتون؟,Yes
1369,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟,ممكن تقوللي منين أخد تاكسي؟,Yes
1375,corpus-6-test-corpus-26-train,تذكرتين درجة ثانية من فضلك .,تذكرتين درجة تانيه، من فضلك .,Eighteen degrees of importance of your faith.
1384,corpus-6-test-corpus-26-train,أود أن أرسل فاكس .,عايز ابعت فاكس .,يمكن أن يرسل فاكس.
1394,corpus-6-test-corpus-26-train,أريد مكواة سفر .,محتاج مكوة سفر .,They want to travel.
1396,corpus-6-test-corpus-26-train,أيمكنني أن أقدم لك أي شيء ؟,ممكن أقدملك اى حاجة؟,كيف يمكنني أن أقدم لك أي شيء؟
1404,corpus-6-test-corpus-26-train,أخشى أن أسأل ، لكن ماذا تعني ؟,يومي؟ انا خايف اسأل، لكن انت تقصد ايه؟,"أنا أتمنى أن أسأل, لكن ماذا يحدث؟"
1418,corpus-6-test-corpus-26-train,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .,عايزة واحده تقدر تشيل ورق بحجم ورق الجوابات من غير ما يكونوا مطويين .,They want to carry a few letters in a separate amount
1433,corpus-6-test-corpus-26-test,نعم ، لكن ليس قويا جدا .,أيوة، بس ما يكونش جامد جدا .,لكن ليس قويا جدا.
1434,corpus-6-test-corpus-26-train,أنا شديد الحساسية للقطط .,عندي حساسيه من القطط .,أنا شديد الحساسية للقطط.
1436,corpus-6-test-corpus-26-train,"نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .",أيوة، لازم يكون عندك رخصة سواقة، اه، يكون عندك رخصه من لجنة التاكسي و الليموزين .,"Okay, anyone could be able to get a membership "
1462,corpus-6-test-corpus-26-train,استمر يا سيدي .,اتفضل، يا استاذ .,ينتظر يا سيدي.
1465,corpus-6-test-corpus-26-test,يبدوا أنني غير قادر على الحصول على الماء الساخن .,شكلي مش حيوصلي ميه سخنه .,They believe that I don't want to get a warm water.
1474,corpus-6-test-corpus-26-train,أود أن أحجز غرفة لهذه الليلة .,عايز أحجر أوده الليله ديه .,They couldn't get a room for this time.
1492,corpus-6-test-corpus-26-train,لا ، إنها لا تشمل الضريبة ومصاريف الخدمة .,لأ، ده مستثنى من الضرايب و مصارف الخدمة .,ليس ذلك، لأنها لا تشمل الضرائب والمصاريف.
1506,corpus-6-test-corpus-26-train,هل تريد أن تذهب للتسوق معي بعد الظهر ؟,تحب نروح تتسوق معايا بعد الضهر؟,Yes
1508,corpus-6-test-corpus-26-test,هيه ، هذا فستان جميل حقا .,ازيك، ده حقيقي فستان جميل.,هذه هي فستان جميل حقا.
1519,corpus-6-test-corpus-26-train,الآن ، مكالمتك ردت . تفضل من فضلك .,دلوقتي، مكالمتك اشتغلت . اتفضل لو سمحت .,"Yesterday, my wife told me."
1525,corpus-6-test-corpus-26-train,ما رقم البوابة ؟,ايه رقم البوابه؟,رقم البوابة؟
1539,corpus-6-test-corpus-26-train,ما التذكار الخاص بهاواي ؟,اى تذكار أقدر اخده و ينفع هديه من هاواي؟,هذه الذكرى التي يُعرفها ؟
1556,corpus-6-test-corpus-26-train,أيمكنني أن أذهب هناك بمترو الأنفاق ؟,ممكن أوصلة بالمترو؟,كيف يمكنني أن أذهب هنا بمترو الأنفاق؟
1560,corpus-6-test-corpus-26-train,أريد مجفف .,عايز سيشوار.,أنا ريد استخدام هذه الطريقة.
1562,corpus-6-test-corpus-26-train,هل نذهب إلى أي مكان متحدثين مثل ذلك ؟,الكلام ده حيخلينا ننجح؟,Where are you going to a nearby place?
1585,corpus-6-test-corpus-26-train,أنا من النرويج .,جاي من النرويج .,أنا من النرويج.
1603,corpus-6-test-corpus-26-dev,من ثمانية إلى اثنى عشر من فضلك .,أذا سمحت من عشرة لتناشر .,أربعة إلى اثنين من فضلك.
1619,corpus-6-test-corpus-26-train,بالتأكيد . دعني أراها . أظن أن المرجان جرحك .,اكيد . خليني أشوف . الصخور المرجانية عورتك، متهيألي.,"Okay, yeah, I think the monkey is funny."
1620,corpus-6-test-corpus-26-train,لقط للتأكيد ، إعطني رقم المسئول .,أحتياطي، خلي معايا رقم الشخص المسئول .,"يُعد لقط, يُعد رقم المسئول."
