id,split,MSA,ALG,ALG Translation
221,corpus-6-test-corpus-26-train,هل ستقوم بعمل الترتيبات مقدماً ؟,تقدر تاخذ كل الترتيبات من قبل؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
238,corpus-6-test-corpus-26-train,تقدم إلىّ المساعدة ، شكراً لك .,راهم تهلاو فيا. صحا.,n'abalɔ n'abalɔ n'abalɔ 
261,corpus-6-test-corpus-26-train,عندما تصل هناك أسأل شخص آخر ، من فضلك .,كي توصل تما، اطلب من كاش واحد آخر، من فضلك.,"عند وصلك إلى مكان آخر, سأل أحدهم,"
280,corpus-6-test-corpus-26-train,أريد الامتداد أربع وعشرون ، من فضلك .,مركز أربعة و عشرون، من فضلك.,"أنا wanna be a few hundreds, please."
285,corpus-6-test-corpus-26-train,تفضل هذان دولاران . احتفظ بالباقي .,هاك اثنان دولار. خلي الباقي عندك.,أنت تريدين هذه الدولارات. خزّن أمو
315,corpus-6-test-corpus-26-train,واحد هامبرجر وواحد شيز برجر ، من فضلك .,همبرغر و شيزبرغر، من فضلك.,"Otu shemagh na n'otu shemagh, n'o "
319,corpus-6-test-corpus-26-train,كم تتقاضى لتطبيع صور الفيلم ؟,شحال تاخذ باش تدير العملية؟,কত الخبراء يحققون طبيعة الفيلم ؟
320,corpus-6-test-corpus-26-train,كلا منا يريد أن يحاسب على وجبته .,رانا حابين كل واحد يخلص الماكلة ديالو.,Everyone wants to pay for his meal.
326,corpus-6-test-corpus-26-train,المكان كان على كرسي في البهو .,كان فوق واحد الكرسي فالكولواغ.,مكان ছিল على couch.
333,corpus-6-test-corpus-26-test,من فضلك غير هذه الينات إلى جنيهات .,من فضلك تقدر تبدل هاذ الين لجنيهات.,Awesome!
346,corpus-6-test-corpus-26-train,أريد قاموس جيب ، من فضلك .,نسحق قاموس جيب، من فضلك.,"wanna be a dictionary, please."
360,corpus-6-test-corpus-26-train,"لشخصين عند الساعة السابعة , الاسم وتاناب .",لزوج أشخاص على الساعة السبعة تع العشية، باسم واتاناب.,n'abalɔ n'abalɔ n'abalɔ 
368,corpus-6-test-corpus-26-train,ساعتي . كانت ساعة سيكو رقمية .,الساعة ديالي. ديجيتال سايكو.,ساعتي. كانت ساعة سكوو رقمية.
370,corpus-6-test-corpus-26-train,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .,رانا حابين نقدمولك المشروب لي تحبو نتا، ممبعد نقدمولك العشا. تقدر تصيب كامل المشروبات الي كاينة في هاذ الرحلة في دليل المعلومات تع المجلة تاعنا.,Awesome! Awesome!
373,corpus-6-test-corpus-26-test,هل تعيش بالقرب من هنا ؟,تسكن منا؟,ଆପଣ أنت هنا?
375,corpus-6-test-corpus-26-train,أين محل الهدايا ؟,وين جاي المحل تع الهدايا؟,Where's the gift shop?
386,corpus-6-test-corpus-26-test,أنا على الطريق الرئيسي بجانب خليج موروا .,راني في الطريق السريع رقم واحد، قريب من مورو باي.,أنا على طريق أساسي قرب مدينة موروا.
391,corpus-6-test-corpus-26-train,أريد منبه ، من فضلك .,نسحق منبه، من فضلك.,أنا wanna be a messenger.
398,corpus-6-test-corpus-26-dev,بالمناسبة ، اسمي هيروش إيجيما .,حقا، إسمي هيروشي ايجيما.,"Bonjour, j'ai named Haris Ivkova."
401,corpus-6-test-corpus-26-dev,"هذا القطار يتوقف في لاك فورست , أليس كذلك ؟",هاذ القطار يحبس في لاك فورست، ياك؟,"هذا ট্রেক ليس هناك, ليس ذلك?"
408,corpus-6-test-corpus-26-train,معظم اليابانيين يأكلون الأخطبوط والحبار .,بزاف يابانيين ياكلو لا بيوفر و الكالامار.,മിക്ക اليابانيين يأكلون البروتين والبيض.
416,corpus-6-test-corpus-26-train,"هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟",من فضلك، تقدر تاعطيني تذاكر بالدرجة الثانية لشيكاقو؟,আমি يمكنني حصول على ثلاثة درجة ثانية للي
419,corpus-6-test-corpus-26-train,لقد ذهبت إلى نيويورك .,رحت لنيويورك.,n'abalɔ n'abalɔ n'abalɔ 
423,corpus-6-test-corpus-26-train,ما هو رقم الرحلة الجوية ؟,شحال الرقم تع هاذ الرحلة؟,- n'est-ceo n'est-ceo?
442,corpus-6-test-corpus-26-test,واحد لنيويورك ، من فضلك .,شخص واحد لنيويورك، من فضلك.,Otu n'o n'o n'o n'o 
446,corpus-6-test-corpus-26-train,لعدة أيام قليلة .,ليامات برك.,n'abalɔn n'abalɔn n'abalɔn 
447,corpus-6-test-corpus-26-train,الثاني من على اليسار .,الثانية على اليسار.,n'abal n'abal n'abal n'a
471,corpus-6-test-corpus-26-dev,"هذا الكارت , حسناً ؟",هاذ البطاقة، معليش؟,"Okay, okay?"
488,corpus-6-test-corpus-26-train,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟,الإستقبال؟ كاين عيادة قريبة من هنا؟,Does this office be a waiting room? Do there is a nearby clinic
493,corpus-6-test-corpus-26-train,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟,اذا عشرة دولار يكفو للطاكسي؟,ଆପଣ عشرة دولارات سوف تكون كافية للذهب
503,corpus-6-test-corpus-26-train,أنه ذو مذاق غريب .,البنة غربية.,वह নমুনায় বেলেগ ।
512,corpus-6-test-corpus-26-train,"نعم . انتظر , سوف احضر لك واحدة .",ايه. اصبر، دوك نجيبلك.,"Okay. Wait, I'll bring you one."
516,corpus-6-test-corpus-26-train,"نصف زجاجة , من فضلك .",نص قرعة، من فضلك.,n'a n'a n'a n'a n'
540,corpus-6-test-corpus-26-train,ليس تماماً . فقط شيء ما غير غالي الثمن .,ماشي حاجة. حاجة تكون ماشي غالية بزاف.,ليس كاملاً. ليس قطعة صغيرة.
548,corpus-6-test-corpus-26-train,هل تبحث عن شيء ما ؟,راك تحوس كاش حاجة مخصصة؟,ଆପଣ يبحث عن شيء ما؟
551,corpus-6-test-corpus-26-train,أربع ليالي .,أربع ليالي.,أربع ليلة.
553,corpus-6-test-corpus-26-train,أريد بعض الجوارب الرجالي .,نسحق تقاشر.,أنا بحاجة إلى بعض الجوارب الرجالية.
565,corpus-6-test-corpus-26-train,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟,تقدر تدريلنا سومة علاجال كاين بقع؟,ଆପଣ يمكنك رفع سعرها لوجود بعض البقع بها
571,corpus-6-test-corpus-26-train,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .,واحد الراجل طبعني. ممبعد صبت بلي محفظة النقود ديالي ضاعت.,"أنا رأيت شخص يحمل مني, ثم اكتشفت"
599,corpus-6-test-corpus-26-train,أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .,ماشكيتش بلي جبت معايا حوايج لي يكفو لثلاث أسابيع.,أنا لست متأكد إذا كنت قد خزمت ملابس كاف
612,corpus-6-test-corpus-26-train,حسناً ، أود أن أجرب النبيذ الأبيض .,امالا، رانا حابين نجربوا النبيذ الأبيض.,"Okay, n'abal n'abal n'abal "
631,corpus-6-test-corpus-26-train,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .,ويدا حوس عليا كاش واحد، قولوهم بلي راني فالقهوة.,عند سؤال أحد عني فأخبره بأن أنا سوف أ
632,corpus-6-test-corpus-26-train,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .,راني متأكد بلي درتو فالجيب الدخلاني تع المونطو ديالي.,أنا یقین أني وضعتها على ظهر طفلك.
641,corpus-6-test-corpus-26-test,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد الاتصال به ؟,تقدر تعطيني الإسم و الرقم تع الشخص لي راك حاب تتصل بيه؟,ଆପଣ يمكنك أن تسأل أحد الأشخاص الذي تريد
643,corpus-6-test-corpus-26-train,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟,هل شركة الطيران تخلص لي شراء الأغراض الشخصية؟,ଆପଣ شركة الطيران سوف يدفعني شركة الطيران 
650,corpus-6-test-corpus-26-train,أرغب في غرفة بحمام .,راني حاب غرفة لي فيها بينواغ.,wanna be a bathroom
652,corpus-6-test-corpus-26-dev,لم يخرج من الماكينة شيء .,حاجة ماخرجت من الجهاز؟,Tidak e n'a n'a n'a n'
667,corpus-6-test-corpus-26-test,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .,كان لازم عليك تدي الرحلة ثمان مئة وعشرون لي راحت عندها خمسة عشر دقيقة. ايه. نقدر نصيبلك رحلة واحدوخرا.,আমি supposed to fly on a eleventh passenger plane. 
673,corpus-6-test-corpus-26-train,شخص ما فتح الطرد الخاص بي .,كاش واحد فتح الطرد ديالي.,Otu muntu obuka ekwentị oyo ebale.
679,corpus-6-test-corpus-26-test,"آوه , الأمر بسيط ، هل أنت هنا ، على أية حال .",أوه، ماشي حاجة. مادام راك هنا.,"Okay, okay, okay, okay, okay, okay, "
680,corpus-6-test-corpus-26-train,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .,الخطوط الجوية اليابانية، الرحلة رقم واحد، اثنان، ثلاثة.,"Nippon Airways, n'otu n'otu n'otu n"
681,corpus-6-test-corpus-26-train,أرغب في شراء شامبو .,لازم نشري شامبوان.,أنا بحاجة إلى بيع صابون.
683,corpus-6-test-corpus-26-train,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .,تقدر تقولي وقتاش نوصلوا لوسط المدينة؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
688,corpus-6-test-corpus-26-train,ـ أين أقرب محل جزارة ؟,وين جاي الجزار القريب من هنا؟,- Where is the closest place to the coast?
703,corpus-6-test-corpus-26-train,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .,رانا حابين نقعدوا أربع ليالي من الأول أوت.,ଆପଣ ଆସୁଥିବା أربع ليلة ابتداءً
708,corpus-6-test-corpus-26-train,ما اسم هذه الوردة ؟,واسمها هاذ الزهرة؟,- Where's this owl?
719,corpus-6-test-corpus-26-train,الخامس عشر من سبتمبر يوم احترام المسنين .,الخامس عشر من سبتمبر هو اليوم تاع الإحترام للأشخاص المسنين.,Ɔsɛmɛ ɔ́ ɔ́ ɔ́ ɔ́ 
723,corpus-6-test-corpus-26-train,ليس هناك صابون في حجرتي .,ماكانش صابون في غرفتي.,ليس هناك صابون في حجرتي.
741,corpus-6-test-corpus-26-dev,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي ؟,واش نقدر ندي باش نداوي الاحمرار؟,أنت بحاجة إلى شيء يمكن أن أتعافي منه للطف
742,corpus-6-test-corpus-26-train,هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟,تقدر تبدل الصيغة على حساب واش قتليي دوكا؟,ଆପଣ يمكنك تغييره طبقاً لما قلته 
761,corpus-6-test-corpus-26-test,كم ستستغرق لكي تطلب ؟,شحال لازم من وقت باش ندير طلب؟,কত ساعة لازمة لطلب ذلك؟
773,corpus-6-test-corpus-26-train,"لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .",تقدر تعلي صوتك شوية، من فضلك؟,"أنا لا يمكنك فعل ذلك, لكني سأضعها في"
777,corpus-6-test-corpus-26-train,كم تستغرق حتى تصبح متاحة .,شحال من وقت باش يخرج؟,কত وقت لازم لبناء الثقة.
786,corpus-6-test-corpus-26-train,أين الاستعلامات الرياضية ؟,وين راهم المعلومات الرياضية؟,Where are sports statistics?
787,corpus-6-test-corpus-26-train,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .,هاذ القياس، لي تسميها كلاسيك، توالم.,"এই النموذج, الذي يُسمى اختصاراً"
793,corpus-6-test-corpus-26-test,أين ستنتهي الجولة ، ومتى ؟,وين أو وقتاش تخلاص الرحلة؟,Where shall the tournament end?
848,corpus-6-test-corpus-26-train,من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟,وين لازم نبدل القطار باش نروح لإدينبره؟,Where can I change the train that goes to Edinburgh?
855,corpus-6-test-corpus-26-train,أود أن أضع ذلك في صندوق ودائع آمن .,راني حاب نحط هذا فصندوق امانات.,أنا بحاجة إلى وضع ذلك في صندوق ائتمان 
859,corpus-6-test-corpus-26-train,أين يمكنني تغير نقودي ؟,وين نقدر نبدل الدراهم؟,Where can I change my pencil?
897,corpus-6-test-corpus-26-train,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟,اذا نقدرو نخلوا الأغراض فالحافلة، ندو غير الحاجات المهمين؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
902,corpus-6-test-corpus-26-train,أتساءل عن هذه الرسوم الزائدة على فاتورتي .,راني حاب نعرف تاع واش هاذ التكاليف.,أنا بحاجة إلى سؤال عن هذه الرسوم الزائدة
917,corpus-6-test-corpus-26-train,أنا سوف أدفع خمسون دولاراً .,نخلص خمسين دولار.,أنا سأدفع خمسون دولاراً.
941,corpus-6-test-corpus-26-train,الآن أعرف . ماذا كان الخطأ . ؟,دوكا راني عارف واش هي الغلطة.,Agora n'abalobi..... 
957,corpus-6-test-corpus-26-dev,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة في تمام الساعة السادسة والثلث هذا المساء . ولكني آسفة لأني سأصل متأخرة نصف ساعة .,معاك إكيدا. كنت حجزت طاولة لهاذ لعشية على الستة ونص. سامحني، نوصل متأخر بنص ساعة.,"Okay, n'okwu n'okwu n'okwu "
1003,corpus-6-test-corpus-26-train,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟,شحال وقية من عطر نقدر نشريه بدون طاكس؟,কত كوب من العطر يمكنك الحصول عليه من غير رسوم ؟
1007,corpus-6-test-corpus-26-train,فقط سياحة .,للسياحة.,- n'importe quoi.
1010,corpus-6-test-corpus-26-train,"هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟",هايل، من فضلك امضيهم. كيفاش راك حابهم؟,"Awesome, okay, okay, okay, okay, okay, "
1023,corpus-6-test-corpus-26-test,هل لا زال لديكم مقاعد لعرض الليلة ؟,مازال عندكم أماكن لعرض المساء؟,ଆପଣ لست بحاجة لعرض الليلة ؟
1036,corpus-6-test-corpus-26-train,أود الحصول على واحدة كبيرة .,راني حاب جملة.,n'abal n'abal n'abal n'a
1037,corpus-6-test-corpus-26-dev,لقد نمت و لم أتيقظ حين رن منبه السادسة و النصف .,مافطنطش كي صونا المنبه على الستة و نص.,আমি لست بحاجة إلى النوم أثناء رأسه عشر
1038,corpus-6-test-corpus-26-train,أنا مصور حر .,أنا مصور حر.,أنا صورة حرة.
1047,corpus-6-test-corpus-26-train,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟,تجار الكازينو يقدرو يبدلولك الدولار اعطيلهم برك البقشيش . أيا نروحو؟,Ǹ nwere n'oge n'oge n'o
1056,corpus-6-test-corpus-26-dev,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام .,عندنا حوالي ثلاثين نوع من الزيوت للاستحمام.,ଆପଣ ثلاث نوعاً من حمام السباحة.
1062,corpus-6-test-corpus-26-train,سوف أحضر لك العرض الأسبوع القادم .,نديرلك عرض الأسبوع القادم.,আমি سوف أحضر لك العرض الأسبوع القادم.
1074,corpus-6-test-corpus-26-train,شكراُ لك . كم تكلفة هذا القفاز ؟,صحا. شحال يسواو هاذ القفازات؟,"Bonjour, n'est-ce que ce?"
1098,corpus-6-test-corpus-26-train,علىّ أن أذهب ، سأتصل بك لاحقاً .,لازم نروح. نتصل بيك ممبعد.,"Okay, i'll go."
1100,corpus-6-test-corpus-26-train,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .,نحتاج حفاظات.,أنا بحاجة إلى بعض الأكياس التي يمكن التخلص
1122,corpus-6-test-corpus-26-train,أين نشأت سمكات الفراش هذه ؟,منين جاو فراشات الحوت هاذو؟,Where did the scaffolding collapse?
1124,corpus-6-test-corpus-26-train,هل لك أن تغيرهم إلى دولارات من فضلك ؟,تقدر تبدلهم للدولار، من فضلك؟,ଆପଣ يمكنك تغييرها إلى دولارات?
1139,corpus-6-test-corpus-26-train,نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .,عندنا الزهر. عندهم مقاس أربعة و ثلاثون في محل ألا موانا.,Nós n'abalagba n'abalagba n'a
1146,corpus-6-test-corpus-26-train,هل هناك سيارة ليموزين ؟,كاين ليموزين؟,"Yes, there is a limoza?"
1163,corpus-6-test-corpus-26-dev,هل لى أن أتلقى اتصالاً يوقظنى فى الخامسة و النصف من صباح الغد ؟,تقدر تنوظني على الخمسة و نص غدوا صبح؟,ଆପଣ ଆପଣ ଆପଣ ଆପଣ ଆପ
1165,corpus-6-test-corpus-26-train,أُفضلُ حجرة هادئة .,نفضل غرفة هادية.,Awesome size.
1167,corpus-6-test-corpus-26-train,أريد مزيلا لطلاء الأظافر .,نحتاج إلى مزيل الطلاء.,أنا بحاجة إلى استخدام فرشاة ناعمة.
1183,corpus-6-test-corpus-26-train,أريد بطارية .,نحتاج بطارية.,أنا بحاجة إلى البطارية.
1193,corpus-6-test-corpus-26-test,هل هناك فرقة موسيقية أم دي جي ؟,اذا كاين فرقة لايف ولا ديجي؟,Does there be a choir or a choir?
1194,corpus-6-test-corpus-26-train,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟,اذا نقدر نكري أغراض الغطس؟,আমি ستطيع حمل أداة للتنفس أثناء السباحة ؟
1199,corpus-6-test-corpus-26-dev,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر .,راني حاب نحجز غرفة لأربعة أيام من الثاني وعشرون ديسمبر.,ଆମେ ଶତାବ୍ଦୀ ଶତାବ୍ଦ
1212,corpus-6-test-corpus-26-train,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟,هاذ الساك يوالم، مهما كان الحال؟,Yes
1213,corpus-6-test-corpus-26-train,أريد كعكة محلاة من فضلك .,راني حاب بنيي، من فضلك.,wanna be a bread
1218,corpus-6-test-corpus-26-train,أريد تأجير سلاح آلى لمدة يومين .,راني حاب نكري سيارة أتوماتيكية ليومين.,أنا بحاجة إلى استخدام طائرة هليكوبتر لمدة يوم
1224,corpus-6-test-corpus-26-train,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .,فاتتني الرحلة عشرون لي تروح ل سان فرانسيسكو.,আমি لست على علم بأن رحلة رقم عشرون التي
1234,corpus-6-test-corpus-26-train,كم سأدفع للوصول إلى المطار ؟,شحال السومة للمطار؟,আমি أموالك التي سأدفع للوصول إلى المطار؟
1235,corpus-6-test-corpus-26-train,هذا جيد . متى هو ؟,مليح. وقتاش؟,هذا جيد. कब?
1276,corpus-6-test-corpus-26-train,كم عمر ابنتك ؟,شحال في عمرها بنتك؟,কত عمر ابنتك؟
1312,corpus-6-test-corpus-26-train,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟,تقدر تقلي على الفنادق النقية والرخيصة؟,ଆପଣ ଆପଣ ଏକ ଭ୍ରମଣ ଭା
1321,corpus-6-test-corpus-26-train,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .,نقدر نحجزلك غرفة مريحة في قصر قديم قريب من نادي غولف مشهور.,ଆପଣ ଆପଣଙ୍କୁ ଜଣେ ଏକ ନ
1329,corpus-6-test-corpus-26-train,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .,نقترحهولك، المكونات مئة بالمئة طبيعية.,ଏହା নষ্ট لأن 99% n'imeyili n'
1361,corpus-6-test-corpus-26-dev,هل يتوقف القطار في برايتون ؟,هاذ القطار اذا يحبس في بريغتون؟,Does a train stop in Buenos Aires?
1369,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟,تقدر تقلي وين نصيب طاكسي؟,ଆପଣ يمكن أن أخبرني مكان يمكن أن أذهب
1375,corpus-6-test-corpus-26-train,تذكرتين درجة ثانية من فضلك .,تذكرتان للدرجة الثانية، من فضلك.,n'abalagba n'abalagba n'abalagba 
1384,corpus-6-test-corpus-26-train,أود أن أرسل فاكس .,راني حاب نبعث فاكس.,أنا بحاجة إلى رسالة بريد إلكتروني.
1394,corpus-6-test-corpus-26-train,أريد مكواة سفر .,راني حاب حديد تاع سفر.,I want a bicycle.
1396,corpus-6-test-corpus-26-train,أيمكنني أن أقدم لك أي شيء ؟,نقدر نعطيلك كاش حاجة؟,- - - - - - - - - 
1404,corpus-6-test-corpus-26-train,أخشى أن أسأل ، لكن ماذا تعني ؟,نهاري؟ راني خايف نسقسي بصح واش راك حاب تقول؟,أنا لست بحاجة إلى سؤال، لكن ماذا تعني
1418,corpus-6-test-corpus-26-train,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .,راني حاب برية لي يجوا فيها ورق بلاما نطويهم.,أنا wanna be a lawyer which is a standard document size without
1433,corpus-6-test-corpus-26-test,نعم ، لكن ليس قويا جدا .,ايه، بصح ماشي بزاف قوي.,"Okay, but not very strong."
1434,corpus-6-test-corpus-26-train,أنا شديد الحساسية للقطط .,عندي حساسية من القطوط.,I'm very concerned about cats.
1436,corpus-6-test-corpus-26-train,"نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .",ايه، لازم تكون عندك رخصة سياقة و، أووه، لازم تكون عندك رخصة من لجنة سيارات الأجرة والليموزين.,"Okay, n'a n'a n'a n'"
1462,corpus-6-test-corpus-26-train,استمر يا سيدي .,تفضل، سيدي.,"Continue, sir."
1465,corpus-6-test-corpus-26-test,يبدوا أنني غير قادر على الحصول على الماء الساخن .,مقدرتش نصيب الماء السخون.,আমি لست قادرة على حصول على الماء الساخن.
1474,corpus-6-test-corpus-26-train,أود أن أحجز غرفة لهذه الليلة .,راني حاب نحجز غرفة لهاذ لعشية.,আমি بحاجة إلى غرفة ليلة أخرى.
1492,corpus-6-test-corpus-26-train,لا ، إنها لا تشمل الضريبة ومصاريف الخدمة .,لالا، الطاكس و تكاليف الخدمة ماشي داخلة.,"- n'emem, n'emem n'emem "
1506,corpus-6-test-corpus-26-train,هل تريد أن تذهب للتسوق معي بعد الظهر ؟,تحب تجي تشري معايا بعد منتصف النهار؟,ଆପଣ ଆପଣ ଆପଣ କାର୍ଯ୍ୟ କର
